Target_genes	Foxo1|Average	SRX272969|CD4-Positive_T-Lymphocytes	SRX682273|CD4-Positive_T-Lymphocytes	SRX682274|CD4-Positive_T-Lymphocytes	SRX682276|CD4-Positive_T-Lymphocytes	SRX278097|CD8-Positive_T-Lymphocytes	SRX1117087|HAFTL	SRX7586623|Heart	SRX7586624|Heart	SRX7586625|Heart	SRX021879|Pro-B_cells	SRX2136458|Pro-B_cells	SRX183787|Treg	SRX183788|Treg	SRX1219538|Uterus	STRING
Trmo	71.428571	0	0	0	0	0	0	333	172	258	0	0	0	0	237	0
Tlk2	71.285714	0	376	157	0	135	0	0	0	0	112	0	218	0	0	0
Bod1	71.285714	0	0	0	0	0	0	402	289	205	0	0	0	0	102	0
9530077C05Rik	71.285714	0	0	0	0	0	0	335	258	244	0	0	0	0	161	0
Ttc30a1	71.071429	0	0	0	0	0	0	358	426	103	0	0	0	0	108	0
Wasf2	71.000000	145	0	0	0	0	0	254	339	256	0	0	0	0	0	0
Cox18	71.000000	0	202	0	0	129	0	102	206	111	0	0	138	0	106	0
Get1	70.928571	0	185	0	0	0	0	197	187	143	0	0	112	0	169	0
Ect2	70.928571	180	355	0	0	157	0	94	90	117	0	0	0	0	0	0
Tmed5	70.857143	0	0	0	0	0	0	342	355	182	0	0	0	0	113	0
Cmas	70.857143	0	0	0	0	0	0	352	416	224	0	0	0	0	0	0
Ccdc18	70.857143	0	0	0	0	0	0	342	355	182	0	0	0	0	113	0
Cdc34	70.785714	0	183	0	0	242	0	411	0	0	0	0	155	0	0	0
Exoc4	70.571429	0	0	0	0	0	0	218	569	201	0	0	0	0	0	0
Mtrr	70.428571	0	266	0	0	163	0	117	0	134	0	0	306	0	0	0
Fastkd3	70.428571	0	266	0	0	163	0	117	0	134	0	0	306	0	0	0
Knl1	70.357143	186	223	0	0	0	0	124	192	134	0	0	0	0	126	0
Zc3h8	70.285714	0	467	0	0	110	0	0	125	169	0	0	113	0	0	0
Eif3e	70.214286	0	226	0	0	0	0	262	137	137	0	0	130	0	91	0
Crtc1	70.214286	0	313	0	0	320	0	0	0	0	0	0	350	0	0	0
Cdkn2d	70.142857	157	183	0	0	0	0	252	128	91	0	0	171	0	0	0
Rap2a	70.071429	0	140	0	0	0	0	320	218	215	0	0	0	0	88	0
Ppp1r15a	70.071429	153	89	0	0	100	0	130	0	116	0	0	218	0	175	0
Plekha4	70.071429	153	89	0	0	100	0	130	0	116	0	0	218	0	175	0
Nup50	70.071429	0	228	0	0	239	0	0	101	126	0	0	287	0	0	0
Ttll5	70.000000	0	187	0	0	145	0	136	235	182	0	0	95	0	0	0
Sdf4	70.000000	0	111	0	0	256	0	0	0	185	0	0	275	0	153	0
Fra10ac1	70.000000	0	146	151	0	113	0	125	193	129	0	0	0	0	123	0
Erg28	70.000000	0	187	0	0	145	0	136	235	182	0	0	95	0	0	0
Eif3c	70.000000	0	0	0	0	0	0	310	396	178	0	0	0	0	96	0
B3galt6	70.000000	0	111	0	0	256	0	0	0	185	0	0	275	0	153	0
Kansl1	69.928571	0	0	0	0	0	0	296	261	212	0	0	0	0	210	0
Alas1	69.928571	0	380	0	0	297	0	0	0	0	0	0	302	0	0	0
Hdac5	69.857143	0	429	0	0	207	0	0	112	0	0	0	230	0	0	0
Ccp110	69.857143	0	0	0	0	0	0	328	402	248	0	0	0	0	0	0
9130023H24Rik	69.785714	0	144	0	0	127	0	215	126	243	0	0	122	0	0	0
Mrpl24	69.714286	0	0	0	0	0	0	296	520	160	0	0	0	0	0	0
Kdm3a	69.571429	0	121	0	0	0	0	400	202	251	0	0	0	0	0	0
Hp1bp3	69.571429	0	498	0	0	278	0	0	0	0	0	0	198	0	0	0
Eif4g2	69.571429	0	148	0	0	0	0	377	209	172	0	0	0	0	68	0
Grk5	69.428571	0	100	0	0	0	0	270	211	230	0	0	0	0	161	0
Zfp113	69.285714	195	225	0	0	165	0	139	134	0	0	0	0	0	112	0
Zfp780b	69.214286	0	0	0	0	0	0	263	415	163	0	0	0	0	128	0
Gpkow	69.214286	0	0	0	0	0	0	290	385	294	0	0	0	0	0	0
Clp1	69.214286	0	0	0	0	0	0	430	264	174	0	0	0	0	101	0
Atp6v0d1	69.214286	144	334	0	0	168	0	136	0	0	0	0	187	0	0	0
Zfp14	69.142857	0	0	0	0	0	0	406	367	195	0	0	0	0	0	0
Khsrp	69.142857	0	276	0	0	0	0	126	291	121	0	0	154	0	0	0
Upf3b	68.928571	0	0	0	0	0	0	356	346	263	0	0	0	0	0	0
Ttc32	68.928571	0	163	0	0	0	0	157	155	195	151	0	0	0	144	0
Rab8a	68.928571	0	270	0	0	0	0	226	176	177	0	0	0	0	116	0
H2az2	68.928571	0	213	0	0	0	0	237	109	200	0	0	206	0	0	0
Pip5k1a	68.857143	144	351	0	0	264	0	0	0	0	0	0	205	0	0	0
Zfp169	68.642857	0	103	0	0	0	0	201	306	181	0	0	0	0	170	0
Alkbh5	68.642857	0	192	0	0	285	0	158	159	167	0	0	0	0	0	0
Tmem170b	68.500000	0	337	0	0	182	0	0	0	0	0	0	440	0	0	0
Slc25a36	68.500000	168	233	0	0	0	0	163	99	152	0	0	0	0	144	0
Ramac	68.500000	161	247	0	0	0	0	139	88	172	0	0	152	0	0	0
Ccnk	68.500000	0	0	0	0	0	0	383	329	247	0	0	0	0	0	0
Zfp93	68.214286	0	0	0	0	0	0	249	430	276	0	0	0	0	0	0
Ilf3	68.214286	0	226	0	0	0	0	195	254	134	0	0	0	0	146	0
Mycbp	68.142857	0	476	0	0	140	0	0	0	167	0	0	171	0	0	0
Mrpl42	68.142857	0	0	0	0	0	0	371	384	100	0	0	0	0	99	0
Mbd1	68.142857	0	258	0	0	137	0	86	114	133	0	0	133	0	93	0
Sppl2b	68.000000	0	312	0	0	226	0	82	0	0	0	0	332	0	0	0
Lsm7	68.000000	0	312	0	0	226	0	82	0	0	0	0	332	0	0	0
Itsn1	68.000000	0	0	0	0	0	0	329	340	136	0	0	0	0	147	0
Cryzl1	68.000000	0	0	0	0	0	0	329	340	136	0	0	0	0	147	0
Wdcp	67.857143	0	0	0	0	0	0	396	360	194	0	0	0	0	0	0
Bcl7b	67.857143	0	115	0	0	0	0	155	184	261	0	0	235	0	0	0
Selenoi	67.785714	0	346	0	0	357	0	0	0	0	0	0	246	0	0	0
Smndc1	67.571429	168	282	0	0	0	0	0	234	101	0	0	161	0	0	0
Rhbdd2	67.571429	0	0	0	0	0	0	304	270	372	0	0	0	0	0	0
Ints10	67.500000	0	0	0	0	160	0	204	155	240	0	0	0	0	186	0
Calm3	67.428571	0	0	0	0	0	0	222	234	371	0	0	0	0	117	0
Fmc1	67.285714	0	0	0	0	0	0	274	340	242	0	0	0	0	86	0
Zfp457	67.214286	0	0	0	0	0	0	345	397	119	0	0	0	0	80	0
Trim41	67.214286	0	0	0	0	0	0	187	143	271	146	0	0	0	194	0
Tmub1	67.214286	0	0	0	0	0	0	308	307	197	0	0	0	0	129	0
Tarbp2	67.214286	0	0	0	0	0	0	249	298	251	0	0	0	0	143	0
Ogfod1	67.142857	0	0	0	0	0	0	217	467	140	0	0	0	0	116	0
Nudt21	67.142857	0	0	0	0	0	0	217	467	140	0	0	0	0	116	0
Ift140	66.928571	0	173	0	0	0	0	231	184	214	0	0	135	0	0	0
Cramp1l	66.928571	0	173	0	0	0	0	231	184	214	0	0	135	0	0	0
Smim13	66.785714	0	117	0	0	0	0	356	237	118	0	0	0	0	107	0
Zfp748	66.714286	0	214	0	0	0	0	190	258	160	0	0	0	0	112	0
Tmod3	66.642857	0	0	0	0	0	0	351	297	192	0	0	0	0	93	0
Ptcd2	66.642857	0	187	0	0	149	0	161	250	186	0	0	0	0	0	0
Mrps27	66.642857	0	187	0	0	149	0	161	250	186	0	0	0	0	0	0
Kifc1	66.642857	0	161	0	0	0	0	122	264	161	0	0	121	0	104	0
Riok1	66.571429	0	322	0	0	0	0	0	186	156	0	0	135	0	133	0
Ldb1	66.571429	0	456	0	0	258	0	0	0	0	0	0	218	0	0	0
Cage1	66.571429	0	322	0	0	0	0	0	186	156	0	0	135	0	133	0
Tnrc6c	66.500000	0	176	0	0	0	0	127	129	219	0	0	168	0	112	0
Mga	66.428571	0	175	0	0	0	0	105	139	228	0	0	152	0	131	0
Abhd17a	66.357143	154	503	0	0	158	0	0	0	0	0	0	114	0	0	0
Atf7	66.214286	0	129	0	0	246	0	86	154	172	0	0	0	0	140	0
Zfp446	66.142857	0	0	0	0	0	0	289	324	163	0	0	0	0	150	0
Srebf2	66.142857	132	133	0	0	105	0	193	189	174	0	0	0	0	0	0
Mlst8	66.000000	0	239	0	0	333	0	143	0	0	0	0	209	0	0	0
Eif2ak3	66.000000	0	175	0	0	0	0	199	169	222	0	0	0	0	159	0
Snx14	65.857143	0	0	0	0	0	0	289	341	146	0	0	146	0	0	0
Rapgef6	65.857143	0	175	0	0	182	0	124	89	105	0	0	247	0	0	0
Exosc8	65.785714	0	248	96	0	141	0	101	0	149	0	0	186	0	0	0
Alg5	65.785714	0	248	96	0	141	0	101	0	149	0	0	186	0	0	0
Stxbp5	65.571429	0	0	0	0	0	0	196	458	264	0	0	0	0	0	0
Sel1l	65.571429	0	0	0	0	0	0	372	366	180	0	0	0	0	0	0
Mxd4	65.500000	0	103	0	0	0	0	205	246	193	0	0	170	0	0	0
Gtf2b	65.500000	0	147	0	0	94	0	185	190	163	0	0	138	0	0	0
Csde1	65.357143	0	0	0	0	0	0	331	248	242	0	0	0	0	94	0
Zswim4	65.214286	0	0	0	0	108	0	216	236	209	0	0	144	0	0	0
Ice1	65.214286	0	0	0	0	0	0	287	398	228	0	0	0	0	0	0
Ube4a	65.071429	104	284	0	0	173	0	0	88	0	0	0	262	0	0	0
Tmem175	65.071429	0	316	0	0	133	0	0	102	130	0	0	160	0	70	0
Kpna1	65.071429	0	303	0	0	206	0	0	0	0	0	0	402	0	0	0
Gak	65.071429	0	316	0	0	133	0	0	102	130	0	0	160	0	70	0
Ndufb5	65.000000	0	0	0	0	0	0	324	247	189	0	0	0	0	150	0
Mrpl47	65.000000	0	0	0	0	0	0	324	247	189	0	0	0	0	150	0
Rab1a	64.928571	0	0	0	0	0	0	354	208	347	0	0	0	0	0	0
Taf6	64.785714	0	0	0	0	0	0	304	389	110	0	0	0	0	104	0
Letm2	64.785714	0	175	0	0	171	0	132	113	150	0	0	166	0	0	0
Fosb	64.785714	121	276	0	0	167	0	187	0	0	0	0	156	0	0	0
Cnpy4	64.785714	0	0	0	0	0	0	304	389	110	0	0	0	0	104	0
Cdc6	64.785714	0	0	0	0	0	0	351	422	134	0	0	0	0	0	0
Osbpl9	64.642857	0	297	0	0	108	0	92	100	143	0	0	0	0	165	0
Cep85	64.642857	0	301	0	0	0	0	168	80	155	0	0	201	0	0	0
Zfp513	64.571429	0	79	0	0	0	0	193	207	204	0	0	117	0	104	0
Ppp6r1	64.571429	0	214	0	0	227	0	131	101	0	0	0	231	0	0	0
Mbtps1	64.571429	0	258	0	0	217	0	194	0	0	0	0	235	0	0	0
Zfp963	64.428571	0	98	0	0	0	0	200	210	96	0	0	112	0	186	0
Stard4	64.428571	0	0	0	0	0	0	325	97	362	0	0	0	0	118	0
Mbd3	64.428571	0	307	0	0	301	0	0	0	0	0	0	294	0	0	0
Cnot1	64.357143	0	0	0	0	0	0	304	309	202	0	0	0	0	86	0
Ppm1a	64.285714	0	215	0	0	0	0	296	114	104	0	0	171	0	0	0
Stk11ip	64.214286	0	308	0	0	190	0	132	135	134	0	0	0	0	0	0
Map2k7	64.214286	0	178	0	0	216	0	233	157	115	0	0	0	0	0	0
Enkd1	64.214286	0	0	0	0	0	0	327	393	179	0	0	0	0	0	0
4933405L10Rik	64.214286	0	0	0	0	0	0	327	393	179	0	0	0	0	0	0
Tbc1d14	64.142857	0	309	0	0	0	0	98	96	163	0	0	232	0	0	0
Fam222a	64.142857	0	0	0	0	0	0	357	308	233	0	0	0	0	0	0
Tcf3	63.857143	0	0	0	0	0	0	369	345	180	0	0	0	0	0	0
Pds5b	63.714286	0	314	0	0	325	0	0	0	0	0	0	253	0	0	0
Fbxw7	63.714286	0	0	0	0	0	0	372	401	119	0	0	0	0	0	0
Cenpu	63.714286	0	0	188	0	0	0	292	278	134	0	0	0	0	0	0
2210016L21Rik	63.714286	0	0	0	0	0	0	400	354	138	0	0	0	0	0	0
Tspan4	63.642857	0	129	0	0	0	0	153	324	202	0	0	0	0	83	0
Tln1	63.642857	0	0	0	0	0	0	379	330	182	0	0	0	0	0	0
Creb3	63.642857	0	0	0	0	0	0	379	330	182	0	0	0	0	0	0
Tomt	63.357143	0	0	0	0	0	0	159	276	224	0	0	0	0	228	0
Srsf1	63.357143	0	118	0	0	187	0	136	162	151	0	0	133	0	0	0
Napb	63.357143	0	0	0	0	0	0	268	298	193	0	0	0	0	128	0
Lamtor1	63.357143	0	0	0	0	0	0	159	276	224	0	0	0	0	228	0
Chic2	63.357143	0	145	177	0	0	0	0	0	150	0	0	289	126	0	0
Mon1b	63.214286	83	136	0	0	0	0	126	170	199	0	0	171	0	0	0
Gnb1l	63.214286	0	356	0	0	0	0	117	145	0	0	0	146	0	121	0
Retreg2	63.142857	174	164	0	0	0	0	125	163	125	0	0	0	0	133	0
Ipo7	63.142857	0	0	0	0	0	0	224	306	251	0	0	0	0	103	0
Cnppd1	63.142857	174	164	0	0	0	0	125	163	125	0	0	0	0	133	0
Lrpprc	63.071429	0	0	0	0	0	0	241	254	247	0	0	141	0	0	0
Tmem214	62.928571	0	0	0	0	0	0	262	318	184	0	0	0	0	117	0
Luc7l2	62.928571	0	373	0	0	0	0	128	85	110	0	0	185	0	0	0
Rbks	62.785714	144	216	0	0	107	0	197	0	215	0	0	0	0	0	0
Babam2	62.785714	144	216	0	0	107	0	197	0	215	0	0	0	0	0	0
Rbsn	62.714286	0	204	0	0	201	0	145	0	96	0	0	232	0	0	0
Dars2	62.714286	0	95	0	0	0	0	276	321	186	0	0	0	0	0	0
Pnpla6	62.500000	0	0	0	0	0	0	435	311	129	0	0	0	0	0	0
Ep400	62.500000	0	93	0	0	0	0	207	288	195	0	0	0	0	92	0
Sdha	62.357143	0	282	0	0	147	0	109	0	105	0	0	230	0	0	0
Mfsd8	62.357143	0	112	0	0	0	0	291	160	196	0	0	0	0	114	0
Ccdc127	62.357143	0	282	0	0	147	0	109	0	105	0	0	230	0	0	0
Skp2	62.214286	0	0	0	0	0	0	353	300	218	0	0	0	0	0	0
Lmbrd2	62.214286	0	0	0	0	0	0	353	300	218	0	0	0	0	0	0
Hspb1	62.214286	0	0	0	0	0	0	313	289	269	0	0	0	0	0	0
Fam122a	62.214286	0	292	0	0	96	0	0	0	0	0	0	483	0	0	0
Cntrl	62.214286	0	167	0	0	0	0	139	145	135	0	0	160	0	125	0
Ifnar1	62.142857	0	184	0	0	108	0	130	125	135	0	0	188	0	0	0
Rab1b	62.071429	0	0	0	0	0	0	359	286	224	0	0	0	0	0	0
Gpt2	62.000000	0	0	0	0	0	0	261	295	206	0	0	0	0	106	0
Wdr48	61.928571	150	357	0	0	0	0	173	0	0	0	0	187	0	0	0
Sox12	61.928571	0	389	0	0	215	0	0	0	0	0	0	263	0	0	0
Ccm2	61.928571	232	171	0	0	0	0	204	118	142	0	0	0	0	0	0
Zfp451	61.785714	0	0	0	0	0	0	291	274	199	0	0	0	0	101	0
Pcnt	61.642857	0	140	0	0	0	0	127	111	163	0	0	217	0	105	0
Fastkd1	61.642857	0	0	0	0	0	0	291	255	169	0	0	0	0	148	0
Ptbp3	61.500000	0	288	0	0	191	0	0	0	0	0	0	382	0	0	0
Klhl18	61.500000	0	176	0	0	0	0	132	141	287	0	0	0	0	125	0
Kif9	61.500000	0	176	0	0	0	0	132	141	287	0	0	0	0	125	0
Tex10	61.428571	0	197	0	0	154	0	166	0	0	0	0	264	0	79	0
Selenok	61.428571	115	247	0	0	0	0	104	81	153	0	0	160	0	0	0
Ptcd3	61.428571	0	0	0	0	0	0	228	265	296	0	0	71	0	0	0
Polr1a	61.428571	0	0	0	0	0	0	228	265	296	0	0	71	0	0	0
Dmac1	61.428571	0	0	0	0	0	0	372	357	131	0	0	0	0	0	0
Scfd2	61.357143	0	225	0	0	205	0	0	139	133	0	0	0	0	157	0
Rplp0	61.357143	0	212	0	0	0	0	194	0	208	0	0	156	0	89	0
Dusp23	61.357143	0	131	0	0	0	0	222	195	167	0	0	0	0	144	0
Rida	61.285714	0	0	0	0	0	0	248	287	234	0	0	0	0	89	0
Pop1	61.285714	0	0	0	0	0	0	248	287	234	0	0	0	0	89	0
Fus	61.214286	0	0	0	0	0	0	281	183	207	0	0	0	0	186	0
Ddost	61.214286	0	0	0	0	125	0	235	197	218	0	0	0	0	82	0
Zfp661	61.142857	0	0	0	0	0	0	336	160	178	0	0	0	0	182	0
Rdh13	61.142857	0	0	0	0	0	0	232	323	166	0	0	0	0	135	0
Sgo1	61.071429	0	228	0	0	119	0	112	120	119	0	0	157	0	0	0
Zfp273	60.857143	0	0	0	0	0	0	396	171	203	0	0	0	0	82	0
Usp22	60.857143	86	376	0	0	0	0	81	139	170	0	0	0	0	0	0
Cox7c	60.857143	0	0	0	0	0	0	314	310	116	0	0	0	0	112	0
Csrp1	60.714286	0	274	0	0	162	0	107	0	159	0	0	148	0	0	0
Ccnc	60.714286	0	160	0	0	131	0	104	230	96	0	0	0	0	129	0
Haus1	60.571429	0	0	0	0	0	0	305	331	212	0	0	0	0	0	0
Cnot3	60.571429	0	234	0	0	0	0	124	195	203	0	0	92	0	0	0
Acp6	60.571429	0	0	0	0	0	0	373	317	158	0	0	0	0	0	0
Zfp212	60.428571	125	123	0	0	0	0	223	0	172	0	0	102	0	101	0
Eif4a1	60.428571	0	174	0	0	0	0	136	107	176	0	0	253	0	0	0
Ankrd37	60.428571	0	0	0	0	0	0	186	253	268	0	0	0	0	139	0
Pfkl	60.357143	0	265	0	0	0	0	108	153	120	0	0	199	0	0	0
Mindy4	60.357143	0	0	0	0	0	0	293	275	188	0	0	0	0	89	0
Prim1	60.214286	0	135	0	0	0	0	289	182	237	0	0	0	0	0	0
Naca	60.214286	0	183	0	0	104	0	110	96	229	0	0	121	0	0	0
H2ax	60.214286	0	144	0	0	0	0	180	101	179	0	0	239	0	0	0
Zfp90	60.142857	0	0	0	0	0	0	295	314	142	0	0	0	0	91	0
Zfp354b	60.142857	0	0	0	0	0	0	351	305	186	0	0	0	0	0	0
Yme1l1	60.142857	0	239	0	0	143	0	178	83	0	0	0	199	0	0	0
Mastl	60.142857	0	239	0	0	143	0	178	83	0	0	0	199	0	0	0
Ppp1r12b	60.071429	0	0	0	0	0	0	312	275	155	0	0	0	0	99	0
Gm3448	60.071429	0	0	0	0	0	0	334	158	252	0	0	0	0	97	0
Gm3417	60.071429	0	0	0	0	0	0	334	158	252	0	0	0	0	97	0
Tcte3	60.000000	0	0	0	0	0	0	333	158	252	0	0	0	0	97	0
Mpc2	60.000000	0	228	0	0	0	0	170	193	249	0	0	0	0	0	0
Dcaf6	60.000000	0	228	0	0	0	0	170	193	249	0	0	0	0	0	0
Tardbp	59.928571	0	146	0	0	0	0	212	179	187	0	0	0	0	115	0
Ctbp1	59.928571	0	328	0	0	337	0	0	0	83	0	0	91	0	0	0
Abca1	59.928571	0	169	0	0	125	0	235	228	82	0	0	0	0	0	0
Nfatc2ip	59.785714	0	0	0	0	0	0	333	304	200	0	0	0	0	0	0
Pex26	59.642857	0	0	0	0	0	0	363	223	124	0	0	0	0	125	0
Mettl22	59.642857	0	313	0	0	236	0	0	0	0	0	0	286	0	0	0
Foxj3	59.642857	0	220	0	0	0	0	235	94	137	0	0	0	0	149	0
Trmt10b	59.571429	0	0	0	0	0	0	279	316	126	0	0	0	0	113	0
Dnm1l	59.428571	0	0	0	0	0	0	276	219	171	0	0	0	0	166	0
Vars2	59.357143	0	215	0	0	263	0	68	0	0	0	0	285	0	0	0
Utp3	59.357143	0	0	0	0	0	0	326	215	181	0	0	0	0	109	0
Tgoln2	59.357143	0	252	0	0	0	0	210	194	85	0	0	90	0	0	0
Tgoln1	59.357143	0	252	0	0	0	0	210	194	85	0	0	90	0	0	0
Ube2n	59.285714	0	0	0	0	91	0	304	215	220	0	0	0	0	0	0
Lta4h	59.285714	0	0	0	0	0	0	224	377	229	0	0	0	0	0	0
Lrwd1	59.285714	0	0	0	0	0	0	353	286	191	0	0	0	0	0	0
Alkbh4	59.285714	0	0	0	0	0	0	353	286	191	0	0	0	0	0	0
Rnf44	59.214286	0	144	0	0	0	0	169	0	198	0	0	197	0	121	0
Tbc1d8b	59.142857	0	0	0	0	0	0	342	304	182	0	0	0	0	0	0
Mocs1	59.142857	0	0	0	0	0	0	306	274	248	0	0	0	0	0	0
Mafk	59.142857	0	289	0	0	166	0	145	0	109	0	0	119	0	0	0
Larp4	59.142857	0	78	0	0	0	0	143	160	183	0	0	167	0	97	0
6430548M08Rik	59.142857	111	184	0	0	0	0	201	0	201	0	0	131	0	0	0
Bub3	58.928571	0	0	0	0	0	0	296	319	210	0	0	0	0	0	0
Gtf3c1	58.857143	0	242	0	0	244	0	83	0	117	0	0	138	0	0	0
D430042O09Rik	58.857143	0	242	0	0	244	0	83	0	117	0	0	138	0	0	0
Toe1	58.785714	0	0	0	0	0	0	382	207	110	0	0	0	0	124	0
Mutyh	58.785714	0	0	0	0	0	0	382	207	110	0	0	0	0	124	0
St8sia4	58.642857	0	492	0	0	329	0	0	0	0	0	0	0	0	0	0
Fth1	58.500000	115	282	0	0	81	0	0	0	121	0	0	123	0	97	0
Dhrs7	58.500000	0	238	0	0	0	0	151	170	121	0	0	0	0	139	0
Uckl1	58.428571	0	0	0	0	0	0	376	252	190	0	0	0	0	0	0
Grk6	58.214286	0	186	0	0	187	0	0	144	128	0	0	170	0	0	0
Fam193a	58.214286	0	0	0	0	0	0	234	249	199	0	0	133	0	0	0
Rbm6	58.071429	0	0	0	0	0	0	305	192	217	0	0	0	0	99	0
Atp1b3	57.928571	0	375	0	0	108	0	0	122	63	0	0	143	0	0	0
Ago1	57.928571	0	368	0	0	195	0	0	0	0	0	0	248	0	0	0
Fdxacb1	57.857143	0	100	0	0	0	0	256	138	201	0	0	0	0	115	0
1110032A03Rik	57.857143	0	100	0	0	0	0	256	138	201	0	0	0	0	115	0
Ubfd1	57.785714	0	142	0	0	0	0	122	161	203	0	0	181	0	0	0
Ears2	57.785714	0	142	0	0	0	0	122	161	203	0	0	181	0	0	0
Ndc80	57.642857	0	141	0	0	127	0	168	0	174	0	0	119	0	78	0
Gar1	57.642857	0	0	0	0	0	0	184	204	281	0	0	0	0	138	0
Clcn7	57.642857	0	0	0	0	0	0	292	213	232	0	0	0	0	70	0
Sh3gl1	57.500000	0	0	94	0	129	0	109	333	0	140	0	0	0	0	0
Zfp688	57.428571	117	309	0	0	0	0	104	0	131	0	0	0	0	143	0
Ubr2	57.428571	0	0	0	0	0	0	313	346	145	0	0	0	0	0	0
Morf4l1	57.428571	0	0	0	0	0	0	256	256	292	0	0	0	0	0	0
Srsf7	57.214286	0	104	0	0	0	0	208	169	181	0	0	0	0	139	0
Papola	57.214286	0	166	0	0	0	0	271	149	215	0	0	0	0	0	0
Gm3435	57.214286	0	0	0	0	0	0	316	158	252	0	0	0	0	75	0
Esco2	57.214286	0	0	0	0	0	0	283	389	129	0	0	0	0	0	0
Cdc25a	57.214286	0	0	0	0	0	0	267	345	189	0	0	0	0	0	0
Card6	57.142857	129	335	0	0	158	0	0	0	0	0	0	178	0	0	0
Brap	57.071429	0	330	0	0	160	0	0	0	0	0	0	209	0	100	0
Acad10	57.071429	0	330	0	0	160	0	0	0	0	0	0	209	0	100	0
Zbtb7a	57.000000	0	0	0	0	0	0	798	0	0	0	0	0	0	0	0
Wrn	57.000000	0	0	0	0	0	0	325	249	224	0	0	0	0	0	0
Purg	57.000000	0	0	0	0	0	0	325	249	224	0	0	0	0	0	0
Map3k12	57.000000	0	0	0	0	0	0	249	298	251	0	0	0	0	0	0
Tsta3	56.928571	0	0	0	0	0	0	350	302	145	0	0	0	0	0	0
Iscu	56.928571	170	281	0	0	195	0	0	0	151	0	0	0	0	0	0
Cbx8	56.928571	0	216	0	0	138	0	0	90	78	0	0	275	0	0	0
Scrib	56.857143	0	0	0	0	0	0	430	366	0	0	0	0	0	0	0
Dnaja3	56.857143	0	0	0	0	0	0	248	302	133	0	0	0	0	113	0
Dmxl1	56.785714	0	0	0	0	0	0	271	296	125	0	0	0	0	103	0
Cep120	56.785714	231	0	0	0	0	0	271	149	144	0	0	0	0	0	0
Tmem69	56.714286	0	0	0	0	0	0	371	288	0	0	0	0	0	135	0
Tbc1d10b	56.642857	114	216	0	0	0	0	130	201	0	0	0	132	0	0	0
Mylpf	56.642857	114	216	0	0	0	0	130	201	0	0	0	132	0	0	0
Rab8b	56.571429	0	0	0	0	0	0	296	268	228	0	0	0	0	0	0
Igsf9	56.571429	0	0	0	0	0	0	183	154	283	0	0	0	0	172	0
Flcn	56.571429	0	151	0	0	0	0	151	251	137	0	0	0	0	102	0
Rad50	56.500000	110	355	0	0	153	0	0	0	173	0	0	0	0	0	0
Mpp7	56.500000	0	131	0	0	118	0	120	123	100	0	0	199	0	0	0
Nabp1	56.428571	0	101	0	0	0	0	198	127	155	0	0	113	0	96	0
Mef2a	56.285714	0	114	0	0	0	0	201	156	168	0	0	0	0	149	0
Brd3	56.285714	127	0	0	0	142	0	165	0	247	0	0	107	0	0	0
Hivep1	56.142857	110	318	0	0	0	0	95	0	105	0	0	158	0	0	0
Cdk2ap2	56.142857	0	167	0	0	202	0	136	148	133	0	0	0	0	0	0
Tarbp1	56.071429	0	430	0	0	123	0	0	0	0	0	0	232	0	0	0
Fbxo48	56.071429	0	0	0	0	0	0	359	262	164	0	0	0	0	0	0
Zfp354c	56.000000	0	0	0	0	0	0	250	358	176	0	0	0	0	0	0
Zfp12	56.000000	0	261	0	0	322	0	0	0	0	0	0	201	0	0	0
Nme1	56.000000	0	0	0	0	69	0	207	173	133	0	0	100	0	102	0
Ccdc166	56.000000	0	207	0	0	0	0	121	120	153	0	0	0	0	183	0
Pnpla8	55.928571	0	340	0	0	114	0	77	0	0	0	0	128	0	124	0
Pbxip1	55.785714	233	324	0	0	0	0	0	0	0	0	0	224	0	0	0
Nudcd3	55.714286	0	0	0	0	0	0	259	134	236	0	0	0	0	151	0
Sap30	55.642857	0	0	0	0	0	0	260	202	216	0	0	0	0	101	0
Cstf1	55.642857	0	159	0	0	188	0	230	96	106	0	0	0	0	0	0
Aurka	55.642857	0	159	0	0	188	0	230	96	106	0	0	0	0	0	0
Actr1a	55.571429	0	0	0	0	0	0	225	258	204	0	0	0	0	91	0
Ypel5	55.500000	115	117	0	0	0	0	136	185	224	0	0	0	0	0	0
Tmbim6	55.500000	121	239	0	0	126	0	97	0	0	0	0	194	0	0	0
Tssk6	55.428571	0	0	0	0	0	0	252	167	103	0	0	144	0	110	0
Tpgs2	55.428571	0	0	0	0	0	0	356	264	0	0	0	0	0	156	0
Ppat	55.428571	0	148	0	0	145	0	192	181	110	0	0	0	0	0	0
Paics	55.428571	0	148	0	0	145	0	192	181	110	0	0	0	0	0	0
Ndufa13	55.428571	0	0	0	0	0	0	252	167	103	0	0	144	0	110	0
AW554918	55.428571	0	0	0	0	0	0	356	264	0	0	0	0	0	156	0
Dnajc12	55.285714	0	0	0	0	0	0	347	302	125	0	0	0	0	0	0
Arhgap11a	55.285714	0	76	0	0	0	0	151	177	96	0	0	170	0	104	0
Ndufs2	55.214286	0	0	0	0	0	0	178	286	197	0	0	0	0	112	0
Mettl23	55.214286	0	0	0	0	0	0	160	308	202	0	0	103	0	0	0
Jmjd6	55.214286	0	0	0	0	0	0	160	308	202	0	0	103	0	0	0
