Target_genes	Smad2|Average	SRX1080389|Embryoid_Bodies	SRX1080390|Embryoid_Bodies	SRX1080403|Embryoid_Bodies	SRX1080404|Embryoid_Bodies	SRX1080406|Embryoid_Bodies	SRX1080407|Embryoid_Bodies	SRX5251391|Embryoid_Bodies	SRX5251392|Embryoid_Bodies	SRX026467|Embryonic_Stem_Cells	SRX026468|Embryonic_Stem_Cells	SRX026469|Embryonic_Stem_Cells	SRX1080395|Embryonic_Stem_Cells	SRX390391|Embryonic_Stem_Cells	SRX4578585|Embryonic_Stem_Cells	SRX5251386|Embryonic_Stem_Cells	SRX390396|mESC_derived_endoodermal_cells	SRX1557250|P19	SRX1557251|P19	SRX1557252|P19	SRX1557253|P19	SRX1557259|P19	SRX1557260|P19	SRX1557261|P19	SRX1557262|P19	SRX1163236|Pancreatic_cancer_cell_lines	SRX1163237|Pancreatic_cancer_cell_lines	SRX4578557|Pancreatic_ductal_adenocarcinoma	SRX4578558|Pancreatic_ductal_adenocarcinoma	SRX4578563|Pancreatic_ductal_adenocarcinoma	SRX4578564|Pancreatic_ductal_adenocarcinoma	SRX4578566|Pancreatic_ductal_adenocarcinoma	SRX4578567|Pancreatic_ductal_adenocarcinoma	STRING
Tex14	83.437500	0	0	0	0	0	0	86	268	0	65	364	0	558	91	0	285	0	165	232	183	0	0	0	0	0	0	0	0	0	86	166	121	0
Ccnl1	83.375000	0	0	128	0	125	97	0	184	0	0	0	0	379	286	153	602	0	0	0	0	0	0	0	0	169	0	0	0	0	275	73	197	0
Ptp4a3	83.343750	0	0	291	125	255	300	183	482	0	0	0	0	0	342	177	221	0	0	0	0	0	0	0	0	113	0	0	0	0	178	0	0	0
Nfyc	83.312500	256	0	134	88	220	0	192	262	0	0	0	0	183	274	172	513	0	0	148	0	0	0	0	0	0	0	0	0	0	139	85	0	0
Lmna	83.312500	0	0	111	0	108	0	125	205	0	0	0	0	331	235	0	242	0	0	0	0	0	0	0	0	314	0	0	102	0	585	0	308	0
Faap20	83.312500	0	0	296	74	287	111	185	552	0	0	0	0	227	514	106	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008O03Rik	83.312500	0	0	182	0	161	0	127	524	0	0	0	0	394	520	455	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Llgl1	83.156250	0	0	276	155	240	108	152	268	0	0	0	0	198	392	104	323	0	0	0	0	0	0	0	0	124	0	0	0	0	156	0	165	0
Ssrp1	83.125000	0	0	0	137	130	0	123	239	0	0	0	0	257	222	131	588	0	0	0	0	0	0	0	0	113	97	0	0	0	222	205	196	0
Mmaa	83.125000	0	0	176	272	225	224	212	213	0	0	0	0	192	327	178	265	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	225	0
Perp	83.093750	0	0	128	0	155	0	0	198	0	0	0	0	104	231	0	201	0	0	0	0	0	0	0	0	384	0	0	79	0	697	0	482	0
Scamp1	83.062500	0	0	168	0	204	118	125	366	0	0	0	0	106	367	137	487	0	0	0	0	0	0	0	0	121	0	0	0	0	147	154	158	0
Med6	82.937500	0	0	143	0	165	104	185	221	0	0	0	0	98	262	127	337	0	0	0	0	0	0	0	0	0	0	0	0	0	432	281	299	0
Fut10	82.843750	364	0	118	0	164	0	0	104	0	0	0	0	285	228	0	332	0	0	0	0	0	0	0	0	0	117	0	0	0	285	373	281	0
Taf4	82.812500	0	0	258	375	283	213	177	154	0	0	0	0	247	223	105	392	0	0	0	0	0	0	0	0	0	0	0	0	0	72	151	0	0
Slc35g1	82.781250	0	0	214	0	203	115	192	342	0	0	0	0	336	356	172	272	0	0	0	0	0	0	0	0	0	0	0	0	0	221	114	112	0
Cfap20	82.750000	0	0	130	255	169	211	235	243	0	0	0	0	105	337	268	342	0	0	0	0	0	0	0	0	0	0	0	0	0	128	93	132	0
Rufy2	82.718750	0	0	153	0	248	0	127	341	0	0	0	0	185	379	198	607	0	0	0	0	0	0	0	0	0	0	0	0	0	236	173	0	0
Rnf7	82.718750	0	0	104	131	108	187	185	231	0	0	0	0	148	322	100	533	0	0	0	0	0	0	0	0	146	0	0	0	0	230	111	111	0
Tnfaip3	82.687500	0	0	95	0	186	116	174	366	0	0	0	0	0	288	152	270	0	0	0	0	0	0	0	0	228	0	0	0	0	561	0	210	0
Dstyk	82.687500	0	0	0	0	163	0	137	298	0	0	0	0	146	496	134	437	0	0	0	0	0	0	0	0	168	0	0	0	0	156	301	210	0
Zpbp2	82.656250	0	0	0	0	0	0	84	106	0	0	0	0	166	108	0	185	0	0	0	0	0	0	0	0	355	0	0	471	0	1025	0	145	0
Hinfp	82.656250	0	0	164	177	155	153	251	255	0	0	0	0	216	229	198	387	0	0	0	0	0	0	0	0	0	0	0	0	0	343	117	0	0
Usp49	82.562500	0	0	293	185	367	217	164	272	0	0	0	0	0	438	115	359	0	0	0	0	0	0	0	0	134	0	0	0	0	98	0	0	0
Nsun6	82.562500	0	0	165	176	203	129	143	486	0	0	0	0	149	350	195	335	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	130	0
Arl5b	82.562500	0	0	165	176	203	129	143	486	0	0	0	0	149	350	195	335	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	130	0
Tmem132a	82.531250	0	0	84	123	134	0	138	125	0	0	0	0	229	409	109	574	0	0	0	0	0	0	0	0	121	0	0	0	0	254	138	203	0
Rap2a	82.500000	238	0	0	115	188	77	123	346	0	0	0	0	119	401	239	403	0	0	0	0	0	0	0	0	0	0	0	107	0	183	0	101	0
Brd3	82.500000	0	0	275	252	319	174	214	290	0	0	0	0	233	377	0	279	0	0	0	0	0	0	0	0	128	0	0	0	0	99	0	0	0
Nodal	82.468750	0	0	0	0	0	0	0	224	0	0	0	0	0	2415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Frmd6	82.437500	0	0	186	90	140	112	105	285	0	0	0	0	364	205	167	433	0	0	0	0	0	0	0	0	143	0	0	0	0	270	0	138	0
Txnip	82.312500	0	0	127	131	130	154	147	328	0	0	165	0	203	286	131	261	0	0	0	125	0	0	0	0	0	0	0	0	0	200	120	126	0
Scd2	82.312500	169	0	262	118	161	0	115	399	0	0	0	0	390	252	0	377	0	0	0	0	0	0	0	0	85	0	0	0	0	165	0	141	0
Hmgn2	82.312500	0	0	215	150	201	0	285	425	0	0	0	0	175	431	150	401	0	0	0	0	0	0	0	0	88	0	0	0	0	113	0	0	0
Pxn	82.281250	0	0	151	233	204	292	228	374	0	0	0	0	111	468	147	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0
Poldip3	82.218750	0	0	0	0	0	0	104	134	0	0	0	0	309	114	102	228	0	0	365	0	0	0	0	0	101	127	0	156	179	300	152	260	0
Tapt1	82.187500	0	0	237	233	411	164	97	501	0	0	0	0	0	299	0	306	0	0	0	0	0	0	0	0	112	0	0	0	0	165	105	0	0
Prpf19	82.187500	0	0	0	0	0	0	0	0	0	0	0	0	143	115	137	178	0	0	0	0	0	0	0	0	286	0	0	222	0	1054	111	384	0
Spag9	82.156250	0	0	175	270	374	186	149	207	0	0	0	0	84	0	0	183	0	0	0	0	0	0	0	0	155	132	0	0	0	430	0	284	0
Xpot	82.062500	0	0	129	154	154	116	149	287	0	0	0	0	163	334	97	378	0	0	0	0	0	0	0	0	179	0	0	0	0	249	86	151	0
Gjb3	82.062500	0	0	0	0	0	0	0	131	0	0	0	0	126	0	218	0	0	0	0	0	0	0	0	0	581	0	0	191	0	808	0	571	0
Ankrd28	82.062500	0	0	251	175	279	302	213	350	0	0	0	0	137	387	232	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Depdc5	82.031250	0	0	170	119	178	122	122	365	0	0	0	0	275	300	259	489	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	123	0
Plcb3	82.000000	0	0	186	160	259	173	164	346	0	0	0	0	0	378	247	239	0	0	0	0	0	0	0	0	91	0	0	0	0	152	69	160	0
Cep120	82.000000	95	0	109	119	109	115	98	286	0	0	0	0	129	260	123	368	0	0	0	0	0	0	0	0	127	0	0	0	0	229	176	281	0
Rel	81.968750	0	0	118	179	159	111	118	264	0	0	0	0	313	241	162	369	0	0	0	0	0	0	0	0	110	0	0	101	0	253	0	125	0
Ost4	81.968750	142	0	122	230	155	105	251	366	0	0	0	0	176	289	304	366	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0
Bmpr1b	81.968750	207	0	179	0	201	0	246	679	0	0	0	0	254	405	0	452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tpk1	81.875000	0	0	184	0	259	113	169	266	0	0	0	0	140	343	274	282	0	0	0	0	0	0	0	0	0	0	0	0	0	157	268	165	0
Nat10	81.875000	107	0	244	141	230	0	217	355	0	0	0	0	398	237	104	440	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0
Rad51ap1	81.843750	0	0	170	217	142	221	130	163	0	0	0	0	167	250	97	312	0	0	0	0	0	0	0	0	128	0	0	0	0	293	201	128	0
Pald1	81.843750	0	0	219	162	202	139	216	649	0	0	0	0	287	307	158	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D6Wsu163e	81.843750	0	0	170	217	142	221	130	163	0	0	0	0	167	250	97	312	0	0	0	0	0	0	0	0	128	0	0	0	0	293	201	128	0
H4c9	81.718750	0	0	0	0	0	0	134	151	94	100	637	0	357	117	0	286	0	0	162	164	0	0	0	0	0	0	0	0	0	167	115	131	0
Tssk6	81.656250	0	0	209	202	239	164	207	244	0	0	0	0	105	243	150	315	0	0	0	0	0	0	0	0	0	0	0	0	0	263	151	121	0
P2ry2	81.656250	188	0	180	123	128	96	181	365	0	0	0	0	88	416	241	487	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0
Ndufa13	81.656250	0	0	209	202	239	164	207	244	0	0	0	0	105	243	150	315	0	0	0	0	0	0	0	0	0	0	0	0	0	263	151	121	0
Uros	81.625000	0	0	142	80	103	88	208	306	0	0	0	0	329	535	160	324	0	0	87	0	0	0	0	0	151	0	0	0	0	99	0	0	0
Slc38a2	81.625000	0	0	179	109	192	82	172	399	0	0	0	0	162	185	0	295	0	0	0	0	0	0	0	0	305	0	0	0	0	284	0	248	0
Bccip	81.625000	0	0	142	80	103	88	208	306	0	0	0	0	329	535	160	324	0	0	87	0	0	0	0	0	151	0	0	0	0	99	0	0	0
Ube2z	81.593750	0	0	0	0	226	151	116	347	0	0	0	0	167	322	106	372	0	0	0	0	0	0	0	0	137	0	0	0	0	304	139	224	0
Hif1a	81.562500	0	0	112	160	212	123	214	320	0	0	0	0	255	319	94	543	0	0	0	0	0	0	0	0	0	0	0	0	0	186	72	0	0
Ccne2	81.531250	0	0	348	212	242	0	190	306	0	0	0	0	101	220	246	432	0	0	0	0	0	0	0	0	94	0	0	0	0	111	107	0	0
Tram1	81.500000	0	0	126	130	136	0	138	288	0	0	0	0	138	269	209	237	0	0	0	0	0	0	0	0	261	129	0	79	0	166	148	154	0
Col13a1	81.500000	178	0	437	179	284	0	230	719	0	0	0	0	0	294	0	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snrnp27	81.468750	0	0	0	0	0	0	109	140	0	0	0	0	135	181	81	274	0	0	0	0	0	0	0	0	187	175	0	214	0	334	411	366	0
Vps13d	81.406250	0	0	0	0	0	0	0	131	0	0	0	0	235	251	131	533	0	0	0	0	0	0	0	0	165	0	0	150	0	325	336	348	0
Lmnb1	81.375000	0	0	151	85	171	0	171	269	0	0	0	0	103	316	218	157	0	0	0	0	0	0	0	0	145	0	0	0	0	286	237	295	0
Caprin1	81.375000	0	0	428	246	452	227	111	310	0	0	0	0	77	146	0	268	0	0	0	0	0	0	0	0	147	0	0	0	0	66	0	126	0
Ubb	81.312500	0	0	0	0	0	0	115	183	0	0	0	0	278	129	0	375	0	0	124	0	0	0	0	0	273	0	0	167	0	562	103	293	0
4933405O20Rik	81.281250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	861	360	0	199	0	780	0	401	0
Get1	81.250000	0	0	162	282	214	178	139	188	0	0	0	0	257	276	121	412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	160	0
Rpl22	81.187500	75	0	0	172	126	0	132	282	0	0	0	0	155	428	126	337	0	0	0	0	0	0	0	0	132	0	0	0	0	304	142	187	0
Rbfox2	81.187500	0	0	108	0	261	0	103	282	0	0	0	0	261	466	124	621	0	0	0	0	0	0	0	0	102	0	0	0	0	162	0	108	0
Lpar1	81.187500	446	0	233	0	343	0	0	779	0	0	0	0	163	265	0	369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klhl20	81.062500	0	0	0	0	0	0	130	148	0	0	0	0	437	170	0	460	0	0	0	0	0	0	0	0	0	0	0	0	150	414	306	379	0
Ctbp1	80.937500	0	0	167	155	212	182	285	245	0	0	0	0	148	326	124	398	0	0	0	0	0	0	0	0	94	0	0	0	0	121	0	133	0
Pigo	80.906250	308	0	119	0	95	0	116	159	0	0	0	0	280	204	0	771	0	0	0	0	0	0	0	0	98	0	0	0	0	169	131	139	0
Cdipt	80.906250	225	0	104	105	0	0	92	204	0	0	0	0	308	251	188	555	0	0	0	0	0	0	0	0	0	0	0	0	0	351	0	206	0
Asap1	80.875000	0	0	155	236	176	104	157	277	0	0	0	0	0	208	78	230	0	0	0	0	0	0	0	0	147	0	0	0	0	641	0	179	0
Ppil4	80.812500	0	0	162	151	94	139	203	239	0	0	0	0	318	179	0	654	0	0	0	0	0	0	0	0	0	0	0	0	0	156	165	126	0
Lsp1	80.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	533	0	0	284	0	1011	0	595	0
Fam122a	80.750000	0	0	168	186	193	158	181	314	0	0	0	0	0	308	237	272	0	0	0	0	0	0	0	0	119	0	0	0	0	160	166	122	0
Limk2	80.718750	62	0	0	155	211	141	201	327	0	0	0	0	250	473	142	367	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	133	0
Acbd3	80.656250	123	0	140	150	135	0	209	329	0	0	0	0	174	434	160	360	0	0	0	0	0	0	0	0	0	0	0	0	0	151	109	107	0
Stard13	80.625000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	894	152	0	208	0	881	0	366	0
Kifc5b	80.593750	0	0	233	261	160	189	251	292	0	0	0	0	184	289	117	386	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0
Sema6a	80.531250	191	0	324	131	271	86	157	322	0	0	0	0	202	254	0	434	0	0	0	108	0	0	0	0	0	0	0	0	0	97	0	0	0
Mnat1	80.531250	142	0	0	0	145	0	102	77	0	0	0	0	267	118	89	633	0	0	0	0	0	0	0	0	0	188	0	0	0	319	210	287	0
Noxo1	80.468750	0	0	147	129	260	102	137	367	0	0	0	0	288	305	100	458	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	137	0
Gfer	80.468750	0	0	147	129	260	102	137	367	0	0	0	0	288	305	100	458	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	137	0
Dppa5a	80.437500	0	0	128	0	144	0	0	700	0	0	0	0	337	701	564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pacsin2	80.281250	239	0	122	0	128	0	115	109	0	0	0	0	85	377	173	309	0	0	0	0	0	0	0	0	172	0	0	0	0	564	0	176	0
Lemd2	80.281250	0	0	150	181	173	151	91	348	0	0	0	0	220	494	0	345	0	0	0	0	0	0	0	0	109	0	0	0	0	174	0	133	0
Ints12	80.218750	0	0	177	0	90	0	94	171	0	0	0	0	255	270	150	371	0	0	0	0	0	0	0	0	0	134	0	120	0	244	219	272	0
Gstcd	80.218750	0	0	177	0	90	0	94	171	0	0	0	0	255	270	150	371	0	0	0	0	0	0	0	0	0	134	0	120	0	244	219	272	0
Cnot11	80.218750	0	0	187	205	102	137	153	232	0	0	0	0	260	437	138	477	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	81	0
Psph	80.125000	121	0	116	0	71	0	134	0	0	0	0	0	260	313	102	405	0	0	0	0	0	0	0	0	210	0	0	192	0	218	173	249	0
Cct6a	80.125000	121	0	116	0	71	0	134	0	0	0	0	0	260	313	102	405	0	0	0	0	0	0	0	0	210	0	0	192	0	218	173	249	0
Hdac7	80.062500	0	0	101	0	125	0	70	188	0	0	0	0	0	184	139	558	0	0	0	0	0	0	0	0	294	0	0	140	0	532	0	231	0
Proser1	79.968750	0	0	0	0	88	0	0	128	0	0	0	0	157	153	73	272	0	0	0	0	0	0	0	0	307	201	0	223	149	280	233	295	0
Nhlrc3	79.968750	0	0	0	0	88	0	0	128	0	0	0	0	157	153	73	272	0	0	0	0	0	0	0	0	307	201	0	223	149	280	233	295	0
Gid4	79.968750	117	0	167	176	143	150	255	341	0	0	0	0	122	273	136	403	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	131	0
Slc6a7	79.906250	168	0	0	0	117	0	147	448	0	0	0	0	663	384	279	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rps19bp1	79.906250	0	0	0	0	0	0	95	148	0	0	0	0	260	223	178	360	0	0	0	0	0	0	0	0	187	144	0	0	0	383	282	297	0
Nsmce4a	79.843750	0	0	155	0	128	0	129	303	0	0	0	0	269	256	118	514	0	0	0	0	0	0	0	0	83	0	0	0	0	253	123	224	0
Ipo5	79.781250	0	0	97	218	166	116	73	120	0	0	0	0	93	186	0	201	0	0	0	0	0	0	0	0	308	0	0	170	0	526	0	279	0
Slc35e1	79.718750	0	0	222	254	265	292	118	252	0	0	0	0	92	365	168	377	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0
Rbm34	79.718750	0	0	127	0	119	89	125	265	0	0	0	0	174	212	0	234	0	0	0	0	0	0	0	0	172	162	0	0	0	279	253	340	0
Uimc1	79.687500	0	0	106	231	208	0	159	320	0	0	0	0	268	280	226	274	0	0	0	0	0	0	0	0	99	0	0	0	0	200	92	87	0
Unkl	79.625000	0	0	126	0	139	82	193	334	0	0	0	0	0	348	168	169	0	0	0	0	0	0	0	0	170	73	0	119	0	404	0	223	0
Pik3r3	79.625000	0	0	106	0	114	73	175	248	0	0	0	0	352	332	101	398	0	0	0	0	0	0	0	0	141	0	0	82	0	200	110	116	0
Tubgcp6	79.593750	119	0	118	0	92	0	82	310	0	0	0	0	259	366	130	673	0	0	0	0	0	0	0	0	0	0	0	0	0	258	140	0	0
Dmtn	79.500000	106	0	197	0	158	0	102	512	0	0	0	0	480	418	355	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spg7	79.468750	0	0	163	237	158	239	242	338	0	0	0	0	104	326	151	250	0	0	0	0	0	0	0	0	0	0	0	0	0	116	64	155	0
Ilf3	79.468750	0	0	156	134	132	136	330	424	0	0	0	0	159	259	117	511	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0
Cacng2	79.468750	0	0	0	0	0	102	102	312	0	0	0	0	394	504	242	727	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0
Cmss1	79.437500	0	0	123	0	100	0	153	148	0	0	0	0	129	321	192	359	0	0	0	0	0	0	0	0	130	0	0	115	0	331	311	130	0
Ets1	79.406250	0	0	75	101	161	164	0	132	0	0	0	0	0	159	126	229	0	0	0	0	0	0	0	0	325	0	0	159	0	556	0	354	0
Snx17	79.375000	0	0	131	0	109	140	115	259	0	0	0	0	316	260	122	500	0	0	0	59	0	0	0	0	0	0	0	0	0	211	141	177	0
Exoc5	79.375000	0	0	105	97	175	173	188	260	0	0	0	0	291	519	193	416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0
Eif2b4	79.375000	0	0	131	0	109	140	115	259	0	0	0	0	316	260	122	500	0	0	0	59	0	0	0	0	0	0	0	0	0	211	141	177	0
Ap5m1	79.375000	0	0	105	97	175	173	188	260	0	0	0	0	291	519	193	416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0
Zbtb40	79.250000	0	0	137	123	207	132	134	227	0	0	0	0	142	343	213	431	0	0	0	0	0	0	0	0	0	0	0	0	0	141	117	189	0
H3c7	79.250000	0	0	0	0	0	0	0	151	204	144	632	0	184	123	110	198	0	0	78	0	0	0	0	0	0	120	0	92	0	144	243	113	0
Wdr45b	79.187500	0	0	143	160	138	139	221	317	0	0	0	0	161	313	103	470	0	0	0	0	0	0	0	0	0	0	0	0	0	111	147	111	0
Asxl1	79.156250	0	0	343	138	313	108	165	567	0	0	0	0	0	349	158	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Supt4a	79.125000	0	0	243	231	227	252	288	219	0	0	0	0	0	187	181	363	0	0	0	0	0	0	0	0	0	0	0	0	0	135	77	129	0
Adipor2	79.125000	0	0	264	333	226	196	207	304	0	0	0	0	250	395	0	226	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0
Ube2q1	79.093750	0	0	189	97	250	218	286	301	0	0	0	0	102	330	84	272	0	0	0	0	0	0	0	0	117	0	0	0	0	167	0	118	0
Mapk4	79.093750	113	0	119	0	100	0	315	785	0	0	0	0	121	502	161	218	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0
Map4k5	79.093750	0	0	100	0	218	86	0	329	0	0	0	0	94	408	97	567	0	0	0	0	0	0	0	0	192	0	0	0	0	307	0	133	0
Klhdc2	79.093750	0	0	142	0	181	0	156	275	0	0	0	0	248	435	89	494	0	0	0	0	0	0	0	0	108	0	0	0	0	178	97	128	0
Atl1	79.093750	0	0	100	0	218	86	0	329	0	0	0	0	94	408	97	567	0	0	0	0	0	0	0	0	192	0	0	0	0	307	0	133	0
Tmem134	79.062500	0	0	212	0	155	109	166	303	0	0	0	0	197	345	167	421	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	263	0
Aip	79.062500	0	0	212	0	155	109	166	303	0	0	0	0	197	345	167	421	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	263	0
Srxn1	79.031250	0	0	0	0	0	0	0	102	0	0	0	0	0	166	70	141	0	0	0	0	0	0	0	0	555	156	0	162	0	719	90	368	0
Pafah2	79.031250	0	0	0	136	0	125	117	155	0	0	0	0	186	180	115	376	0	0	0	0	0	0	0	0	155	0	0	151	0	377	180	276	0
Chd8	79.031250	105	0	125	146	81	125	126	266	0	0	0	0	164	414	121	476	0	0	0	0	0	0	0	0	0	0	0	0	0	180	123	77	0
Ube3c	79.000000	0	0	150	251	148	134	247	213	0	0	0	0	109	459	251	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	159	0
Trim67	79.000000	0	0	195	123	248	72	125	417	0	0	0	0	186	336	163	663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cab39	79.000000	0	0	239	157	164	126	196	306	0	0	0	0	144	376	115	300	0	0	0	0	0	0	0	0	0	0	0	0	0	135	133	137	0
Tsku	78.968750	0	0	159	85	236	113	206	398	0	0	0	0	105	345	90	213	0	0	0	0	0	0	0	0	0	0	0	0	0	236	106	235	0
Mff	78.968750	142	0	0	116	0	188	145	140	0	0	0	0	272	310	0	365	0	0	0	0	0	0	0	0	169	0	0	0	0	247	215	218	0
Lif	78.968750	0	0	0	0	137	0	110	108	0	0	0	0	0	110	0	156	0	0	0	0	0	0	0	0	602	0	0	423	0	715	0	166	0
Zc3h15	78.937500	0	0	183	223	217	151	184	185	0	0	0	0	206	289	128	479	0	0	0	0	0	0	0	0	80	0	0	0	0	109	92	0	0
Amotl2	78.906250	0	0	189	102	164	0	110	489	0	0	0	0	240	207	0	477	0	0	0	0	0	0	0	0	124	0	0	0	0	214	0	209	0
Cnot10	78.843750	0	0	136	0	121	156	115	132	0	0	0	0	224	277	0	303	0	0	0	0	0	0	0	0	0	0	0	0	150	318	211	380	0
Bsn	78.843750	0	0	243	0	176	0	116	322	0	0	0	0	280	365	212	809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zswim7	78.781250	0	0	226	0	320	110	127	235	0	0	0	0	183	325	130	223	0	0	0	0	0	0	0	0	150	0	0	0	0	378	0	114	0
Ttc19	78.781250	0	0	226	0	320	110	127	235	0	0	0	0	183	325	130	223	0	0	0	0	0	0	0	0	150	0	0	0	0	378	0	114	0
Tpgs2	78.781250	0	0	142	157	291	116	136	209	0	0	0	0	120	568	212	302	0	0	0	0	0	0	0	0	0	0	0	0	0	116	152	0	0
AW554918	78.781250	0	0	142	157	291	116	136	209	0	0	0	0	120	568	212	302	0	0	0	0	0	0	0	0	0	0	0	0	0	116	152	0	0
Txndc9	78.750000	0	0	184	0	180	0	95	267	0	0	0	0	207	185	179	372	0	0	0	0	0	0	0	0	137	0	0	0	0	231	226	257	0
Eif5b	78.750000	0	0	184	0	180	0	95	267	0	0	0	0	207	185	179	372	0	0	0	0	0	0	0	0	137	0	0	0	0	231	226	257	0
Fzd5	78.656250	0	0	171	140	304	125	116	284	0	0	0	0	160	463	166	466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0
Zfp768	78.625000	0	0	73	0	140	0	97	258	0	0	0	0	0	295	117	375	0	0	0	0	0	0	0	0	202	179	0	157	0	240	206	177	0
Lce1f	78.625000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	548	0	0	1042	0	926	0	0	0
Rcor2	78.593750	618	0	281	146	238	0	0	250	0	0	0	0	112	142	0	640	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0
Cpsf6	78.593750	176	0	151	229	161	144	173	364	0	0	0	0	133	342	94	390	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0
Chordc1	78.593750	0	0	0	0	156	93	246	221	0	0	0	0	159	204	0	423	0	0	0	0	0	0	0	0	0	143	0	0	0	433	205	232	0
Frzb	78.562500	248	0	298	0	262	0	169	509	0	0	0	0	0	432	0	596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam163b	78.562500	0	0	213	157	167	206	138	230	0	0	0	0	189	407	144	663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rbm47	78.437500	338	0	281	0	126	0	91	417	0	0	0	0	135	311	80	647	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0
Fnbp1l	78.437500	0	0	210	200	243	0	197	338	0	0	0	0	145	334	268	321	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	90	0
Nup214	78.406250	0	0	207	122	142	179	243	266	0	0	0	0	178	422	139	463	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0
Emp1	78.406250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	407	264	0	308	0	799	0	731	0
Mycbp2	78.375000	107	0	94	189	236	103	186	313	0	0	0	0	184	260	128	708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myrf	78.343750	0	0	78	118	193	0	106	231	0	0	0	0	168	300	134	468	0	0	0	0	0	0	0	0	0	0	0	0	0	296	208	207	0
Glul	78.343750	149	0	119	0	131	0	127	797	0	0	0	0	264	371	85	279	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0
Pom121	78.281250	0	0	207	0	308	163	0	274	0	0	0	0	71	431	118	338	0	0	0	0	0	0	0	0	129	0	0	0	0	224	106	136	0
Rps27l	78.156250	0	0	0	0	164	0	176	225	0	0	0	0	108	266	112	364	0	0	0	0	0	0	0	0	245	0	0	107	0	215	150	369	0
Mex3b	78.125000	0	0	163	147	192	0	0	208	0	0	0	0	188	472	249	490	0	0	0	0	0	0	0	0	0	0	0	0	0	151	84	156	0
