Target_genes	Smad4|Average	SRX3014617|CD4-Positive_T-Lymphocytes	SRX3014618|CD4-Positive_T-Lymphocytes	SRX3014619|CD4-Positive_T-Lymphocytes	SRX3014620|CD4-Positive_T-Lymphocytes	SRX5023289|Duodenum	SRX5023290|Duodenum	SRX3101083|Embryoid_Bodies	SRX3101084|Embryoid_Bodies	SRX5251395|Embryoid_Bodies	SRX5251396|Embryoid_Bodies	SRX4046280|Embryonic_limb	SRX5251388|Embryonic_Stem_Cells	SRX529265|Lung	SRX1094554|Neural_Stem_Cells	SRX5551007|Unclassified	SRX5551008|Unclassified	SRX5551011|Unclassified	SRX5551012|Unclassified	STRING
Itprid2	95.833333	230	146	0	0	94	105	0	0	0	0	0	0	240	205	508	197	0	0	0
Smad5	95.777778	266	238	0	0	260	149	0	0	0	0	0	0	262	176	199	174	0	0	0
Atxn2l	95.777778	179	220	0	0	0	133	108	0	0	107	0	68	332	179	398	0	0	0	0
Zmym5	95.722222	163	204	0	0	141	160	0	0	0	86	0	0	174	196	462	137	0	0	0
Ube2z	95.722222	186	212	0	0	150	184	164	0	0	166	0	0	228	265	168	0	0	0	0
Ago3	95.666667	207	198	0	0	172	137	0	0	0	0	0	0	213	0	293	195	130	177	0
Snx17	95.611111	262	376	0	0	0	112	129	0	0	128	0	0	321	101	74	104	114	0	0
Eif2b4	95.611111	262	376	0	0	0	112	129	0	0	128	0	0	321	101	74	104	114	0	0
Mon2	95.555556	101	149	0	0	183	222	114	0	0	113	0	0	150	165	308	215	0	0	0
Kdm3a	95.555556	296	276	0	0	184	225	0	0	0	0	0	0	300	123	174	142	0	0	0
Acadvl	95.555556	131	0	0	0	429	460	0	0	0	0	0	0	0	0	344	0	356	0	0
Psmd12	95.500000	252	240	0	0	117	127	0	0	0	80	0	0	414	189	176	124	0	0	0
Psma1	95.500000	342	299	0	0	0	0	100	0	0	96	0	0	557	0	196	0	129	0	0
E130309D02Rik	95.444444	223	279	0	0	186	269	81	0	0	80	0	0	149	195	160	96	0	0	0
Setd2	95.333333	153	162	0	0	173	279	0	0	0	0	0	0	317	185	346	0	0	101	0
Nmt2	95.333333	174	236	0	0	194	220	0	0	0	0	0	0	272	147	326	147	0	0	0
Hrh1	95.333333	0	0	0	0	124	128	0	0	0	0	0	0	0	0	891	224	244	105	0
Aqp6	95.333333	0	0	0	0	0	0	854	0	0	862	0	0	0	0	0	0	0	0	0
Rufy3	95.277778	0	0	0	0	136	248	171	0	0	181	0	0	212	195	425	147	0	0	0
Sac3d1	95.222222	191	270	0	0	270	255	95	0	0	94	0	0	100	112	153	174	0	0	0
Lamp1	95.111111	324	161	0	0	119	201	0	0	0	0	0	0	311	235	172	0	189	0	0
Jmjd1c	95.111111	549	372	0	0	0	0	0	0	0	0	0	0	198	119	85	0	248	141	0
Ints12	95.111111	292	205	0	0	64	173	0	0	0	0	0	0	725	124	129	0	0	0	0
Gstcd	95.111111	292	205	0	0	64	173	0	0	0	0	0	0	725	124	129	0	0	0	0
Cmtr2	95.055556	95	0	0	0	0	0	0	0	0	0	0	0	387	122	954	153	0	0	0
Tox4	95.000000	303	163	0	0	0	0	110	0	0	107	0	0	470	134	172	166	85	0	0
Rab2b	95.000000	303	163	0	0	0	0	110	0	0	107	0	0	470	134	172	166	85	0	0
Chmp6	95.000000	322	350	0	0	129	125	0	0	0	0	0	0	229	259	182	114	0	0	0
Tent2	94.944444	166	104	0	0	108	148	115	0	0	116	0	0	251	125	347	122	107	0	0
Rps20	94.944444	277	448	0	0	147	226	0	0	0	0	0	0	312	0	188	111	0	0	0
Dstyk	94.888889	201	137	0	0	124	0	100	0	0	100	0	0	295	418	229	104	0	0	0
Cutc	94.888889	146	180	0	0	161	244	94	0	0	94	0	0	289	202	156	142	0	0	0
Cox15	94.888889	146	180	0	0	161	244	94	0	0	94	0	0	289	202	156	142	0	0	0
Naa35	94.722222	130	252	0	0	107	123	103	0	0	102	0	0	296	296	296	0	0	0	0
Rxylt1	94.666667	203	158	0	0	202	149	94	0	0	102	0	0	293	71	278	154	0	0	0
Nuak1	94.666667	0	0	0	0	111	111	129	0	0	128	0	0	237	220	508	137	123	0	0
Gabpa	94.666667	228	220	0	0	151	186	0	0	0	0	0	0	509	119	177	114	0	0	0
Dnajc11	94.666667	232	371	0	0	0	0	0	0	0	0	0	134	439	191	160	177	0	0	0
Atp5j	94.666667	228	220	0	0	151	186	0	0	0	0	0	0	509	119	177	114	0	0	0
Eif4e2	94.555556	167	157	0	0	0	229	0	0	0	0	0	0	570	170	152	167	90	0	0
Eif2b3	94.555556	247	138	0	0	122	206	0	0	0	0	0	0	183	125	396	209	76	0	0
6430548M08Rik	94.555556	136	172	0	0	114	122	0	0	0	0	0	0	1158	0	0	0	0	0	0
Slc35b2	94.500000	364	221	0	0	0	0	0	0	0	0	0	0	387	0	391	211	127	0	0
Slc35b1	94.500000	352	448	0	0	84	0	107	0	0	115	0	0	331	158	106	0	0	0	0
Ube2g1	94.444444	109	138	0	0	191	215	123	0	0	121	0	0	271	167	241	124	0	0	0
Smarca5	94.388889	136	195	0	0	145	147	224	0	0	217	0	126	159	134	216	0	0	0	0
Man2a1	94.388889	121	139	0	0	230	196	0	0	0	0	0	0	112	146	583	172	0	0	0
Dhx16	94.333333	304	299	0	0	98	0	139	0	0	138	0	0	300	98	119	0	203	0	0
Ppm1a	94.277778	181	159	0	0	0	131	243	0	0	242	0	0	121	321	299	0	0	0	0
Map1lc3a	94.277778	132	174	0	0	173	315	235	0	0	231	0	0	175	0	190	0	0	72	0
Ppp3ca	94.222222	148	146	0	0	246	202	0	0	0	0	0	0	277	108	314	174	81	0	0
Spin1	94.111111	311	377	0	0	474	298	0	0	0	0	0	0	0	135	99	0	0	0	0
Klc2	94.111111	211	286	0	0	164	105	151	0	0	154	0	0	246	156	221	0	0	0	0
E4f1	94.111111	182	206	0	0	0	164	0	0	0	0	0	0	415	153	219	0	256	99	0
Ddx20	94.111111	393	268	0	0	0	0	110	0	0	117	0	0	474	108	151	0	73	0	0
Cnot10	93.944444	269	368	0	0	75	80	0	0	0	0	0	0	570	0	133	0	196	0	0
Znrf1	93.888889	166	123	0	0	95	102	312	0	0	314	0	209	113	203	0	53	0	0	0
Fam241a	93.888889	142	0	0	0	298	414	110	0	0	109	0	0	168	153	296	0	0	0	0
Bloc1s1	93.888889	105	154	0	0	261	398	0	0	0	0	0	0	247	120	245	160	0	0	0
Wdr45b	93.833333	130	84	0	0	0	0	129	0	0	128	0	83	362	228	240	139	166	0	0
Fth1	93.777778	204	212	0	0	224	180	93	0	0	94	0	0	224	168	162	0	127	0	0
Maml3	93.722222	453	305	0	0	112	0	0	0	0	0	0	0	400	0	215	202	0	0	0
Klf16	93.722222	124	125	0	0	77	151	74	0	0	73	0	0	171	213	300	105	128	146	0
Cst3	93.722222	0	0	0	0	0	0	211	0	0	210	0	162	181	0	494	107	136	186	0
Rassf1	93.666667	0	218	0	0	175	163	133	0	0	132	0	0	160	0	310	163	76	156	0
Zfp119b	93.611111	170	226	0	0	314	308	95	0	0	86	0	0	267	0	219	0	0	0	0
Sav1	93.555556	0	183	0	0	77	169	159	0	0	158	0	78	151	254	373	82	0	0	0
Jak1	93.555556	131	158	0	0	139	71	0	0	0	0	0	0	413	139	349	141	143	0	0
Farp2	93.500000	112	157	0	0	134	148	149	0	0	144	0	0	123	215	391	110	0	0	0
Tnpo3	93.444444	186	209	0	0	201	135	0	0	0	0	0	0	440	212	162	137	0	0	0
Mtg1	93.444444	246	169	0	0	0	112	0	0	0	0	0	0	558	369	228	0	0	0	0
Cuta	93.444444	263	230	0	0	0	149	152	0	0	152	0	0	140	180	416	0	0	0	0
Tnrc6a	93.388889	254	267	0	0	178	225	106	0	0	106	0	0	282	117	146	0	0	0	0
Kbtbd3	93.388889	273	123	0	0	0	116	124	0	0	125	0	0	225	156	320	106	113	0	0
Exoc6	93.388889	0	108	0	0	332	354	94	0	0	93	0	0	240	121	339	0	0	0	0
Aasdhppt	93.388889	273	123	0	0	0	116	124	0	0	125	0	0	225	156	320	106	113	0	0
H3f3a	93.333333	216	169	0	0	93	0	254	0	0	250	0	0	101	238	359	0	0	0	0
Edem1	93.333333	164	75	0	0	88	199	150	0	0	149	0	0	140	244	334	137	0	0	0
Whrn	93.277778	239	211	0	0	284	274	98	0	0	132	0	0	0	139	206	96	0	0	0
Sirt1	93.111111	233	204	0	0	195	125	141	0	0	141	0	0	0	112	405	120	0	0	0
Rps29	93.111111	183	274	0	0	0	0	98	0	300	123	189	0	195	167	0	0	147	0	0
Oga	93.111111	120	238	0	0	92	0	143	0	0	141	0	0	507	243	192	0	0	0	0
Rap1b	93.055556	110	0	0	0	229	131	106	0	0	105	0	0	168	258	402	166	0	0	0
Dohh	93.055556	210	347	0	0	0	0	0	0	0	0	0	0	671	112	160	0	175	0	0
Mtmr2	93.000000	200	141	0	0	0	136	0	0	0	0	0	0	265	148	489	295	0	0	0
Cdc34	93.000000	130	225	0	0	0	0	0	0	0	0	0	0	659	255	206	74	125	0	0
Boll	93.000000	347	235	0	0	93	148	220	0	0	219	0	0	128	0	284	0	0	0	0
Crem	92.944444	377	473	0	0	0	0	86	0	0	86	0	0	250	94	160	147	0	0	0
Ccnd3	92.944444	77	0	0	0	0	0	184	0	0	181	0	0	479	74	400	104	174	0	0
Ccdc194	92.944444	0	0	0	0	0	0	834	0	0	839	0	0	0	0	0	0	0	0	0
Syncrip	92.777778	212	196	0	0	129	82	132	0	0	136	0	0	305	376	102	0	0	0	0
Snrpd3	92.777778	159	214	0	0	0	92	0	0	0	0	0	0	639	292	274	0	0	0	0
Pemt	92.777778	146	155	0	0	124	145	100	0	0	100	0	0	662	238	0	0	0	0	0
Gucd1	92.777778	159	214	0	0	0	92	0	0	0	0	0	0	639	292	274	0	0	0	0
Gmnn	92.777778	143	0	0	0	462	371	165	0	0	157	0	0	0	150	125	0	97	0	0
Esyt1	92.777778	508	349	0	0	121	134	0	0	0	0	0	0	204	0	354	0	0	0	0
Sbno2	92.722222	174	121	0	0	0	107	0	0	0	0	0	0	310	0	454	81	267	155	0
Dhrs7	92.722222	165	104	0	0	0	168	94	0	0	96	0	0	262	0	530	250	0	0	0
Sfr1	92.666667	460	346	0	0	0	0	0	0	0	0	0	0	320	127	259	156	0	0	0
Cox18	92.666667	248	263	0	0	0	0	147	0	0	159	0	0	354	0	263	137	97	0	0
Smc3	92.611111	276	454	0	0	234	339	0	0	0	0	0	0	216	0	148	0	0	0	0
Prkcsh	92.611111	0	129	0	0	0	0	0	0	0	0	0	0	1244	163	131	0	0	0	0
Mif4gd	92.611111	229	207	0	0	305	399	140	0	0	139	0	0	0	133	115	0	0	0	0
Lars2	92.611111	334	291	0	0	0	0	0	0	0	0	0	108	276	127	188	204	139	0	0
Ccdc151	92.611111	0	129	0	0	0	0	0	0	0	0	0	0	1244	163	131	0	0	0	0
Zfp1	92.555556	137	241	0	0	264	334	0	0	0	0	0	0	124	82	295	86	103	0	0
Tubd1	92.555556	142	170	0	0	190	240	111	0	0	118	0	0	411	144	0	0	140	0	0
Rps6kb1	92.555556	142	170	0	0	190	240	111	0	0	118	0	0	411	144	0	0	140	0	0
Nfx1	92.444444	153	173	0	0	184	158	94	0	0	94	0	0	276	137	312	83	0	0	0
Vps29	92.388889	347	376	0	0	0	0	59	0	0	0	0	0	268	102	118	124	269	0	0
Rad9b	92.388889	347	376	0	0	0	0	59	0	0	0	0	0	268	102	118	124	269	0	0
Nipsnap2	92.388889	328	228	0	0	0	0	141	0	0	141	0	0	366	190	177	92	0	0	0
Inpp4b	92.388889	707	832	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0
Limk2	92.333333	436	322	0	0	111	99	123	0	0	123	0	0	170	84	194	0	0	0	0
Vps13d	92.277778	593	448	0	0	0	102	0	0	0	0	0	0	334	0	184	0	0	0	0
Coro1c	92.277778	0	184	0	0	201	162	0	0	0	0	0	0	349	0	329	167	178	91	0
Raph1	92.222222	0	0	0	0	126	135	175	0	0	183	0	0	241	162	449	189	0	0	0
Glcci1	92.222222	0	131	0	0	384	474	152	0	0	152	0	0	0	111	256	0	0	0	0
Foxo3	92.222222	521	398	0	0	0	0	119	0	0	118	0	0	269	0	235	0	0	0	0
Rhbdd3	92.166667	309	242	0	0	71	0	0	0	0	0	0	0	368	187	293	189	0	0	0
Ewsr1	92.166667	309	242	0	0	71	0	0	0	0	0	0	0	368	187	293	189	0	0	0
Bcl9	92.166667	212	142	0	0	0	0	104	0	0	112	0	96	144	453	396	0	0	0	0
Rnf166	92.055556	169	161	0	0	192	119	160	0	0	159	0	0	279	157	137	124	0	0	0
Ctu2	92.055556	169	161	0	0	192	119	160	0	0	159	0	0	279	157	137	124	0	0	0
Itgal	92.000000	248	127	0	0	0	0	0	0	0	0	0	0	0	0	665	260	202	154	0
Get1	92.000000	269	341	0	0	0	0	129	0	0	128	0	0	473	0	192	124	0	0	0
Prpf40a	91.888889	367	354	0	0	0	146	0	0	0	0	0	0	161	123	369	134	0	0	0
Pisd	91.888889	112	136	0	0	152	167	214	0	0	213	0	0	161	174	246	0	0	79	0
Otud7b	91.888889	234	131	0	0	0	116	168	0	0	166	0	0	257	164	267	151	0	0	0
Epb41	91.888889	100	143	0	0	0	107	135	0	0	134	0	0	143	477	415	0	0	0	0
Arl6ip6	91.888889	367	354	0	0	0	146	0	0	0	0	0	0	161	123	369	134	0	0	0
Zswim6	91.833333	183	216	0	0	0	136	79	0	0	86	0	0	307	160	289	92	105	0	0
Suco	91.722222	127	176	0	0	162	172	0	0	0	0	0	0	212	194	453	155	0	0	0
Rbsn	91.666667	253	332	0	0	0	0	0	0	0	0	0	177	398	270	220	0	0	0	0
Golga3	91.666667	342	331	0	0	302	215	0	0	0	0	0	0	334	126	0	0	0	0	0
Rasgrp2	91.611111	208	248	0	0	0	0	177	0	0	176	0	0	149	0	542	149	0	0	0
Xylb	91.500000	191	95	0	0	307	374	172	0	0	171	0	0	204	0	133	0	0	0	0
Mlxip	91.500000	117	0	0	0	175	69	94	0	0	95	0	0	279	197	304	216	101	0	0
Map3k5	91.500000	249	178	0	0	210	252	78	0	0	78	0	0	119	89	298	96	0	0	0
Gse1	91.500000	110	138	0	0	152	184	212	0	0	211	0	0	409	0	231	0	0	0	0
Ddx50	91.444444	151	226	0	0	119	115	79	0	0	72	0	0	257	247	286	94	0	0	0
Ctbp1	91.444444	176	164	0	0	154	137	116	0	0	115	0	0	171	186	277	150	0	0	0
Tbc1d1	91.388889	102	0	0	0	0	0	82	0	0	81	0	0	101	257	747	129	146	0	0
Tram1	91.333333	156	202	0	0	120	92	190	0	0	179	0	0	250	154	106	195	0	0	0
Tmem64	91.333333	128	124	0	0	204	295	158	0	0	158	0	0	169	202	206	0	0	0	0
Slc25a32	91.333333	265	265	0	0	0	111	0	0	0	0	0	0	392	0	269	189	153	0	0
Mrtfa	91.333333	297	345	0	0	92	0	0	0	0	0	0	0	310	153	192	0	145	110	0
Dcaf13	91.333333	265	265	0	0	0	111	0	0	0	0	0	0	392	0	269	189	153	0	0
Ywhah	91.166667	169	235	0	0	139	158	139	0	0	140	0	0	111	179	276	95	0	0	0
Tank	91.166667	289	212	0	0	0	143	0	0	0	0	0	0	138	179	539	141	0	0	0
Slc35e1	91.111111	238	267	0	0	0	0	0	0	0	0	0	0	184	367	322	110	152	0	0
Mapkap1	91.111111	172	0	0	0	194	193	103	0	0	101	0	0	250	200	283	144	0	0	0
Sugt1	91.055556	123	250	0	0	0	0	438	0	0	435	0	0	247	0	146	0	0	0	0
Rmnd5b	91.055556	205	355	0	0	142	223	111	0	0	109	0	0	203	101	190	0	0	0	0
Ptpn2	91.055556	151	218	0	0	167	204	89	0	0	90	0	0	289	0	235	117	79	0	0
Mycbp2	91.055556	174	141	0	0	105	120	126	0	0	125	0	0	392	108	180	168	0	0	0
Usp30	91.000000	174	172	0	0	0	0	0	0	0	0	0	0	917	242	133	0	0	0	0
Ubtf	91.000000	146	0	0	0	86	192	194	0	0	197	0	0	108	172	349	0	194	0	0
Tfdp2	91.000000	0	137	0	0	269	309	118	0	0	117	0	0	139	161	388	0	0	0	0
Mtmr9	91.000000	218	126	0	0	123	204	96	0	0	95	0	0	483	293	0	0	0	0	0
Hnrnpa3	91.000000	232	193	0	0	120	128	0	0	0	0	0	0	337	0	464	164	0	0	0
Pofut2	90.944444	172	190	0	0	158	181	144	0	0	144	0	0	318	166	164	0	0	0	0
Psip1	90.888889	412	311	0	0	132	214	160	0	0	160	0	0	122	125	0	0	0	0	0
Mcf2l	90.888889	0	0	0	0	0	102	354	0	0	353	0	0	827	0	0	0	0	0	0
Cct8	90.888889	190	210	0	0	109	0	100	0	0	100	0	0	523	92	241	71	0	0	0
Tfg	90.833333	154	124	0	0	0	0	177	0	0	177	0	0	232	108	474	98	91	0	0
St6galnac4	90.833333	0	120	0	0	0	0	169	0	0	169	0	0	216	128	337	102	225	169	0
Scarb2	90.777778	181	246	0	0	0	163	0	0	0	0	0	0	247	182	394	221	0	0	0
Gemin7	90.722222	186	142	0	0	185	121	90	0	0	90	0	0	237	180	211	191	0	0	0
Cilk1	90.722222	116	127	0	0	324	230	171	0	0	181	0	0	204	89	191	0	0	0	0
Cdk5rap2	90.722222	223	165	0	0	0	0	0	0	0	0	0	0	797	341	107	0	0	0	0
Zfp36	90.666667	97	0	0	0	108	188	576	88	0	575	0	0	0	0	0	0	0	0	0
Sdha	90.666667	195	162	0	0	240	293	183	0	0	190	0	0	151	102	116	0	0	0	0
Polk	90.666667	193	108	0	0	111	217	0	0	0	0	0	0	111	279	442	171	0	0	0
Col4a3bp	90.666667	193	108	0	0	111	217	0	0	0	0	0	0	111	279	442	171	0	0	0
Ccdc127	90.666667	195	162	0	0	240	293	183	0	0	190	0	0	151	102	116	0	0	0	0
Nckap5l	90.555556	167	252	0	0	0	0	142	0	0	141	0	0	177	126	403	222	0	0	0
Bcl6	90.555556	501	359	0	0	331	332	0	0	0	0	0	0	107	0	0	0	0	0	0
Anapc4	90.500000	135	228	0	0	126	114	82	0	0	81	0	0	184	122	333	224	0	0	0
Phactr4	90.444444	83	0	0	0	152	259	151	0	0	152	0	0	179	197	267	188	0	0	0
Msl1	90.444444	192	140	0	0	0	0	169	0	0	168	0	0	190	558	211	0	0	0	0
Kansl1	90.444444	117	173	0	0	163	189	0	0	0	0	0	0	224	296	352	114	0	0	0
Gls	90.444444	129	140	0	0	347	357	117	0	0	116	0	0	185	0	237	0	0	0	0
Kpna3	90.388889	278	272	0	0	107	0	0	0	0	0	0	0	225	151	391	203	0	0	0
Kdm2a	90.388889	171	111	0	0	0	95	213	0	0	212	0	0	157	172	392	104	0	0	0
Tdrd3	90.333333	186	201	0	0	184	403	0	0	0	0	0	0	252	134	116	150	0	0	0
Rsf1	90.333333	199	250	0	0	90	114	0	0	0	0	0	0	352	0	445	176	0	0	0
Ranbp2	90.333333	264	272	0	0	259	194	0	0	0	0	0	0	319	0	318	0	0	0	0
Fubp3	90.333333	110	0	0	0	0	0	300	0	0	300	0	0	407	274	235	0	0	0	0
Aamdc	90.333333	199	250	0	0	90	114	0	0	0	0	0	0	352	0	445	176	0	0	0
Cdk5r1	90.277778	261	255	0	0	0	94	145	0	0	144	0	0	0	464	262	0	0	0	0
Stk35	90.222222	156	103	0	0	204	277	0	0	0	0	0	0	145	220	319	200	0	0	0
Slc22a5	90.222222	0	67	0	0	133	0	138	0	0	138	0	0	124	159	676	130	59	0	0
Galk2	90.222222	245	187	0	0	104	0	0	0	0	0	0	0	514	255	133	186	0	0	0
Cops2	90.222222	245	187	0	0	104	0	0	0	0	0	0	0	514	255	133	186	0	0	0
Abtb1	90.000000	276	331	0	0	0	0	73	0	0	0	0	0	408	150	232	150	0	0	0
Rpusd2	89.944444	175	189	0	0	135	122	0	0	0	0	0	0	534	115	218	0	131	0	0
Zfp768	89.888889	0	0	0	0	133	0	145	0	0	144	0	0	156	313	394	333	0	0	0
Dync1li2	89.888889	325	317	0	0	102	96	0	0	0	133	0	0	393	252	0	0	0	0	0
Rab5if	89.833333	280	286	0	0	0	147	0	0	0	0	0	0	363	104	315	0	122	0	0
Rchy1	89.777778	177	222	0	0	226	201	155	0	0	153	0	0	190	108	184	0	0	0	0
Fem1c	89.777778	190	152	0	0	95	161	0	0	0	0	0	0	173	236	357	141	111	0	0
Med17	89.722222	87	148	0	0	108	172	0	0	0	0	0	0	487	357	93	163	0	0	0
Ergic2	89.722222	145	138	0	0	84	0	101	0	0	99	0	0	271	188	376	124	89	0	0
Dcaf11	89.722222	257	218	0	0	158	134	112	0	0	111	0	0	202	115	308	0	0	0	0
Abhd14b	89.722222	0	0	0	0	355	387	0	0	0	0	0	0	245	157	292	0	179	0	0
Abhd14a	89.722222	0	0	0	0	355	387	0	0	0	0	0	0	245	157	292	0	179	0	0
Yy1	89.666667	180	195	0	0	78	106	0	0	0	0	0	0	386	266	178	148	77	0	0
Capn10	89.666667	171	262	0	0	104	0	0	0	0	0	0	0	328	157	246	228	118	0	0
Msh6	89.611111	290	379	0	0	0	91	85	0	0	85	0	0	229	114	218	122	0	0	0
Atp6v0a1	89.555556	106	735	0	0	0	0	119	0	0	118	0	0	214	194	0	0	0	126	0
Tcea1	89.500000	205	194	0	0	130	99	0	0	0	0	0	0	340	172	314	157	0	0	0
Rcc2	89.500000	234	210	0	0	170	309	0	0	0	0	0	0	157	178	218	135	0	0	0
Acbd5	89.500000	183	177	0	0	0	251	0	0	0	0	0	0	482	121	255	0	142	0	0
Rnf215	89.444444	241	151	0	0	152	229	114	0	0	114	0	0	117	263	229	0	0	0	0
Plin3	89.444444	192	293	0	0	0	82	112	0	0	112	0	0	483	0	148	0	102	86	0
Carm1	89.444444	119	221	0	0	186	314	0	0	0	0	0	0	223	0	250	164	0	133	0
Zfp367	89.333333	0	204	0	0	162	179	194	0	0	200	0	0	136	135	398	0	0	0	0
Napa	89.333333	177	219	0	0	0	0	192	0	0	192	0	0	214	112	414	0	88	0	0
Map2k4	89.333333	167	180	0	0	127	184	0	0	0	0	0	0	252	147	318	233	0	0	0
Dnttip2	89.333333	89	0	0	0	0	0	152	0	0	149	0	0	508	284	229	197	0	0	0
Ap5b1	89.333333	204	289	0	0	298	332	0	0	0	0	0	0	158	176	151	0	0	0	0
Unc50	89.277778	126	162	0	0	149	137	98	0	0	107	0	0	410	224	194	0	0	0	0
Prdm4	89.277778	188	212	0	0	181	194	0	0	0	0	0	0	258	263	154	98	59	0	0
Paqr7	89.277778	0	0	0	0	97	0	131	0	0	132	0	0	212	0	442	103	296	194	0
Coa5	89.277778	126	162	0	0	149	137	98	0	0	107	0	0	410	224	194	0	0	0	0
Cmtr1	89.166667	122	175	0	0	211	114	0	0	0	0	0	0	315	208	310	150	0	0	0
Ogt	89.111111	334	198	0	0	0	0	0	0	0	0	0	0	599	132	226	115	0	0	0
Mrpl34	89.111111	131	109	0	0	0	0	0	0	0	0	0	0	662	248	129	0	212	113	0
Abhd8	89.111111	131	109	0	0	0	0	0	0	0	0	0	0	662	248	129	0	212	113	0
Sowahc	89.055556	187	212	0	0	154	164	0	0	0	0	0	0	298	191	397	0	0	0	0
Slc25a23	89.055556	527	515	0	0	0	0	0	0	0	0	0	0	352	0	209	0	0	0	0
Septin10	89.055556	187	212	0	0	154	164	0	0	0	0	0	0	298	191	397	0	0	0	0
Xrn1	88.944444	257	234	0	0	0	0	174	0	0	183	0	0	277	93	248	135	0	0	0
Rnf19b	88.888889	138	197	0	0	146	148	169	0	0	169	0	0	130	124	264	0	115	0	0
Endov	88.888889	286	267	0	0	0	0	148	0	0	148	0	102	268	132	81	168	0	0	0
Tmem50b	88.833333	105	0	0	0	212	254	167	0	0	161	0	0	120	167	413	0	0	0	0
Map1lc3b	88.777778	126	265	0	0	292	183	144	0	0	124	0	0	379	85	0	0	0	0	0
Hbp1	88.777778	166	174	0	0	89	135	128	0	0	126	0	0	285	112	383	0	0	0	0
Elovl1	88.722222	0	0	0	0	70	0	0	0	0	0	0	0	264	88	802	298	75	0	0
Polr3e	88.666667	258	178	0	0	211	302	0	0	0	0	0	0	271	120	134	0	0	122	0
Opa1	88.666667	0	168	0	0	0	0	0	0	0	0	0	0	689	262	129	348	0	0	0
Kxd1	88.666667	120	163	0	0	0	0	0	0	0	0	0	0	348	153	452	178	102	80	0
Elob	88.666667	144	253	0	0	131	116	68	0	0	68	0	0	294	141	213	168	0	0	0
Chchd5	88.555556	152	186	0	0	0	0	0	0	0	0	0	0	692	133	233	101	97	0	0
Ppp4r3a	88.500000	161	194	0	0	185	230	85	0	0	86	0	0	221	229	202	0	0	0	0
Tgif1	88.444444	314	251	0	0	0	100	0	0	0	0	0	0	0	0	383	253	113	178	0
Mia3	88.444444	167	120	0	0	83	74	82	0	0	81	0	129	231	94	329	202	0	0	0
Med30	88.444444	108	190	0	0	176	160	0	0	0	0	0	0	351	136	337	134	0	0	0
Marchf2	88.444444	0	0	0	0	152	167	0	0	0	0	0	0	227	102	615	329	0	0	0
Ggnbp2	88.444444	140	102	0	0	69	108	96	0	0	96	0	0	206	366	233	176	0	0	0
Slc1a4	88.388889	136	0	0	0	137	190	134	0	0	131	0	0	167	447	249	0	0	0	0
Knop1	88.388889	159	121	0	0	338	232	79	0	0	79	0	0	130	195	144	114	0	0	0
Iqck	88.388889	159	121	0	0	338	232	79	0	0	79	0	0	130	195	144	114	0	0	0
Zfp653	88.333333	129	172	0	0	116	97	121	0	0	117	0	0	206	215	417	0	0	0	0
Ankrd17	88.333333	122	221	0	0	113	208	184	0	0	193	0	0	190	198	161	0	0	0	0
Gmfg	88.277778	221	183	0	0	125	82	121	0	0	119	0	0	269	177	292	0	0	0	0
Ptpdc1	88.166667	0	0	0	0	274	230	0	0	0	0	0	86	121	154	573	149	0	0	0
Pkd1	88.111111	132	120	0	0	224	232	157	0	0	159	0	0	215	179	168	0	0	0	0
Pja2	88.111111	174	197	0	0	155	124	132	0	0	131	0	0	173	0	377	123	0	0	0
Fbxo5	88.111111	136	174	0	0	0	0	233	0	0	229	0	0	285	90	253	186	0	0	0
Ube2q1	88.055556	259	212	0	0	0	0	75	0	0	74	0	0	209	189	354	84	0	129	0
Tpd52	88.000000	0	0	0	0	0	141	261	0	0	259	0	0	0	0	329	228	253	113	0
Flot1	87.944444	0	0	0	0	0	0	92	0	0	91	0	0	249	0	365	0	489	297	0
Cog3	87.888889	162	159	0	0	193	205	0	0	0	0	0	0	258	156	199	138	0	112	0
Abhd10	87.888889	117	150	0	0	192	167	132	0	0	132	0	0	111	232	203	146	0	0	0
Trim37	87.833333	0	112	0	0	209	177	98	0	0	96	0	0	209	183	341	0	156	0	0
Tpp2	87.833333	272	310	0	0	92	117	77	0	0	77	0	0	221	168	143	104	0	0	0
Styx	87.833333	102	159	0	0	0	106	135	0	0	147	0	0	93	179	660	0	0	0	0
Spg7	87.833333	187	155	0	0	140	224	120	0	0	120	0	0	270	0	154	104	107	0	0
Shprh	87.833333	0	189	0	0	0	0	86	0	0	85	0	0	531	153	335	202	0	0	0
Slc25a25	87.777778	290	233	0	0	179	191	88	0	0	88	0	0	205	109	197	0	0	0	0
Rdx	87.777778	151	192	0	0	0	0	225	0	0	223	0	0	219	105	331	134	0	0	0
Herc3	87.777778	169	126	0	0	253	292	217	0	0	216	0	0	0	0	173	134	0	0	0
Fbxo9	87.777778	116	104	0	0	324	230	171	0	0	181	0	0	174	89	191	0	0	0	0
Cttnbp2nl	87.777778	0	0	0	0	88	88	305	0	0	316	0	0	204	200	379	0	0	0	0
Chchd2	87.722222	188	265	0	0	160	227	0	0	0	0	0	0	579	160	0	0	0	0	0
Ilrun	87.666667	179	178	0	0	0	0	192	0	0	191	0	0	236	0	351	0	132	119	0
