Target_genes	Tcf7|Average	SRX3154102|CD4-Positive_T-Lymphocytes	SRX4667998|CD4-Positive_T-Lymphocytes	SRX4668000|CD4-Positive_T-Lymphocytes	SRX1411153|CD4_CD8_double_positive_cells	SRX1267280|CD8-Positive_T-Lymphocytes	SRX1267281|CD8-Positive_T-Lymphocytes	SRX373141|CD8-Positive_T-Lymphocytes	SRX092472|EML_	SRX2438808|Natural_Killer_T-Cells	SRX2438811|Natural_Killer_T-Cells	SRX3154101|Tfh	SRX1411151|Thymocytes	SRX1411152|Thymocytes	SRX1411163|Thymocytes	SRX275397|Thymus	SRX389596|Thymus	SRX4667999|Treg	STRING
Cpq	45.705882	0	0	0	0	0	0	0	376	0	0	0	0	0	401	0	0	0	0
Cebpg	45.705882	0	0	0	0	0	0	0	0	0	0	0	0	366	411	0	0	0	0
BC049715	45.705882	0	0	0	0	139	0	0	0	0	0	0	0	225	291	122	0	0	0
Ap4s1	45.705882	0	0	0	0	0	0	0	117	0	0	0	0	267	170	223	0	0	0
Utp18	45.647059	0	0	0	0	0	0	0	161	0	0	0	0	254	257	104	0	0	0
Trank1	45.647059	0	0	0	100	0	0	0	0	0	0	0	0	400	276	0	0	0	0
Tmem47	45.647059	0	0	0	0	0	0	0	0	0	0	0	0	485	291	0	0	0	0
Slc25a25	45.647059	0	0	0	0	0	0	0	0	0	0	0	0	452	187	137	0	0	0
Sap18b	45.647059	0	0	0	0	0	0	0	152	0	0	0	0	244	275	105	0	0	0
Sap18	45.647059	0	0	0	0	0	0	0	152	0	0	0	0	244	275	105	0	0	0
Rnf2	45.647059	0	0	0	0	0	0	0	0	0	0	0	105	313	246	112	0	0	0
Pwwp2b	45.647059	0	0	0	0	0	0	0	0	0	0	0	0	625	151	0	0	0	0
Mbtd1	45.647059	0	0	0	0	0	0	0	161	0	0	0	0	254	257	104	0	0	0
Crbn	45.647059	0	0	0	0	0	0	0	232	0	0	0	0	0	406	138	0	0	0
Camk2d	45.647059	0	0	0	153	115	0	0	0	0	0	0	0	293	215	0	0	0	0
Cacna2d2	45.647059	0	0	0	129	0	0	0	0	0	0	0	0	459	188	0	0	0	0
Sox11	45.588235	0	0	0	202	0	0	0	0	0	0	0	0	435	138	0	0	0	0
Smim11	45.588235	0	0	0	0	0	0	0	143	0	0	0	0	0	0	376	256	0	0
Setd1a	45.588235	0	0	0	0	0	0	0	90	0	0	0	0	104	200	292	89	0	0
Ptpmt1	45.588235	0	0	0	0	0	0	0	0	0	0	0	0	518	257	0	0	0	0
Msantd2	45.588235	0	0	0	0	0	0	0	95	0	0	0	0	283	397	0	0	0	0
Man1a2	45.588235	0	0	0	0	0	0	0	0	0	0	0	0	344	326	105	0	0	0
Cfl2	45.588235	0	0	0	0	0	0	0	0	0	0	0	0	408	367	0	0	0	0
Ankrd28	45.588235	0	0	0	140	0	0	0	0	0	0	0	0	415	220	0	0	0	0
Yy1	45.529412	0	0	0	0	0	0	0	138	0	0	0	0	286	260	90	0	0	0
Susd4	45.529412	0	0	0	103	0	0	0	0	0	0	0	0	308	363	0	0	0	0
Stx7	45.529412	0	0	0	0	0	0	0	0	0	0	0	0	303	471	0	0	0	0
Smyd2	45.529412	0	0	0	103	0	0	0	0	0	0	0	0	446	225	0	0	0	0
Pygo2	45.529412	0	0	0	0	0	0	0	0	0	0	0	0	566	208	0	0	0	0
Pik3ap1	45.529412	0	0	0	0	0	0	0	0	0	0	0	0	313	461	0	0	0	0
Per2	45.529412	0	0	0	0	0	0	0	149	0	0	0	0	441	184	0	0	0	0
Pcna	45.529412	0	0	0	0	0	0	0	358	0	0	0	0	0	218	198	0	0	0
Gxylt1	45.529412	0	0	0	0	0	0	0	89	0	0	0	0	397	288	0	0	0	0
Gatad1	45.529412	0	0	0	0	0	0	0	0	0	0	0	0	457	317	0	0	0	0
Eed	45.529412	0	0	0	0	0	0	0	119	0	0	0	0	0	173	294	188	0	0
Adh5	45.529412	0	0	0	0	0	0	0	98	0	0	0	0	365	241	70	0	0	0
Adgra3	45.529412	0	0	0	0	0	0	0	0	0	0	0	0	485	289	0	0	0	0
Tmem114	45.470588	0	0	0	0	0	0	0	0	0	0	0	0	376	397	0	0	0	0
Spcs3	45.470588	0	0	0	0	0	0	0	113	0	0	0	0	355	305	0	0	0	0
Slc36a4	45.470588	0	0	0	135	0	0	0	0	0	0	0	0	355	283	0	0	0	0
Siah2	45.470588	0	0	0	0	0	0	0	0	0	0	0	0	225	396	152	0	0	0
Rcor1	45.470588	0	0	0	0	0	0	0	0	0	0	0	0	518	255	0	0	0	0
Psma3	45.470588	0	0	0	0	0	0	0	71	0	0	0	0	397	305	0	0	0	0
Nxpe3	45.470588	0	0	0	91	0	0	0	0	0	0	0	0	303	379	0	0	0	0
Nsa2	45.470588	0	0	0	0	0	0	0	163	0	0	0	0	0	324	141	145	0	0
Mfsd12	45.470588	0	0	0	127	0	0	0	0	0	0	0	0	452	194	0	0	0	0
Ift140	45.470588	0	0	0	0	0	0	0	145	0	0	0	0	303	177	148	0	0	0
Hsd11b1	45.470588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	477	296	0	0
Hes5	45.470588	0	0	0	0	0	0	0	0	0	0	0	0	583	190	0	0	0	0
Hdac2	45.470588	0	0	0	0	0	0	0	0	0	0	0	95	391	287	0	0	0	0
Gfm2	45.470588	0	0	0	0	0	0	0	163	0	0	0	0	0	324	141	145	0	0
Foxk1	45.470588	0	0	0	0	0	0	0	220	0	0	0	0	170	293	90	0	0	0
Fam126a	45.470588	0	0	0	0	0	0	0	157	0	0	0	0	324	292	0	0	0	0
Asb7	45.470588	0	0	0	0	0	0	0	69	0	0	79	0	0	311	206	108	0	0
Rps12	45.411765	0	0	0	0	0	0	0	145	0	0	65	0	0	198	223	141	0	0
Gpc1	45.411765	0	0	0	0	0	0	0	0	0	0	0	0	589	183	0	0	0	0
Fbxo9	45.411765	0	0	0	0	0	0	0	0	0	0	0	105	303	364	0	0	0	0
Col19a1	45.411765	0	0	0	0	0	0	0	0	0	0	0	0	408	364	0	0	0	0
Ccser2	45.411765	0	0	0	0	0	0	0	0	0	0	0	0	489	283	0	0	0	0
Zbtb38	45.352941	0	0	0	0	0	0	0	0	0	0	0	0	397	374	0	0	0	0
Tusc2	45.352941	0	0	0	0	0	0	0	0	0	0	0	0	408	363	0	0	0	0
Sppl3	45.352941	0	0	0	0	0	0	0	92	0	0	0	0	483	196	0	0	0	0
Prex1	45.352941	0	0	0	0	0	0	0	0	0	0	0	0	452	319	0	0	0	0
Pacc1	45.352941	0	0	0	0	0	0	0	84	0	0	0	0	0	239	319	129	0	0
Mrm3	45.352941	0	0	0	0	0	0	0	135	0	0	0	0	206	294	136	0	0	0
Mink1	45.352941	0	0	0	0	0	0	0	0	0	0	0	0	485	201	85	0	0	0
Man2b2	45.352941	0	0	0	0	0	0	0	190	0	0	0	0	263	318	0	0	0	0
Kcnh1	45.352941	0	0	0	100	0	0	0	0	0	0	0	0	357	314	0	0	0	0
Ica1	45.352941	0	0	0	0	0	0	0	0	0	0	0	0	547	224	0	0	0	0
Glod4	45.352941	0	0	0	0	0	0	0	135	0	0	0	0	206	294	136	0	0	0
Elmod2	45.352941	0	0	0	0	0	0	0	0	0	0	0	0	355	274	142	0	0	0
Bach1	45.352941	0	0	0	0	0	0	0	131	0	0	0	0	303	194	143	0	0	0
Acbd5	45.352941	0	0	0	0	0	0	0	129	0	0	0	0	0	251	275	116	0	0
Syt2	45.294118	0	0	0	0	0	0	0	0	0	0	0	0	538	232	0	0	0	0
St3gal5	45.294118	0	0	0	103	0	0	0	0	0	0	0	0	303	364	0	0	0	0
Slc5a5	45.294118	0	0	0	0	0	0	0	0	0	0	0	0	673	97	0	0	0	0
Plcb1	45.294118	0	0	0	0	0	0	0	0	0	0	0	0	485	285	0	0	0	0
Otud3	45.294118	0	0	0	0	0	0	0	0	0	0	0	0	441	329	0	0	0	0
Mkrn1	45.294118	0	0	0	0	0	0	0	0	0	0	0	0	469	301	0	0	0	0
Gns	45.294118	0	0	0	0	0	0	0	0	0	0	0	0	430	340	0	0	0	0
Foxd1	45.294118	0	0	0	150	0	0	0	0	0	0	0	0	365	255	0	0	0	0
Adamts19	45.294118	0	0	0	131	0	0	0	0	0	0	0	0	402	237	0	0	0	0
Zfp821	45.235294	0	0	0	0	0	0	0	0	0	0	0	146	340	283	0	0	0	0
Usp28	45.235294	0	0	0	0	0	0	0	0	0	0	0	0	344	425	0	0	0	0
Stk25	45.235294	0	0	0	0	0	0	0	0	0	0	0	0	452	211	106	0	0	0
Sstr4	45.235294	0	0	0	191	0	0	0	0	0	0	0	0	263	315	0	0	0	0
Slc6a11	45.235294	0	0	0	0	0	0	0	0	0	0	0	0	542	227	0	0	0	0
Rnf139	45.235294	0	0	0	0	93	0	0	427	0	0	0	0	0	249	0	0	0	0
Pih1d2	45.235294	0	0	0	0	0	0	0	94	0	0	0	0	293	285	97	0	0	0
Nkapd1	45.235294	0	0	0	0	0	0	0	94	0	0	0	0	293	285	97	0	0	0
Mrpl35	45.235294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	532	237	0	0
Mast2	45.235294	0	0	0	0	0	0	0	0	0	0	0	0	331	257	181	0	0	0
Insig1	45.235294	0	0	0	0	0	0	0	156	0	0	0	0	303	198	112	0	0	0
Gkap1	45.235294	0	0	0	0	0	0	0	0	0	0	0	0	548	221	0	0	0	0
Edem1	45.235294	0	0	0	0	0	0	0	0	0	0	0	0	419	350	0	0	0	0
Dyrk1b	45.235294	0	0	0	0	0	0	0	0	0	0	0	0	488	281	0	0	0	0
5730409E04Rik	45.235294	0	0	0	0	0	0	0	0	0	0	0	0	452	317	0	0	0	0
Trp53inp1	45.176471	0	0	0	0	0	0	0	172	0	0	0	0	170	329	97	0	0	0
Syde2	45.176471	0	0	0	0	0	0	0	0	0	0	0	0	458	310	0	0	0	0
Rflnb	45.176471	0	0	0	0	0	0	0	110	0	0	0	0	378	280	0	0	0	0
Prxl2c	45.176471	0	0	0	0	0	0	0	118	0	0	0	0	334	316	0	0	0	0
Phlda3	45.176471	0	0	0	140	0	0	0	0	0	0	0	0	335	293	0	0	0	0
Nkx1-1	45.176471	0	0	0	248	0	0	0	0	0	0	0	0	405	115	0	0	0	0
Naa15	45.176471	0	0	0	0	0	0	0	0	0	0	0	115	340	313	0	0	0	0
Larp1	45.176471	0	0	0	0	0	0	0	0	0	0	0	0	568	200	0	0	0	0
Irak3	45.176471	0	0	0	0	0	0	0	0	0	0	0	0	206	463	0	99	0	0
Rheb	45.117647	0	0	0	0	0	0	0	156	0	0	0	0	216	260	135	0	0	0
Irf5	45.117647	0	0	0	126	0	0	0	0	0	0	0	0	397	244	0	0	0	0
Gria2	45.117647	0	0	0	177	0	0	0	0	0	0	0	0	344	246	0	0	0	0
Epb41l5	45.117647	0	0	0	0	0	0	0	0	0	0	0	0	408	359	0	0	0	0
E2f2	45.117647	0	0	0	0	0	0	0	0	0	0	0	0	527	240	0	0	0	0
Spata2	45.058824	0	0	0	0	0	0	0	0	0	0	0	0	463	303	0	0	0	0
Pdpr	45.058824	0	0	0	0	0	0	0	91	0	0	0	0	365	310	0	0	0	0
Krtap4-1	45.058824	0	0	0	0	0	0	0	0	0	0	0	0	235	531	0	0	0	0
Hmgxb3	45.058824	0	0	0	0	0	0	0	0	0	0	0	0	283	320	163	0	0	0
Gfod1	45.058824	0	0	0	0	0	0	0	88	0	0	0	0	409	174	95	0	0	0
Ddx3x	45.058824	0	108	0	0	0	0	0	180	0	0	0	0	0	132	236	110	0	0
Clptm1l	45.058824	0	0	0	0	0	0	0	0	0	0	0	0	120	303	202	141	0	0
Cdh24	45.058824	0	0	0	167	0	0	0	0	0	0	0	0	452	147	0	0	0	0
Arhgap39	45.058824	0	0	0	0	0	0	0	201	0	0	0	0	355	210	0	0	0	0
Sav1	45.000000	0	0	0	0	0	0	0	137	0	0	0	0	350	278	0	0	0	0
Ppm1g	45.000000	0	0	0	0	0	0	0	105	0	0	0	0	225	304	131	0	0	0
Mras	45.000000	0	0	0	0	0	0	0	0	0	0	0	0	419	346	0	0	0	0
Ksr1	45.000000	0	0	0	0	0	0	0	90	0	0	0	0	419	256	0	0	0	0
Gm42517	45.000000	0	0	0	157	0	0	0	0	0	0	0	0	418	190	0	0	0	0
Fzr1	45.000000	0	0	0	0	0	0	0	0	0	0	0	0	162	148	346	109	0	0
Cbfb	45.000000	0	0	0	0	0	0	0	0	0	0	0	0	293	320	152	0	0	0
Twist1	44.941176	0	0	0	167	0	0	0	0	0	0	0	0	407	190	0	0	0	0
Susd1	44.941176	0	0	0	0	0	0	0	108	0	0	0	0	355	301	0	0	0	0
Sptan1	44.941176	0	0	0	0	0	0	0	0	0	0	0	0	515	249	0	0	0	0
Prkd1	44.941176	0	0	0	0	0	0	0	0	0	0	0	0	493	271	0	0	0	0
Pggt1b	44.941176	0	0	0	0	0	0	0	0	0	0	0	0	550	214	0	0	0	0
Nrbf2	44.941176	0	0	0	0	0	0	0	0	0	0	0	0	349	415	0	0	0	0
Mdn1	44.941176	0	0	0	0	132	0	0	134	0	0	0	0	0	249	151	98	0	0
Fbxo11	44.941176	0	0	0	0	0	0	0	151	0	0	0	0	193	239	181	0	0	0
Dtna	44.941176	0	0	0	183	0	0	0	0	0	0	0	0	346	235	0	0	0	0
Cnih2	44.941176	0	0	0	0	0	0	0	0	0	0	0	125	485	154	0	0	0	0
Chrna4	44.941176	0	0	0	0	0	0	0	0	0	0	0	0	554	210	0	0	0	0
Cd63	44.941176	0	0	0	100	0	0	0	0	0	0	0	0	515	149	0	0	0	0
Cbln4	44.941176	0	0	0	0	0	0	0	0	0	0	0	0	577	187	0	0	0	0
Card10	44.941176	0	0	0	0	0	0	0	0	0	0	0	135	433	196	0	0	0	0
Bag3	44.941176	0	0	0	0	0	0	0	0	0	0	0	0	508	256	0	0	0	0
B4galnt1	44.941176	0	0	0	0	0	0	0	0	0	0	0	0	542	222	0	0	0	0
Zfp809	44.882353	0	0	0	0	0	0	0	84	0	0	0	0	0	330	349	0	0	0
Tram1	44.882353	0	0	0	0	0	0	0	154	0	0	0	0	244	365	0	0	0	0
Stk38l	44.882353	0	0	0	0	74	0	0	0	0	0	0	0	235	343	111	0	0	0
Sgcb	44.882353	0	0	0	0	0	0	0	0	0	0	0	0	525	238	0	0	0	0
Senp8	44.882353	0	0	0	127	0	0	0	0	0	0	0	0	254	194	188	0	0	0
Myo9a	44.882353	0	0	0	127	0	0	0	0	0	0	0	0	254	194	188	0	0	0
Cdk8	44.882353	0	0	0	0	0	0	0	110	0	0	0	0	254	271	128	0	0	0
Arfgef2	44.882353	0	0	0	0	0	0	0	161	0	0	0	0	206	396	0	0	0	0
Syt13	44.823529	0	0	0	0	0	0	0	0	0	0	0	0	441	321	0	0	0	0
Pkn2	44.823529	0	0	0	0	0	0	0	240	0	0	0	0	305	217	0	0	0	0
Pank1	44.823529	0	0	0	0	0	0	0	0	0	0	0	0	452	310	0	0	0	0
Itprid2	44.823529	0	0	0	0	0	0	0	86	0	0	0	0	188	344	144	0	0	0
Il17d	44.823529	0	0	0	0	0	0	0	0	0	0	0	0	441	321	0	0	0	0
Epop	44.823529	0	0	0	158	0	0	0	0	0	0	0	0	412	192	0	0	0	0
Eif2b3	44.823529	0	0	0	0	0	0	0	119	0	0	0	0	0	416	227	0	0	0
Cobl	44.823529	0	0	0	0	0	0	0	0	0	0	0	0	519	243	0	0	0	0
Clcf1	44.823529	0	0	0	109	0	0	0	0	0	0	0	0	434	219	0	0	0	0
Cep78	44.823529	0	0	0	0	0	0	0	0	0	0	0	69	408	285	0	0	0	0
Ccdc38	44.823529	0	0	0	0	0	0	0	173	0	0	0	0	179	410	0	0	0	0
Armc8	44.823529	0	0	0	0	0	0	0	0	0	0	0	0	263	301	198	0	0	0
Arhgef7	44.823529	0	0	0	0	0	0	0	155	0	0	0	0	182	266	159	0	0	0
Ap1s2	44.823529	0	0	0	127	0	0	0	0	0	0	0	0	371	182	82	0	0	0
Amdhd1	44.823529	0	0	0	0	0	0	0	173	0	0	0	0	179	410	0	0	0	0
A930017K11Rik	44.823529	0	0	0	0	0	0	0	0	0	0	0	0	762	0	0	0	0	0
Ythdf2	44.764706	0	0	0	0	0	0	0	189	0	0	0	0	275	200	97	0	0	0
Sema7a	44.764706	0	0	0	0	0	0	0	0	0	0	0	0	541	220	0	0	0	0
Reep1	44.764706	0	0	0	0	0	0	0	0	0	0	0	0	429	332	0	0	0	0
Pls1	44.764706	0	0	0	0	0	0	0	0	0	0	0	0	485	276	0	0	0	0
Paqr3	44.764706	0	0	0	0	0	0	0	0	0	0	0	0	485	276	0	0	0	0
Insm2	44.764706	0	0	0	150	0	0	0	0	0	0	0	0	461	150	0	0	0	0
Fbxo7	44.764706	0	0	0	0	0	0	0	209	0	0	0	0	197	186	169	0	0	0
Fam104a	44.764706	0	0	0	0	106	0	0	95	0	0	0	0	225	199	136	0	0	0
D11Wsu47e	44.764706	0	0	0	0	106	0	0	95	0	0	0	0	225	199	136	0	0	0
Aurkaip1	44.764706	0	0	0	0	0	0	0	369	0	0	0	0	0	237	155	0	0	0
Smim13	44.705882	0	0	0	0	0	0	0	0	0	0	0	0	206	369	185	0	0	0
Sik3	44.705882	0	0	0	0	0	0	0	214	0	0	0	0	244	302	0	0	0	0
Pithd1	44.705882	0	0	0	0	0	0	0	0	0	0	0	0	430	330	0	0	0	0
Mob3a	44.705882	0	0	0	0	0	0	0	171	0	0	0	0	235	206	148	0	0	0
Lrp10	44.705882	0	0	0	90	0	0	0	0	0	0	0	0	408	140	122	0	0	0
Fbn2	44.705882	0	0	0	0	0	0	0	0	0	0	0	0	394	366	0	0	0	0
Dnttip1	44.705882	0	0	0	0	0	0	0	138	0	0	0	0	162	276	184	0	0	0
Ddi2	44.705882	0	0	0	0	0	0	0	144	0	0	0	0	293	323	0	0	0	0
Cep170b	44.705882	0	0	0	0	0	0	0	0	0	0	0	0	616	144	0	0	0	0
Ccnl1	44.705882	0	0	0	0	0	0	0	167	0	0	0	0	197	261	135	0	0	0
Zdhhc13	44.647059	0	0	0	0	0	0	0	0	0	0	0	0	324	435	0	0	0	0
Ubr5	44.647059	0	0	0	0	0	0	0	264	0	0	0	0	293	202	0	0	0	0
Uba52	44.647059	0	0	0	0	0	0	0	0	0	0	0	115	474	170	0	0	0	0
Rps6ka5	44.647059	0	0	0	0	0	0	0	151	0	0	0	0	162	262	184	0	0	0
Rnf219	44.647059	0	0	0	0	0	0	0	0	0	0	0	0	293	327	139	0	0	0
Phf5a	44.647059	0	0	0	0	0	0	0	119	0	0	0	0	0	400	240	0	0	0
Napg	44.647059	0	0	0	0	0	0	0	0	0	0	0	0	0	391	241	127	0	0
H3f4	44.647059	0	0	0	0	0	0	0	0	0	0	0	0	485	274	0	0	0	0
Cnep1r1	44.647059	0	0	0	0	0	0	0	0	0	0	0	0	244	289	226	0	0	0
Cdan1	44.647059	0	0	0	0	0	0	0	0	0	0	0	0	464	295	0	0	0	0
Agk	44.647059	0	0	0	0	0	0	0	273	0	0	0	0	0	383	103	0	0	0
Aco2	44.647059	0	0	0	0	0	0	0	119	0	0	0	0	0	400	240	0	0	0
Zfp335	44.588235	0	0	0	0	0	0	0	161	0	0	0	0	263	199	135	0	0	0
Ube2w	44.588235	0	0	0	0	0	0	0	0	0	0	0	0	418	340	0	0	0	0
Tln1	44.588235	0	0	0	0	0	0	0	0	0	0	0	0	235	382	0	141	0	0
Suclg1	44.588235	0	0	0	0	0	0	0	133	0	0	0	0	0	471	154	0	0	0
Katnbl1	44.588235	0	0	0	0	0	0	0	214	0	0	0	0	293	251	0	0	0	0
Ift57	44.588235	0	0	0	0	0	0	0	0	0	0	0	0	324	223	211	0	0	0
Gda	44.588235	0	0	0	0	0	0	0	0	0	0	0	0	365	393	0	0	0	0
Eva1c	44.588235	0	0	0	0	0	0	0	0	0	0	0	0	452	306	0	0	0	0
Creb3	44.588235	0	0	0	0	0	0	0	0	0	0	0	0	235	382	0	141	0	0
Ywhab	44.529412	0	0	0	0	0	0	0	0	0	0	0	0	324	231	202	0	0	0
Usp39	44.529412	0	0	0	0	0	0	0	0	0	0	0	157	257	162	181	0	0	0
Stim2	44.529412	0	0	0	0	0	0	0	0	0	0	0	0	477	280	0	0	0	0
Ppp1r12c	44.529412	0	0	0	0	0	0	0	0	0	0	0	0	334	319	104	0	0	0
Mymx	44.529412	0	0	0	0	0	0	0	0	0	0	0	0	452	305	0	0	0	0
Dhrs7b	44.529412	0	0	0	0	0	0	0	0	0	0	0	0	0	223	355	179	0	0
Thegl	44.470588	0	0	0	0	0	0	0	0	0	0	0	0	433	323	0	0	0	0
Smn1	44.470588	0	0	0	0	0	0	0	137	0	0	0	0	244	375	0	0	0	0
Sirpa	44.470588	0	0	0	111	0	0	0	0	0	0	0	0	461	184	0	0	0	0
Rbsn	44.470588	0	0	0	0	87	0	0	196	0	0	0	0	0	323	150	0	0	0
Nedd1	44.470588	0	0	0	0	149	0	0	0	0	0	0	0	283	211	113	0	0	0
Mob2	44.470588	0	0	0	0	0	0	0	98	0	0	0	0	293	365	0	0	0	0
Mettl24	44.470588	0	0	0	0	0	0	0	0	0	0	0	0	441	315	0	0	0	0
Hmgb1	44.470588	0	99	0	0	0	0	0	219	0	0	0	0	215	223	0	0	0	0
Hipk1	44.470588	0	0	0	0	0	0	0	190	0	0	0	0	145	238	183	0	0	0
Tcf20	44.411765	0	0	0	0	0	0	0	0	0	0	0	0	430	325	0	0	0	0
Paxip1	44.411765	0	0	0	0	0	0	0	194	0	0	0	0	322	239	0	0	0	0
Nkd2	44.411765	0	0	0	0	0	0	0	0	0	0	0	0	485	270	0	0	0	0
Mxd4	44.411765	0	0	0	0	0	0	0	107	0	0	0	0	411	237	0	0	0	0
Lsm14b	44.411765	0	0	0	0	0	0	0	0	0	0	0	0	347	260	148	0	0	0
Kcnip1	44.411765	0	0	0	0	0	0	0	0	0	0	0	0	293	462	0	0	0	0
Heatr3	44.411765	0	0	0	0	0	0	0	90	0	0	0	0	369	296	0	0	0	0
Dync1i1	44.411765	0	0	0	0	0	0	0	0	0	0	0	0	397	358	0	0	0	0
Cyp2r1	44.411765	0	0	0	0	0	0	0	0	0	0	0	0	421	253	81	0	0	0
Chmp3	44.411765	0	0	0	0	105	0	0	104	0	0	0	0	235	311	0	0	0	0
Cdk13	44.411765	0	84	0	0	0	0	0	0	0	0	0	139	249	195	88	0	0	0
Bub3	44.411765	0	0	0	0	0	0	0	113	0	0	0	0	0	135	337	170	0	0
Abhd18	44.411765	0	0	0	0	99	0	0	142	0	0	0	0	0	254	260	0	0	0
Ybx2	44.352941	0	0	0	0	0	0	0	0	0	0	0	135	359	260	0	0	0	0
Wdr45b	44.352941	0	0	0	0	129	0	0	236	0	0	67	0	0	155	167	0	0	0
Tll1	44.352941	0	0	0	0	0	0	0	0	0	0	0	0	435	319	0	0	0	0
Pxn	44.352941	0	0	0	0	0	0	0	0	0	0	0	0	408	346	0	0	0	0
Pth2	44.352941	0	0	0	0	0	0	0	0	0	0	0	0	649	105	0	0	0	0
Pigm	44.352941	0	0	0	0	0	0	0	267	0	0	0	0	0	296	191	0	0	0
Otud6b	44.352941	0	0	0	0	0	0	0	137	0	0	0	0	0	139	367	111	0	0
Nfx1	44.352941	0	0	0	0	0	0	0	119	0	0	0	0	0	192	318	125	0	0
Nfatc1	44.352941	0	0	0	97	0	0	0	0	0	0	0	0	459	198	0	0	0	0
Mast1	44.352941	0	0	0	0	0	0	0	0	0	0	0	0	531	223	0	0	0	0
Hmga1	44.352941	0	0	0	0	0	0	0	0	0	0	0	0	223	118	272	141	0	0
Grik4	44.352941	0	0	0	0	0	0	0	0	0	0	0	0	575	179	0	0	0	0
Eif4a1	44.352941	0	116	0	0	0	0	0	93	0	0	0	0	0	237	159	0	149	0
Dip2c	44.352941	0	0	0	0	0	0	0	0	0	0	0	0	466	288	0	0	0	0
Zfp553	44.294118	0	0	0	115	0	0	0	0	0	0	0	0	456	182	0	0	0	0
Six5	44.294118	0	0	0	160	0	0	0	0	0	0	0	0	430	163	0	0	0	0
Scai	44.294118	0	0	0	0	0	0	0	231	0	0	0	0	197	325	0	0	0	0
Rsbn1l	44.294118	0	0	0	0	0	0	0	0	0	0	0	0	463	290	0	0	0	0
Rpl37	44.294118	0	0	0	0	135	0	0	187	0	0	0	0	0	205	226	0	0	0
Pet117	44.294118	0	0	0	0	90	0	0	126	0	0	0	0	188	149	200	0	0	0
Maco1	44.294118	0	0	0	0	0	0	0	134	0	0	0	95	251	273	0	0	0	0
Lacc1	44.294118	0	0	0	0	0	0	0	0	0	0	0	0	368	385	0	0	0	0
Kat14	44.294118	0	0	0	0	90	0	0	126	0	0	0	0	188	149	200	0	0	0
Gfra2	44.294118	0	0	0	0	0	0	0	0	0	0	0	0	463	290	0	0	0	0
Ctif	44.294118	0	0	0	0	0	0	0	0	0	0	0	0	0	231	369	153	0	0
Ccdc122	44.294118	0	0	0	0	0	0	0	0	0	0	0	0	368	385	0	0	0	0
Stk3	44.235294	0	0	0	0	0	0	0	0	0	0	0	0	519	233	0	0	0	0
Rab15	44.235294	0	0	0	0	0	0	0	0	0	0	0	69	376	307	0	0	0	0
Rab11fip1	44.235294	0	0	0	0	0	0	0	0	0	0	0	0	507	245	0	0	0	0
Pwwp3b	44.235294	0	0	0	0	0	0	0	0	0	0	0	0	463	289	0	0	0	0
Phlpp1	44.235294	0	0	0	0	0	0	0	0	0	0	0	158	365	229	0	0	0	0
Azin1	44.235294	0	0	0	0	0	0	0	175	0	0	0	0	179	398	0	0	0	0
Atp9a	44.235294	0	0	0	0	0	0	0	0	0	0	0	0	468	284	0	0	0	0
Vma21	44.176471	0	0	0	211	0	0	0	120	0	0	0	0	162	258	0	0	0	0
Traf3	44.176471	0	0	0	115	0	0	0	0	0	0	0	0	376	260	0	0	0	0
Taf11	44.176471	0	0	0	0	0	0	0	0	0	0	0	0	412	219	120	0	0	0
Scube3	44.176471	0	0	0	188	0	0	0	0	0	0	0	0	404	159	0	0	0	0
Rapgef1	44.176471	0	132	0	0	152	0	0	163	0	0	0	0	0	160	144	0	0	0
Ppp2r3a	44.176471	0	0	0	0	0	0	0	118	0	0	0	86	310	237	0	0	0	0
Ntng1	44.176471	0	0	0	0	0	0	0	0	0	0	0	0	463	288	0	0	0	0
Kif26b	44.176471	0	0	0	86	0	0	0	0	0	0	0	0	518	147	0	0	0	0
Ing1	44.176471	0	0	0	0	0	0	0	269	0	0	0	0	216	114	152	0	0	0
Exoc6b	44.176471	0	0	0	0	0	0	0	0	0	0	0	0	254	497	0	0	0	0
Exoc1	44.176471	0	0	0	0	160	0	0	117	0	0	114	0	0	151	209	0	0	0
Ccdc57	44.176471	0	0	0	0	0	0	0	347	0	0	0	0	0	241	163	0	0	0
Anks1	44.176471	0	0	0	0	0	0	0	0	0	0	0	0	412	219	120	0	0	0
Zfp607b	44.117647	0	0	0	0	0	0	0	72	0	0	0	0	244	217	217	0	0	0
Tbc1d7	44.117647	0	0	0	0	0	0	0	391	0	0	0	0	0	211	148	0	0	0
Selenof	44.117647	0	0	0	0	0	0	0	72	0	0	0	0	303	228	147	0	0	0
Ppp4c	44.117647	0	0	0	0	0	0	0	151	0	0	0	0	0	243	262	94	0	0
Ppan	44.117647	0	0	0	0	0	0	0	101	0	0	0	0	206	186	257	0	0	0
Plekhh1	44.117647	0	0	0	122	0	0	0	0	0	0	0	0	373	255	0	0	0	0
Plekhg5	44.117647	0	0	0	0	0	0	0	103	0	0	0	0	455	192	0	0	0	0
Mterf1a	44.117647	0	0	0	0	97	0	0	239	0	0	0	0	0	276	138	0	0	0
