Target_genes	Smad3|Average	SRX2245993|Corpus_Striatum	SRX2245994|Corpus_Striatum	SRX2245995|Corpus_Striatum	SRX2245996|Corpus_Striatum	SRX5251393|Embryoid_Bodies	SRX5251394|Embryoid_Bodies	SRX130598|Embryonic_brains	SRX026254|Embryonic_Stem_Cells	SRX026255|Embryonic_Stem_Cells	SRX026256|Embryonic_Stem_Cells	SRX026257|Embryonic_Stem_Cells	SRX477547|Embryonic_Stem_Cells	SRX5251387|Embryonic_Stem_Cells	SRX1998723|MEF	SRX1998724|MEF	SRX1998725|MEF	SRX1998728|MEF	SRX1998729|MEF	SRX1998730|MEF	ERX028786|Neural_Stem_Cells	SRX3855869|Vascular_smooth_muscle_cells	SRX3855871|Vascular_smooth_muscle_cells	SRX3855877|Vascular_smooth_muscle_cells	SRX3855879|Vascular_smooth_muscle_cells	STRING
Atg3	62.250000	0	0	0	0	295	192	365	0	0	0	0	0	141	0	138	0	0	0	0	363	0	0	0	0	0
Psma6	62.208333	0	0	0	0	127	192	237	0	0	0	122	0	0	0	203	108	0	0	0	240	101	93	0	70	0
Hbegf	62.208333	0	0	0	0	227	322	141	0	0	0	0	0	132	0	142	0	0	0	0	140	176	102	0	111	0
Pwwp3a	62.166667	0	0	0	0	304	379	281	0	0	0	0	0	153	0	0	0	0	0	0	283	0	92	0	0	0
Prpf40a	62.166667	0	0	0	0	274	346	122	0	0	0	0	0	428	0	0	0	0	0	0	122	93	107	0	0	0
Fbxo15	62.166667	0	0	0	0	211	382	142	0	96	0	0	0	203	0	120	0	0	0	0	144	78	116	0	0	0
Arl6ip6	62.166667	0	0	0	0	274	346	122	0	0	0	0	0	428	0	0	0	0	0	0	122	93	107	0	0	0
AI661453	62.166667	0	0	0	0	248	702	0	0	0	0	191	0	351	0	0	0	0	0	0	0	0	0	0	0	0
1700001C19Rik	62.166667	0	0	0	0	248	702	0	0	0	0	191	0	351	0	0	0	0	0	0	0	0	0	0	0	0
Stk32a	62.125000	0	0	0	0	351	986	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0
Slc25a32	62.125000	0	0	0	0	286	341	258	0	0	0	0	0	186	0	168	0	0	0	0	252	0	0	0	0	0
Mpv17	62.125000	0	0	0	0	156	358	112	0	0	0	130	0	152	0	100	129	0	0	0	0	86	108	0	160	0
Dcaf13	62.125000	0	0	0	0	286	341	258	0	0	0	0	0	186	0	168	0	0	0	0	252	0	0	0	0	0
Tssc4	62.083333	0	0	0	0	197	128	231	0	0	0	0	0	104	0	0	93	0	0	0	231	129	201	0	176	0
Prc1	62.083333	0	0	0	0	265	188	401	0	0	0	146	0	88	0	0	0	0	0	0	402	0	0	0	0	0
Gabrb1	62.083333	0	0	0	0	566	448	0	0	0	0	0	0	476	0	0	0	0	0	0	0	0	0	0	0	0
Ift46	62.041667	0	0	0	0	403	509	194	0	0	0	0	0	200	0	0	0	0	0	0	183	0	0	0	0	0
Flcn	62.041667	0	0	0	0	136	214	286	0	0	0	0	0	0	0	210	0	0	0	0	289	85	148	0	121	0
Fjx1	62.041667	0	0	0	0	426	639	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0
Fgfr1op	62.041667	0	0	0	0	209	225	412	0	0	0	0	0	158	0	104	0	0	0	0	381	0	0	0	0	0
Braf	62.041667	0	0	0	0	328	520	212	0	0	0	0	0	218	0	0	0	0	0	0	211	0	0	0	0	0
Tulp1	62.000000	0	0	0	0	517	387	0	0	0	0	0	0	584	0	0	0	0	0	0	0	0	0	0	0	0
Scaf8	62.000000	0	0	0	0	430	707	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	150	0	0	0
Hspe1	62.000000	0	0	0	0	289	428	203	0	0	0	152	0	213	0	0	0	0	0	0	203	0	0	0	0	0
Hspd1	62.000000	0	0	0	0	289	428	203	0	0	0	152	0	213	0	0	0	0	0	0	203	0	0	0	0	0
G6pc3	62.000000	0	0	0	0	383	317	176	0	0	0	0	0	436	0	0	0	0	0	0	176	0	0	0	0	0
Dlgap4	62.000000	0	0	0	0	375	393	208	0	111	0	0	0	191	0	0	0	0	0	0	210	0	0	0	0	0
3110040N11Rik	62.000000	0	0	0	0	235	302	143	0	0	0	0	0	312	0	146	0	0	0	0	143	101	106	0	0	0
Fzd1	61.958333	0	0	0	0	266	383	193	0	0	0	124	0	328	0	0	0	0	0	0	193	0	0	0	0	0
Ap1s1	61.958333	0	0	0	0	339	248	326	0	0	0	87	0	157	0	0	0	0	0	0	330	0	0	0	0	0
Trap1a	61.916667	0	0	0	0	442	352	0	0	0	0	0	0	692	0	0	0	0	0	0	0	0	0	0	0	0
Pcf11	61.916667	0	0	0	0	118	235	369	0	0	0	0	0	116	0	276	0	0	0	0	372	0	0	0	0	0
Frat1	61.916667	0	0	0	0	238	288	267	0	0	0	0	0	268	0	158	0	0	0	0	267	0	0	0	0	0
Bcan	61.916667	0	0	0	0	422	489	0	0	0	0	0	0	575	0	0	0	0	0	0	0	0	0	0	0	0
Wls	61.875000	0	0	0	0	272	364	116	0	0	0	0	0	357	0	0	119	0	141	0	116	0	0	0	0	0
Txndc16	61.875000	0	0	0	0	298	374	155	0	0	0	0	0	503	0	0	0	0	0	0	155	0	0	0	0	0
Tubg1	61.875000	0	0	0	0	322	330	201	0	0	0	0	0	209	0	133	0	0	0	0	200	0	0	0	90	0
Topors	61.875000	0	0	0	0	159	200	125	0	0	0	0	0	0	0	199	94	0	115	0	125	125	138	103	102	0
Tmem74b	61.875000	0	0	0	0	419	423	0	0	0	0	0	0	643	0	0	0	0	0	0	0	0	0	0	0	0
Retreg3	61.875000	0	0	0	0	322	330	201	0	0	0	0	0	209	0	133	0	0	0	0	200	0	0	0	90	0
Pbx3	61.875000	0	0	0	0	377	329	151	0	0	0	87	0	390	0	0	0	0	0	0	151	0	0	0	0	0
Gpr137c	61.875000	0	0	0	0	298	374	155	0	0	0	0	0	503	0	0	0	0	0	0	155	0	0	0	0	0
Gpam	61.875000	0	0	0	0	317	260	133	0	0	0	0	0	278	0	170	79	0	115	0	133	0	0	0	0	0
Foxo6	61.875000	0	0	0	0	314	671	195	0	0	0	0	0	110	0	0	0	0	0	0	195	0	0	0	0	0
Dnah8	61.875000	0	0	0	0	336	392	0	0	204	0	297	0	256	0	0	0	0	0	0	0	0	0	0	0	0
Chaf1b	61.875000	0	0	0	0	260	197	293	0	212	0	97	0	132	0	0	0	0	0	0	294	0	0	0	0	0
Tulp3	61.833333	0	0	0	0	229	269	206	0	0	0	102	0	152	0	0	0	0	0	0	203	118	120	0	85	0
Sbf2	61.833333	0	0	0	0	312	428	129	0	0	0	0	0	354	0	130	0	0	0	0	131	0	0	0	0	0
Ptprz1	61.833333	0	0	0	0	185	1007	96	0	0	0	0	0	100	0	0	0	0	0	0	96	0	0	0	0	0
Smim12	61.791667	0	0	0	0	275	168	267	0	0	0	0	0	117	0	126	93	0	0	0	268	79	90	0	0	0
Rps19bp1	61.791667	0	0	0	0	408	424	197	0	114	0	0	0	138	0	0	0	0	0	0	202	0	0	0	0	0
Prxl2c	61.791667	0	0	0	0	389	314	0	0	0	0	0	0	206	0	305	0	0	177	0	0	0	92	0	0	0
Mad2l2	61.791667	0	0	0	0	460	460	133	0	0	0	0	0	296	0	0	0	0	0	0	134	0	0	0	0	0
Hps5	61.791667	0	0	0	0	373	403	126	0	0	0	86	0	368	0	0	0	0	0	0	127	0	0	0	0	0
Gtf2h1	61.791667	0	0	0	0	373	403	126	0	0	0	86	0	368	0	0	0	0	0	0	127	0	0	0	0	0
Draxin	61.791667	0	0	0	0	460	460	133	0	0	0	0	0	296	0	0	0	0	0	0	134	0	0	0	0	0
Ube3c	61.750000	0	0	0	0	342	368	186	0	0	0	0	0	190	0	0	0	0	0	0	186	81	0	0	129	0
Eif5a	61.750000	0	0	0	0	194	205	443	0	0	0	107	0	90	0	0	0	0	0	0	443	0	0	0	0	0
Got2	61.708333	0	0	0	0	281	773	0	0	0	0	0	0	427	0	0	0	0	0	0	0	0	0	0	0	0
Tram1	61.666667	0	0	0	0	399	441	130	0	0	0	0	0	215	0	165	0	0	0	0	130	0	0	0	0	0
Smarcc1	61.666667	0	0	0	0	167	265	306	0	0	0	108	0	0	0	122	0	0	0	0	309	0	109	0	94	0
Rap1b	61.666667	0	0	0	0	179	186	114	0	0	0	0	0	130	0	193	0	0	0	0	112	161	238	0	167	0
Clybl	61.666667	0	0	0	0	295	354	239	0	91	0	125	0	138	0	0	0	0	0	0	238	0	0	0	0	0
Casc4	61.666667	0	0	0	0	452	587	159	0	0	0	0	0	123	0	0	0	0	0	0	159	0	0	0	0	0
Srp9	61.625000	0	0	0	0	232	289	210	0	0	0	0	0	202	0	157	0	0	0	0	211	81	97	0	0	0
Tsg101	61.583333	0	0	0	0	234	364	212	0	0	0	91	0	121	0	135	0	0	0	0	215	0	106	0	0	0
Rftn1	61.583333	0	0	0	0	503	456	0	0	0	0	0	0	519	0	0	0	0	0	0	0	0	0	0	0	0
Ogg1	61.583333	0	0	0	0	238	192	290	0	0	0	0	0	179	0	114	0	0	0	0	293	0	101	0	71	0
Marchf2	61.583333	0	0	0	0	217	362	279	0	0	0	129	0	214	0	0	0	0	0	0	277	0	0	0	0	0
Gtpbp10	61.583333	0	0	0	0	286	354	233	0	0	0	89	0	213	0	0	0	0	0	0	233	0	70	0	0	0
Abcb10	61.583333	0	0	0	0	217	263	172	0	0	0	102	0	97	0	93	0	0	0	0	172	111	116	0	135	0
Rrn3	61.541667	0	0	0	0	267	255	183	0	0	0	0	0	152	0	198	137	0	103	0	182	0	0	0	0	0
Nolc1	61.541667	0	0	0	0	175	255	527	0	0	0	0	0	0	0	0	0	0	0	0	520	0	0	0	0	0
Mboat2	61.541667	0	0	0	0	341	474	84	0	0	0	0	0	492	0	0	0	0	0	0	86	0	0	0	0	0
Kctd20	61.541667	0	0	0	0	214	184	71	0	0	0	0	0	151	0	278	161	0	80	0	72	126	140	0	0	0
Ebf2	61.541667	0	0	0	0	497	483	91	0	0	0	77	0	237	0	0	0	0	0	0	92	0	0	0	0	0
Wdr53	61.500000	0	0	0	0	281	322	297	0	0	0	0	0	174	0	105	0	0	0	0	297	0	0	0	0	0
Ppil4	61.500000	0	0	0	0	164	184	211	0	0	0	0	0	116	0	186	98	0	95	0	211	82	129	0	0	0
Fermt2	61.500000	0	0	0	0	379	537	0	0	0	0	0	0	341	0	111	0	0	0	0	0	0	108	0	0	0
Fbxo45	61.500000	0	0	0	0	281	322	297	0	0	0	0	0	174	0	105	0	0	0	0	297	0	0	0	0	0
Vldlr	61.458333	0	0	0	0	527	283	0	0	0	0	0	0	665	0	0	0	0	0	0	0	0	0	0	0	0
Prkab1	61.458333	0	0	0	0	278	306	164	0	0	0	0	0	333	0	145	0	0	0	0	167	0	0	0	82	0
P2ry2	61.458333	0	0	0	0	325	669	93	0	0	0	0	0	294	0	0	0	0	0	0	94	0	0	0	0	0
Gnas	61.458333	0	0	0	0	213	395	167	0	0	0	0	0	243	0	78	115	0	97	0	167	0	0	0	0	0
Gm13279	61.458333	0	0	0	0	218	315	187	0	0	0	0	0	161	0	104	0	0	205	0	190	0	0	0	95	0
Gm13278	61.458333	0	0	0	0	218	315	187	0	0	0	0	0	161	0	104	0	0	205	0	190	0	0	0	95	0
Set	61.416667	0	0	0	0	279	541	163	0	0	0	142	0	187	0	0	0	0	0	0	162	0	0	0	0	0
Dusp6	61.416667	0	0	0	0	194	375	239	0	0	0	0	0	0	0	96	0	0	0	0	239	69	169	0	93	0
Wdr25	61.375000	0	0	0	0	472	372	123	0	0	0	0	0	287	0	94	0	0	0	0	125	0	0	0	0	0
Wars	61.375000	0	0	0	0	472	372	123	0	0	0	0	0	287	0	94	0	0	0	0	125	0	0	0	0	0
Top1	61.375000	0	0	0	0	245	249	254	0	0	0	126	0	136	0	81	0	0	0	0	256	0	126	0	0	0
Fyn	61.375000	0	0	0	0	304	293	212	0	0	0	0	0	453	0	0	0	0	0	0	211	0	0	0	0	0
Trim56	61.333333	0	0	0	0	448	630	0	0	0	0	0	0	394	0	0	0	0	0	0	0	0	0	0	0	0
Tmem214	61.333333	0	0	0	0	207	320	169	0	0	0	128	0	371	0	110	0	0	0	0	167	0	0	0	0	0
Shld2	61.333333	0	0	0	0	261	576	125	0	0	0	0	0	92	0	181	0	0	0	0	125	0	112	0	0	0
Pycr1	61.333333	0	0	0	0	187	291	222	0	0	0	0	0	550	0	0	0	0	0	0	222	0	0	0	0	0
Ppp1r14b	61.333333	0	0	0	0	443	368	0	0	0	0	0	0	661	0	0	0	0	0	0	0	0	0	0	0	0
Pdzd8	61.333333	0	0	0	0	238	472	157	0	0	0	0	0	217	0	126	0	0	106	0	156	0	0	0	0	0
Ier3ip1	61.333333	0	0	0	0	176	242	138	0	136	0	0	0	0	0	132	80	0	140	0	139	0	185	0	104	0
Glud1	61.333333	0	0	0	0	261	576	125	0	0	0	0	0	92	0	181	0	0	0	0	125	0	112	0	0	0
Cep295	61.333333	0	0	0	0	420	210	209	0	0	0	0	0	98	0	85	0	0	0	0	208	0	156	0	86	0
C9orf72	61.333333	0	0	0	0	277	323	106	0	145	0	0	0	296	0	218	0	0	0	0	107	0	0	0	0	0
2310057M21Rik	61.333333	0	0	0	0	253	359	314	0	0	0	0	0	233	0	0	0	0	0	0	313	0	0	0	0	0
Thop1	61.291667	0	0	0	0	350	192	383	0	0	0	0	0	163	0	0	0	0	0	0	383	0	0	0	0	0
Smarca2	61.291667	0	0	0	0	555	463	128	0	0	0	93	0	104	0	0	0	0	0	0	128	0	0	0	0	0
Mink1	61.291667	0	0	0	0	351	569	188	0	0	0	0	0	174	0	0	0	0	0	0	189	0	0	0	0	0
Med16	61.291667	0	0	0	0	335	369	151	0	0	0	0	0	129	0	0	0	0	0	0	153	0	93	107	134	0
Magt1	61.291667	0	0	0	0	390	324	98	0	0	0	0	0	560	0	0	0	0	0	0	99	0	0	0	0	0
Hlcs	61.250000	0	0	0	0	223	343	0	0	0	0	0	0	136	0	214	212	0	89	0	0	0	139	0	114	0
Cmtr1	61.250000	0	0	0	0	249	389	313	0	0	0	0	0	110	0	0	0	0	0	0	320	0	89	0	0	0
Anln	61.250000	0	0	0	0	358	299	181	0	0	0	93	0	292	0	0	0	0	0	0	182	0	65	0	0	0
Strap	61.208333	0	0	0	0	188	418	219	0	0	0	0	0	299	0	0	0	0	0	0	216	0	129	0	0	0
Mmaa	61.208333	0	0	0	0	374	382	187	0	0	0	0	0	123	0	127	0	0	0	0	187	0	89	0	0	0
Itpr1	61.208333	0	0	0	0	212	197	193	0	0	0	0	0	81	0	323	0	0	0	0	193	0	163	0	107	0
Gid4	61.208333	0	0	0	0	224	560	250	0	0	0	0	0	184	0	0	0	0	0	0	251	0	0	0	0	0
Denr	61.208333	0	0	0	0	321	350	251	0	0	0	0	0	155	0	140	0	0	0	0	252	0	0	0	0	0
Znrf3	61.166667	0	0	0	0	257	360	338	0	0	0	0	0	175	0	0	0	0	0	0	338	0	0	0	0	0
Gab1	61.166667	0	0	0	0	292	480	233	0	0	0	0	0	229	0	0	0	0	0	0	234	0	0	0	0	0
Cdh11	61.166667	0	0	0	0	543	553	0	0	0	0	0	0	372	0	0	0	0	0	0	0	0	0	0	0	0
Ube2t	61.125000	0	0	0	0	282	355	264	0	0	0	0	0	183	0	121	0	0	0	0	262	0	0	0	0	0
Nenf	61.125000	0	0	0	0	157	597	120	0	0	0	0	0	282	0	0	0	0	119	0	120	0	72	0	0	0
Ldlrap1	61.125000	0	0	0	0	261	423	168	0	83	0	119	0	169	0	0	0	0	0	0	166	0	78	0	0	0
Ccdc126	61.125000	0	0	0	0	349	371	285	0	0	0	0	0	171	0	0	0	0	0	0	291	0	0	0	0	0
Rabep1	61.083333	0	0	0	0	208	241	156	0	0	0	0	0	714	0	0	0	0	0	0	147	0	0	0	0	0
Kat8	61.083333	0	0	0	0	226	291	164	0	0	0	0	0	178	0	222	0	0	0	0	168	0	113	0	104	0
Cnksr1	61.083333	0	0	0	0	625	346	0	0	0	0	0	0	495	0	0	0	0	0	0	0	0	0	0	0	0
H3c6	61.041667	0	0	0	0	102	243	102	0	215	0	204	0	0	0	187	125	0	111	0	100	0	76	0	0	0
D8Ertd738e	61.041667	0	0	0	0	92	160	273	0	0	0	0	0	93	0	148	173	0	0	0	279	0	143	0	104	0
Tbl1x	61.000000	0	0	0	0	359	693	0	0	0	0	154	0	258	0	0	0	0	0	0	0	0	0	0	0	0
Mrps18c	61.000000	0	0	0	0	274	492	124	0	0	0	113	0	220	0	118	0	0	0	0	123	0	0	0	0	0
Helq	61.000000	0	0	0	0	274	492	124	0	0	0	113	0	220	0	118	0	0	0	0	123	0	0	0	0	0
H3f3b	61.000000	0	0	0	0	110	183	223	0	0	0	0	0	0	0	195	205	0	0	0	219	94	146	0	89	0
Fam136a	61.000000	0	0	0	0	333	413	359	0	0	0	0	0	0	0	0	0	0	0	0	359	0	0	0	0	0
Etv1	61.000000	0	0	0	0	310	810	0	0	0	0	0	0	232	0	112	0	0	0	0	0	0	0	0	0	0
St3gal2	60.958333	0	0	0	0	241	461	278	0	0	0	0	0	206	0	0	0	0	0	0	277	0	0	0	0	0
Slc25a51	60.958333	0	0	0	0	339	221	197	0	0	0	0	0	181	0	137	0	0	191	0	197	0	0	0	0	0
Pot1a	60.958333	150	0	0	0	205	242	149	0	0	0	0	0	134	0	147	0	0	0	0	149	94	81	0	112	0
Per3	60.958333	0	0	0	0	296	357	321	0	0	0	0	0	165	0	0	0	0	0	0	324	0	0	0	0	0
Nup50	60.958333	0	0	0	0	238	236	303	0	0	0	113	0	158	0	112	0	0	0	0	303	0	0	0	0	0
Chmp7	60.958333	0	0	0	0	365	385	240	0	0	0	0	0	121	0	0	0	0	0	0	242	0	110	0	0	0
Zxdc	60.916667	0	0	0	0	230	292	306	0	92	0	0	0	123	0	0	0	0	110	0	309	0	0	0	0	0
Swi5	60.916667	0	0	0	0	248	292	195	0	0	0	94	0	271	0	0	0	0	0	0	193	0	86	0	83	0
Nectin3	60.916667	0	0	0	0	263	290	146	0	0	0	0	0	0	0	290	0	0	194	0	146	0	0	0	133	0
Maml1	60.916667	0	0	0	0	140	212	360	0	0	0	0	0	90	0	107	0	0	0	0	360	0	97	0	96	0
Golga2	60.916667	0	0	0	0	248	292	195	0	0	0	94	0	271	0	0	0	0	0	0	193	0	86	0	83	0
Garem2	60.916667	0	0	0	0	469	377	0	0	0	0	0	0	616	0	0	0	0	0	0	0	0	0	0	0	0
Exoc2	60.916667	0	0	0	0	323	404	0	0	0	0	303	0	267	0	103	0	0	0	0	0	0	62	0	0	0
Cep70	60.916667	0	0	0	0	210	392	200	0	124	0	188	0	149	0	0	0	0	0	0	199	0	0	0	0	0
3110082J24Rik	60.916667	0	0	0	0	469	377	0	0	0	0	0	0	616	0	0	0	0	0	0	0	0	0	0	0	0
Psen2	60.875000	0	0	0	0	322	335	242	0	0	0	0	0	124	0	107	0	0	0	0	242	0	89	0	0	0
Gnb1l	60.875000	0	0	0	0	174	224	161	0	0	0	0	0	165	0	97	110	0	0	0	161	113	142	0	114	0
Atp6v1c1	60.875000	0	0	0	0	287	225	350	0	0	0	0	0	168	0	81	0	0	0	0	350	0	0	0	0	0
Spag9	60.833333	0	0	0	0	115	231	268	0	0	0	0	0	0	0	0	0	0	0	0	268	162	201	79	136	0
Gpr19	60.791667	0	0	0	0	266	259	223	0	0	0	115	0	151	0	0	0	0	0	0	223	126	96	0	0	0
Eif4g2	60.791667	0	0	0	0	200	269	139	0	0	0	0	0	111	0	155	138	0	0	0	139	120	188	0	0	0
Atp2c1	60.791667	0	0	0	0	205	448	110	0	0	0	123	0	236	0	120	0	0	0	0	106	0	111	0	0	0
Itprid2	60.750000	0	0	0	0	259	336	255	0	0	0	0	0	260	0	0	0	0	93	0	255	0	0	0	0	0
Atxn2l	60.750000	0	0	0	0	289	325	256	0	0	0	180	0	153	0	0	0	0	0	0	255	0	0	0	0	0
Ankrd37	60.750000	0	0	0	0	355	342	324	0	0	0	0	0	113	0	0	0	0	0	0	324	0	0	0	0	0
Zfp160	60.708333	0	0	0	0	323	362	159	0	0	0	0	0	331	0	128	0	0	0	0	154	0	0	0	0	0
Unk	60.708333	0	0	0	0	203	318	257	0	0	0	230	0	193	0	0	0	0	0	0	256	0	0	0	0	0
Shprh	60.708333	0	0	0	0	263	346	251	0	0	0	87	0	108	0	150	0	0	0	0	252	0	0	0	0	0
Nfatc2	60.708333	0	0	0	0	198	589	281	0	0	0	0	0	109	0	0	0	0	0	0	280	0	0	0	0	0
Hmg20b	60.708333	0	0	0	0	369	397	210	0	0	0	0	0	269	0	0	0	0	0	0	212	0	0	0	0	0
Dtd2	60.708333	0	0	0	0	134	168	225	0	112	0	96	0	0	0	184	0	0	0	0	222	124	192	0	0	0
Atl2	60.708333	0	0	0	0	247	735	136	0	0	0	60	0	144	0	0	0	0	0	0	135	0	0	0	0	0
1700008O03Rik	60.708333	0	0	0	0	175	462	0	106	193	0	125	0	396	0	0	0	0	0	0	0	0	0	0	0	0
Zfat	60.666667	0	0	0	0	250	445	169	0	0	0	0	0	162	0	93	0	0	0	0	169	0	81	0	87	0
Ehd2	60.666667	0	0	0	0	348	417	0	0	0	0	0	0	691	0	0	0	0	0	0	0	0	0	0	0	0
Ssna1	60.625000	0	0	0	0	257	225	427	0	0	0	0	0	120	0	0	0	0	0	0	426	0	0	0	0	0
Rac1	60.625000	0	0	0	0	220	396	179	0	0	0	176	0	305	0	0	0	0	0	0	179	0	0	0	0	0
Ndrg1	60.625000	0	0	0	0	328	506	0	0	112	0	158	0	168	0	110	0	0	0	0	0	0	0	0	73	0
Anapc2	60.625000	0	0	0	0	257	225	427	0	0	0	0	0	120	0	0	0	0	0	0	426	0	0	0	0	0
Syn2	60.583333	0	0	0	0	260	293	260	0	172	0	0	0	209	0	0	0	0	0	0	260	0	0	0	0	0
Rnf34	60.583333	0	0	0	0	184	219	105	0	90	0	0	0	0	0	170	0	0	108	0	105	130	189	0	154	0
Ppp2ca	60.583333	0	0	0	0	214	349	306	0	0	0	144	0	138	0	0	0	0	0	0	303	0	0	0	0	0
Noc4l	60.583333	0	0	0	0	213	473	246	0	0	0	0	0	163	0	113	0	0	0	0	246	0	0	0	0	0
Lrrtm3	60.583333	0	0	0	0	382	589	160	0	0	0	0	0	163	0	0	0	0	0	0	160	0	0	0	0	0
Fzd5	60.583333	0	0	0	0	214	424	151	0	0	0	139	0	141	0	144	0	0	0	0	151	0	90	0	0	0
Ddx51	60.583333	0	0	0	0	213	473	246	0	0	0	0	0	163	0	113	0	0	0	0	246	0	0	0	0	0
Socs5	60.541667	0	0	0	0	455	605	0	0	0	0	62	0	331	0	0	0	0	0	0	0	0	0	0	0	0
Morc2a	60.541667	0	0	0	0	219	251	162	0	0	0	0	0	300	0	0	0	0	101	0	162	134	124	0	0	0
Cacna1a	60.541667	0	0	0	0	560	507	0	0	0	0	0	0	386	0	0	0	0	0	0	0	0	0	0	0	0
Atp1b3	60.541667	0	0	0	0	239	296	261	0	0	0	0	0	114	0	96	0	0	0	0	265	87	95	0	0	0
Alkbh7	60.541667	0	0	0	0	290	321	125	0	0	0	0	0	239	0	117	0	0	0	0	126	0	0	92	143	0
Adipor2	60.541667	0	0	0	0	249	385	350	0	0	0	0	0	119	0	0	0	0	0	0	350	0	0	0	0	0
Rimkla	60.500000	0	0	0	0	351	646	129	0	0	0	0	0	197	0	0	0	0	0	0	129	0	0	0	0	0
Pdk1	60.500000	0	0	0	0	198	313	340	0	0	0	68	0	132	0	0	0	0	0	0	337	0	64	0	0	0
Nol8	60.500000	0	0	0	0	253	384	291	0	0	0	0	0	125	0	106	0	0	0	0	293	0	0	0	0	0
F2r	60.500000	0	0	0	0	133	278	154	0	0	0	116	0	175	0	0	0	0	94	0	154	131	132	0	85	0
Cenpp	60.500000	0	0	0	0	253	384	291	0	0	0	0	0	125	0	106	0	0	0	0	293	0	0	0	0	0
Slain2	60.458333	0	0	0	0	360	321	244	0	0	0	0	0	179	0	103	0	0	0	0	244	0	0	0	0	0
Ski	60.458333	0	0	0	0	349	647	165	0	0	0	0	0	125	0	0	0	0	0	0	165	0	0	0	0	0
Hacd2	60.458333	0	0	0	0	249	350	138	0	0	0	74	0	367	0	135	0	0	0	0	138	0	0	0	0	0
Ttll13	60.416667	0	0	0	0	139	434	352	0	0	0	0	0	170	0	0	0	0	0	0	355	0	0	0	0	0
Lap3	60.416667	0	0	0	0	253	324	252	0	0	0	0	0	255	0	0	0	0	0	0	252	0	114	0	0	0
Herpud2	60.416667	0	0	0	0	268	574	181	0	0	0	0	0	168	0	0	0	0	0	0	181	0	78	0	0	0
Rad23b	60.375000	0	0	0	0	262	297	295	0	0	0	0	0	221	0	0	0	0	0	0	299	0	75	0	0	0
Mrps26	60.375000	0	0	0	0	197	349	316	0	0	0	0	0	131	0	140	0	0	0	0	316	0	0	0	0	0
Bmpr1b	60.375000	0	0	0	0	222	818	137	0	0	0	0	0	134	0	0	0	0	0	0	138	0	0	0	0	0
Slc25a40	60.333333	0	0	0	0	309	453	183	0	0	0	0	0	151	0	169	0	0	0	0	183	0	0	0	0	0
Nup188	60.333333	0	0	0	0	360	198	204	0	101	0	0	0	201	0	183	0	0	0	0	201	0	0	0	0	0
Dolk	60.333333	0	0	0	0	360	198	204	0	101	0	0	0	201	0	183	0	0	0	0	201	0	0	0	0	0
Dbf4	60.333333	0	0	0	0	309	453	183	0	0	0	0	0	151	0	169	0	0	0	0	183	0	0	0	0	0
B4galnt1	60.333333	0	0	0	0	394	517	0	0	0	0	0	0	537	0	0	0	0	0	0	0	0	0	0	0	0
Zmynd19	60.291667	0	0	0	0	350	404	193	0	0	0	0	0	303	0	0	0	0	0	0	197	0	0	0	0	0
Stard3nl	60.291667	0	0	0	0	223	355	158	0	0	0	0	0	144	0	179	97	0	0	0	158	0	133	0	0	0
Senp3	60.291667	0	0	0	0	282	233	380	0	0	0	0	0	91	0	0	0	0	0	0	379	0	82	0	0	0
Rab18	60.291667	0	0	0	0	469	406	115	0	0	0	0	0	208	0	132	0	0	0	0	117	0	0	0	0	0
Camkk1	60.291667	0	0	0	0	309	469	177	0	0	0	0	0	315	0	0	0	0	0	0	177	0	0	0	0	0
Dcakd	60.250000	0	0	0	0	234	245	311	0	0	0	93	0	0	0	122	0	0	0	0	316	0	125	0	0	0
Cpt1c	60.208333	0	0	0	0	76	185	0	0	0	0	0	0	0	0	213	167	0	169	0	0	129	210	107	189	0
Rab22a	60.166667	0	0	0	0	276	293	321	0	110	0	123	0	0	0	0	0	0	0	0	321	0	0	0	0	0
Prmt7	60.166667	0	0	0	0	169	250	261	0	0	0	0	0	106	0	145	0	0	0	0	258	135	120	0	0	0
Mybl2	60.166667	0	0	0	0	161	231	526	0	0	0	0	0	0	0	0	0	0	0	0	526	0	0	0	0	0
Mtg1	60.166667	0	0	0	0	329	393	0	0	0	0	121	0	274	0	117	132	0	0	0	0	0	0	0	78	0
Lrmp	60.166667	0	0	0	0	362	462	154	0	0	0	0	0	312	0	0	0	0	0	0	154	0	0	0	0	0
Wdtc1	60.125000	0	0	0	0	284	410	153	0	0	0	0	0	445	0	0	0	0	0	0	151	0	0	0	0	0
Phlda3	60.125000	0	0	0	0	211	358	165	0	0	0	97	0	104	0	75	0	0	92	0	166	91	84	0	0	0
Timp2	60.083333	0	0	0	0	178	307	95	0	0	0	0	0	200	0	98	0	0	169	0	96	110	189	0	0	0
Orai3	60.083333	0	0	0	0	88	171	334	0	0	0	0	0	0	0	95	0	0	0	0	335	135	106	0	178	0
Mcur1	60.083333	0	0	0	0	292	386	174	0	0	0	114	0	159	0	143	0	0	0	0	174	0	0	0	0	0
