Target_genes	Ctnnb1|Average	SRX172938|Embryonic_kidney	SRX172939|Embryonic_kidney	SRX1293143|Hematopoietic_Stem_Cells	SRX1293144|Hematopoietic_Stem_Cells	SRX1293145|Hematopoietic_Stem_Cells	SRX116906|Hepatocytes	SRX6818033|Mesenchymal_stem_cells	SRX6818034|Mesenchymal_stem_cells	SRX6818035|Mesenchymal_stem_cells	SRX6818036|Mesenchymal_stem_cells	SRX5723671|mIMCD-3	SRX5723672|mIMCD-3	SRX5723673|mIMCD-3	SRX5723674|mIMCD-3	SRX5723677|mIMCD-3	SRX5723678|mIMCD-3	SRX5723679|mIMCD-3	SRX5723680|mIMCD-3	SRX7856417|Trophoblast_stem_cells	SRX7856418|Trophoblast_stem_cells	STRING
Ilf3	52.400000	0	0	0	0	0	0	387	0	484	177	0	0	0	0	0	0	0	0	0	0	0
Fan1	52.150000	0	0	0	0	0	0	478	0	437	128	0	0	0	0	0	0	0	0	0	0	0
Ins2	52.100000	0	0	0	0	0	0	0	0	0	0	0	0	462	0	0	0	0	580	0	0	0
Nup107	51.900000	0	0	0	0	0	0	0	0	893	145	0	0	0	0	0	0	0	0	0	0	0
Tcp11l1	51.400000	0	0	0	0	0	0	603	94	331	0	0	0	0	0	0	0	0	0	0	0	0
Aig1	51.100000	0	0	0	0	0	0	101	0	921	0	0	0	0	0	0	0	0	0	0	0	0
Tmem185a	51.050000	0	0	0	0	0	0	0	0	1021	0	0	0	0	0	0	0	0	0	0	0	0
Gas2l3	50.850000	0	0	0	0	0	0	0	0	590	427	0	0	0	0	0	0	0	0	0	0	0
Sp5	50.800000	189	0	0	0	0	237	0	0	590	0	0	0	0	0	0	0	0	0	0	0	0
Zc3h6	49.800000	0	0	0	0	0	0	591	0	405	0	0	0	0	0	0	0	0	0	0	0	0
Map3k7cl	49.400000	185	0	0	0	0	0	103	0	700	0	0	0	0	0	0	0	0	0	0	0	0
Morf4l1	49.300000	0	0	0	0	0	0	694	0	292	0	0	0	0	0	0	0	0	0	0	0	0
Cfh	49.100000	0	0	0	0	0	0	0	0	805	177	0	0	0	0	0	0	0	0	0	0	0
Ddx20	49.000000	0	0	0	0	0	157	0	0	628	195	0	0	0	0	0	0	0	0	0	0	0
Slc35d2	48.950000	0	0	0	0	0	0	0	0	811	168	0	0	0	0	0	0	0	0	0	0	0
Cuedc2	48.850000	0	0	0	0	0	0	249	0	728	0	0	0	0	0	0	0	0	0	0	0	0
Ndufs2	48.600000	0	0	0	0	0	0	568	0	302	102	0	0	0	0	0	0	0	0	0	0	0
Smim3	48.500000	0	0	0	0	0	0	0	0	839	131	0	0	0	0	0	0	0	0	0	0	0
Dph1	48.450000	0	0	0	0	0	0	650	127	192	0	0	0	0	0	0	0	0	0	0	0	0
Kdm8	48.150000	0	0	0	0	0	0	665	0	298	0	0	0	0	0	0	0	0	0	0	0	0
Scel	47.850000	0	0	0	0	0	0	0	0	957	0	0	0	0	0	0	0	0	0	0	0	0
Slc20a1	47.450000	0	0	0	0	0	0	137	0	629	183	0	0	0	0	0	0	0	0	0	0	0
Frat2	47.250000	0	0	0	0	0	0	108	0	717	120	0	0	0	0	0	0	0	0	0	0	0
Ahcyl1	47.250000	0	0	0	0	0	0	0	0	945	0	0	0	0	0	0	0	0	0	0	0	0
Hdgf	47.100000	0	0	0	0	0	0	436	0	341	165	0	0	0	0	0	0	0	0	0	0	0
Mettl3	46.850000	0	0	0	0	0	0	550	0	387	0	0	0	0	0	0	0	0	0	0	0	0
A430005L14Rik	46.850000	0	0	0	0	0	0	624	0	313	0	0	0	0	0	0	0	0	0	0	0	0
Shb	46.800000	0	0	0	0	0	0	0	0	792	144	0	0	0	0	0	0	0	0	0	0	0
Ube2h	46.700000	0	0	0	0	0	0	0	0	745	189	0	0	0	0	0	0	0	0	0	0	0
Fam214a	46.500000	0	0	0	0	0	0	0	0	740	190	0	0	0	0	0	0	0	0	0	0	0
Dohh	46.350000	0	0	0	0	0	0	335	0	472	120	0	0	0	0	0	0	0	0	0	0	0
Cic	46.200000	0	0	0	0	0	0	412	0	392	120	0	0	0	0	0	0	0	0	0	0	0
Ccn2	46.200000	0	0	0	0	0	0	0	0	787	137	0	0	0	0	0	0	0	0	0	0	0
Man1a	46.100000	0	0	0	0	0	0	0	0	747	175	0	0	0	0	0	0	0	0	0	0	0
Vps72	46.000000	0	0	0	0	0	0	388	0	407	125	0	0	0	0	0	0	0	0	0	0	0
Etfrf1	45.900000	0	0	0	0	0	0	447	0	249	222	0	0	0	0	0	0	0	0	0	0	0
Casc1	45.900000	0	0	0	0	0	0	447	0	249	222	0	0	0	0	0	0	0	0	0	0	0
Cdk17	45.650000	0	0	0	0	0	0	0	0	723	190	0	0	0	0	0	0	0	0	0	0	0
Hexim2	44.800000	0	0	0	0	0	0	278	0	503	115	0	0	0	0	0	0	0	0	0	0	0
Washc2	44.200000	0	0	0	0	0	100	199	0	585	0	0	0	0	0	0	0	0	0	0	0	0
Adcy10	43.900000	0	0	0	0	0	0	102	0	776	0	0	0	0	0	0	0	0	0	0	0	0
Cnnm2	43.750000	0	0	0	0	0	0	680	0	195	0	0	0	0	0	0	0	0	0	0	0	0
Psmd5	43.250000	0	0	0	0	0	0	245	0	472	148	0	0	0	0	0	0	0	0	0	0	0
Glt8d2	43.100000	0	0	0	0	0	0	99	0	763	0	0	0	0	0	0	0	0	0	0	0	0
Srek1	43.050000	0	0	0	0	0	0	369	0	397	95	0	0	0	0	0	0	0	0	0	0	0
Txlnb	42.750000	0	0	0	0	0	0	0	0	734	121	0	0	0	0	0	0	0	0	0	0	0
Nagpa	42.600000	0	0	0	0	0	0	205	0	527	120	0	0	0	0	0	0	0	0	0	0	0
Acot1	42.550000	0	0	0	0	0	0	0	0	674	177	0	0	0	0	0	0	0	0	0	0	0
Raf1	42.350000	0	123	0	0	0	0	471	0	253	0	0	0	0	0	0	0	0	0	0	0	0
Gne	42.250000	0	0	0	0	0	0	510	0	335	0	0	0	0	0	0	0	0	0	0	0	0
Neurl2	41.950000	0	0	0	0	0	0	323	0	344	172	0	0	0	0	0	0	0	0	0	0	0
Ctsa	41.950000	0	0	0	0	0	0	323	0	344	172	0	0	0	0	0	0	0	0	0	0	0
Psma1	41.550000	0	0	0	0	0	0	311	0	520	0	0	0	0	0	0	0	0	0	0	0	0
Evi5l	41.300000	0	0	0	0	0	0	309	0	340	177	0	0	0	0	0	0	0	0	0	0	0
Zfp697	41.250000	0	0	0	0	0	0	0	0	825	0	0	0	0	0	0	0	0	0	0	0	0
Trpm3	41.100000	0	0	0	0	0	0	0	0	717	105	0	0	0	0	0	0	0	0	0	0	0
Sec23ip	40.800000	0	0	0	0	0	0	204	0	482	130	0	0	0	0	0	0	0	0	0	0	0
Rsrc1	40.650000	0	140	0	0	0	0	376	0	297	0	0	0	0	0	0	0	0	0	0	0	0
Tmem167b	40.500000	0	0	0	0	0	0	395	0	415	0	0	0	0	0	0	0	0	0	0	0	0
Serpina3g	40.200000	0	0	0	0	0	0	0	0	804	0	0	0	0	0	0	0	0	0	0	0	0
Serpina3f	40.200000	0	0	0	0	0	0	0	0	804	0	0	0	0	0	0	0	0	0	0	0	0
Deptor	40.000000	0	0	0	0	0	0	0	0	800	0	0	0	0	0	0	0	0	0	0	0	0
Myh9	39.900000	0	0	0	0	0	0	172	0	500	126	0	0	0	0	0	0	0	0	0	0	0
Itprip	39.900000	0	0	0	0	0	0	0	0	713	85	0	0	0	0	0	0	0	0	0	0	0
Stk25	39.750000	0	0	0	0	0	0	189	0	375	231	0	0	0	0	0	0	0	0	0	0	0
H6pd	39.700000	0	0	0	0	0	0	0	0	642	152	0	0	0	0	0	0	0	0	0	0	0
G3bp1	39.700000	0	0	0	0	0	0	232	0	383	179	0	0	0	0	0	0	0	0	0	0	0
Rbm48	39.500000	0	0	0	0	0	0	423	0	367	0	0	0	0	0	0	0	0	0	0	0	0
Pex1	39.500000	0	0	0	0	0	0	423	0	367	0	0	0	0	0	0	0	0	0	0	0	0
Pde8b	39.500000	0	0	0	0	0	0	0	0	790	0	0	0	0	0	0	0	0	0	0	0	0
Txnl4b	39.350000	0	0	0	0	0	0	331	0	328	128	0	0	0	0	0	0	0	0	0	0	0
Dhx38	39.350000	0	0	0	0	0	0	331	0	328	128	0	0	0	0	0	0	0	0	0	0	0
Ankhd1	39.200000	0	0	0	0	0	0	241	0	328	215	0	0	0	0	0	0	0	0	0	0	0
Ticam1	39.000000	0	0	0	0	0	0	0	0	548	232	0	0	0	0	0	0	0	0	0	0	0
Fpgs	38.900000	0	0	0	0	0	0	551	0	227	0	0	0	0	0	0	0	0	0	0	0	0
Cenpu	38.650000	173	187	0	0	0	0	0	0	308	105	0	0	0	0	0	0	0	0	0	0	0
Slc39a13	38.500000	0	127	0	0	0	0	134	0	290	219	0	0	0	0	0	0	0	0	0	0	0
Thbs1	38.400000	0	0	0	0	0	0	0	0	768	0	0	0	0	0	0	0	0	0	0	0	0
Kng1	38.100000	0	0	0	0	0	0	118	0	644	0	0	0	0	0	0	0	0	0	0	0	0
Rpl13a	37.950000	0	0	0	0	0	0	586	0	173	0	0	0	0	0	0	0	0	0	0	0	0
Peli1	37.950000	0	0	0	0	0	0	0	0	759	0	0	0	0	0	0	0	0	0	0	0	0
Wdr75	37.850000	0	0	0	0	0	0	327	0	430	0	0	0	0	0	0	0	0	0	0	0	0
Pip4p1	37.850000	0	0	0	0	0	0	262	0	356	139	0	0	0	0	0	0	0	0	0	0	0
Creb5	37.550000	0	0	0	0	0	0	0	0	537	214	0	0	0	0	0	0	0	0	0	0	0
Nelfa	37.350000	0	0	0	0	0	0	467	0	280	0	0	0	0	0	0	0	0	0	0	0	0
Tmem248	37.250000	0	0	0	0	0	0	0	0	625	120	0	0	0	0	0	0	0	0	0	0	0
Josd1	37.150000	0	0	0	0	0	0	0	0	540	203	0	0	0	0	0	0	0	0	0	0	0
Ate1	37.150000	0	0	0	0	0	0	159	0	314	270	0	0	0	0	0	0	0	0	0	0	0
Slc35b4	37.100000	0	0	0	0	0	0	0	0	742	0	0	0	0	0	0	0	0	0	0	0	0
Itpr1	37.050000	0	0	0	0	0	0	0	0	630	111	0	0	0	0	0	0	0	0	0	0	0
Brd3os	36.900000	0	0	0	0	0	0	521	0	217	0	0	0	0	0	0	0	0	0	0	0	0
Xpo6	36.800000	0	0	0	0	0	0	736	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptpa	36.800000	0	0	0	0	0	0	470	0	266	0	0	0	0	0	0	0	0	0	0	0	0
Crat	36.800000	0	0	0	0	0	0	470	0	266	0	0	0	0	0	0	0	0	0	0	0	0
Stag1	36.450000	0	0	0	0	0	0	0	0	595	134	0	0	0	0	0	0	0	0	0	0	0
Mapk14	36.400000	0	0	0	0	0	0	286	0	442	0	0	0	0	0	0	0	0	0	0	0	0
Hnrnpd	36.400000	0	0	0	0	0	0	0	0	656	72	0	0	0	0	0	0	0	0	0	0	0
Ifi204	36.350000	0	0	0	0	0	0	0	0	581	146	0	0	0	0	0	0	0	0	0	0	0
Pcbp1	36.300000	0	0	0	0	0	0	443	0	283	0	0	0	0	0	0	0	0	0	0	0	0
Ly6c1	36.200000	0	0	0	0	0	0	0	0	724	0	0	0	0	0	0	0	0	0	0	0	0
Imp4	35.950000	0	0	0	0	0	0	405	0	314	0	0	0	0	0	0	0	0	0	0	0	0
Dazap1	35.950000	0	0	0	0	0	0	201	0	327	191	0	0	0	0	0	0	0	0	0	0	0
Ccdc115	35.950000	0	0	0	0	0	0	405	0	314	0	0	0	0	0	0	0	0	0	0	0	0
Tmem131	35.900000	0	0	0	0	0	0	450	0	268	0	0	0	0	0	0	0	0	0	0	0	0
Cltc	35.650000	0	0	0	0	0	0	135	0	371	207	0	0	0	0	0	0	0	0	0	0	0
Cutc	35.550000	0	0	0	0	0	0	0	0	582	129	0	0	0	0	0	0	0	0	0	0	0
Cox15	35.550000	0	0	0	0	0	0	0	0	582	129	0	0	0	0	0	0	0	0	0	0	0
Dctn6	35.350000	0	0	0	0	0	0	453	0	254	0	0	0	0	0	0	0	0	0	0	0	0
Lrpprc	35.250000	0	0	0	0	0	0	263	0	442	0	0	0	0	0	0	0	0	0	0	0	0
Cd164	35.200000	0	0	0	0	0	0	235	0	469	0	0	0	0	0	0	0	0	0	0	0	0
Slc17a1	35.150000	0	0	0	0	0	0	0	0	703	0	0	0	0	0	0	0	0	0	0	0	0
Slc25a24	34.850000	0	0	0	0	0	0	0	0	697	0	0	0	0	0	0	0	0	0	0	0	0
Hoxb4	34.550000	691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rps27rt	34.450000	0	0	0	0	0	0	555	0	134	0	0	0	0	0	0	0	0	0	0	0	0
Rab13	34.450000	0	0	0	0	0	0	555	0	134	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc170	34.300000	0	0	0	0	0	0	0	0	686	0	0	0	0	0	0	0	0	0	0	0	0
Esco1	34.250000	0	0	0	0	0	0	251	0	266	168	0	0	0	0	0	0	0	0	0	0	0
Edn1	34.100000	0	0	0	0	0	0	0	0	682	0	0	0	0	0	0	0	0	0	0	0	0
Cuta	34.050000	0	0	0	0	0	0	304	0	247	130	0	0	0	0	0	0	0	0	0	0	0
Prr7	33.900000	0	0	0	0	0	0	0	0	566	112	0	0	0	0	0	0	0	0	0	0	0
Cacul1	33.800000	0	0	0	0	0	0	0	0	511	165	0	0	0	0	0	0	0	0	0	0	0
Wdr77	33.700000	0	0	0	0	0	0	204	0	359	111	0	0	0	0	0	0	0	0	0	0	0
F5	33.700000	0	0	0	0	0	0	0	0	674	0	0	0	0	0	0	0	0	0	0	0	0
Atp5pb	33.700000	0	0	0	0	0	0	204	0	359	111	0	0	0	0	0	0	0	0	0	0	0
Kmt5b	33.650000	0	0	0	0	0	0	200	0	473	0	0	0	0	0	0	0	0	0	0	0	0
Cox5a	33.350000	0	0	0	0	0	0	231	0	320	116	0	0	0	0	0	0	0	0	0	0	0
Usp47	33.300000	0	0	0	0	0	0	0	0	666	0	0	0	0	0	0	0	0	0	0	0	0
Camp	32.950000	0	0	0	0	0	0	0	0	659	0	0	0	0	0	0	0	0	0	0	0	0
Mfsd1	32.900000	0	0	0	0	0	0	327	0	331	0	0	0	0	0	0	0	0	0	0	0	0
Ly6a	32.900000	0	0	0	0	0	0	0	0	658	0	0	0	0	0	0	0	0	0	0	0	0
Zfp882	32.850000	0	0	0	0	0	0	399	0	258	0	0	0	0	0	0	0	0	0	0	0	0
Ufc1	32.750000	0	0	0	0	0	0	348	0	307	0	0	0	0	0	0	0	0	0	0	0	0
Zfp560	32.700000	0	446	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0
Poldip3	32.550000	0	0	0	0	0	0	92	0	446	113	0	0	0	0	0	0	0	0	0	0	0
Ngdn	32.400000	0	0	0	0	0	0	229	0	419	0	0	0	0	0	0	0	0	0	0	0	0
Srxn1	32.350000	209	0	0	0	0	0	0	0	438	0	0	0	0	0	0	0	0	0	0	0	0
Smim15	32.300000	0	0	0	0	0	0	0	0	646	0	0	0	0	0	0	0	0	0	0	0	0
Pcnx3	32.250000	0	0	0	0	0	0	481	0	164	0	0	0	0	0	0	0	0	0	0	0	0
Map3k11	32.250000	0	0	0	0	0	0	481	0	164	0	0	0	0	0	0	0	0	0	0	0	0
Dusp1	32.250000	0	0	0	0	0	0	0	0	645	0	0	0	0	0	0	0	0	0	0	0	0
Flad1	32.200000	0	0	0	0	0	0	218	0	426	0	0	0	0	0	0	0	0	0	0	0	0
Denr	32.200000	0	0	0	0	0	0	363	0	281	0	0	0	0	0	0	0	0	0	0	0	0
Septin2	32.100000	0	0	0	0	0	0	206	0	436	0	0	0	0	0	0	0	0	0	0	0	0
Hdlbp	32.100000	0	0	0	0	0	0	206	0	436	0	0	0	0	0	0	0	0	0	0	0	0
Eif3b	32.000000	0	0	0	0	0	0	213	0	318	109	0	0	0	0	0	0	0	0	0	0	0
Taok3	31.950000	0	0	0	0	0	0	388	0	251	0	0	0	0	0	0	0	0	0	0	0	0
Pex16	31.900000	0	0	0	0	0	0	638	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpx1	31.900000	0	0	0	0	0	0	263	0	174	201	0	0	0	0	0	0	0	0	0	0	0
Zfp787	31.850000	0	0	0	0	0	0	0	0	637	0	0	0	0	0	0	0	0	0	0	0	0
Rhobtb3	31.800000	0	0	0	0	0	0	0	0	557	79	0	0	0	0	0	0	0	0	0	0	0
Atp10d	31.800000	0	0	0	0	0	0	0	0	636	0	0	0	0	0	0	0	0	0	0	0	0
Tex2	31.750000	0	0	0	0	0	0	376	0	259	0	0	0	0	0	0	0	0	0	0	0	0
Sp1	31.750000	0	0	0	0	0	0	269	0	262	104	0	0	0	0	0	0	0	0	0	0	0
Aars2	31.700000	0	0	0	0	0	0	202	0	432	0	0	0	0	0	0	0	0	0	0	0	0
Krt8	31.600000	0	0	0	0	0	0	0	0	632	0	0	0	0	0	0	0	0	0	0	0	0
Fyco1	31.550000	0	77	0	0	0	0	89	0	465	0	0	0	0	0	0	0	0	0	0	0	0
Rnf13	31.500000	0	0	0	0	0	242	0	0	388	0	0	0	0	0	0	0	0	0	0	0	0
Rfx1	31.500000	0	0	0	0	0	0	286	0	344	0	0	0	0	0	0	0	0	0	0	0	0
Spred1	31.450000	0	0	0	0	0	0	234	0	229	166	0	0	0	0	0	0	0	0	0	0	0
Nme1	31.400000	0	0	0	0	0	0	0	0	501	127	0	0	0	0	0	0	0	0	0	0	0
Lipt1	31.300000	0	0	0	0	0	0	0	0	480	146	0	0	0	0	0	0	0	0	0	0	0
Cdk4	31.300000	0	0	0	0	0	0	290	0	336	0	0	0	0	0	0	0	0	0	0	0	0
Phb2	30.950000	0	0	0	0	0	0	413	0	206	0	0	0	0	0	0	0	0	0	0	0	0
Emg1	30.950000	0	0	0	0	0	0	413	0	206	0	0	0	0	0	0	0	0	0	0	0	0
Prr14	30.900000	0	0	0	0	0	0	427	0	191	0	0	0	0	0	0	0	0	0	0	0	0
Tnfaip6	30.850000	0	0	0	0	0	0	168	0	449	0	0	0	0	0	0	0	0	0	0	0	0
Ptcd2	30.800000	0	0	0	0	0	0	158	0	458	0	0	0	0	0	0	0	0	0	0	0	0
Mrps27	30.800000	0	0	0	0	0	0	158	0	458	0	0	0	0	0	0	0	0	0	0	0	0
Fam53c	30.650000	0	0	0	0	0	0	363	0	250	0	0	0	0	0	0	0	0	0	0	0	0
Acp2	30.650000	0	148	0	0	0	0	173	0	292	0	0	0	0	0	0	0	0	0	0	0	0
Mmgt2	30.600000	0	0	0	0	0	0	0	0	444	168	0	0	0	0	0	0	0	0	0	0	0
Lrrc75a	30.600000	0	0	0	0	0	0	0	0	444	168	0	0	0	0	0	0	0	0	0	0	0
Asap1	30.600000	0	0	0	0	0	0	0	0	466	146	0	0	0	0	0	0	0	0	0	0	0
Ucn2	30.550000	0	0	0	0	0	0	0	0	611	0	0	0	0	0	0	0	0	0	0	0	0
Upp2	30.400000	0	0	0	0	0	0	0	0	608	0	0	0	0	0	0	0	0	0	0	0	0
Acvr1	30.400000	0	0	0	0	0	0	0	0	608	0	0	0	0	0	0	0	0	0	0	0	0
Abhd2	30.400000	0	0	0	0	0	0	320	0	288	0	0	0	0	0	0	0	0	0	0	0	0
Gnb2	30.300000	0	147	0	0	0	0	147	0	312	0	0	0	0	0	0	0	0	0	0	0	0
Gm4791	30.250000	359	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp6v0c	30.200000	0	0	0	0	0	0	233	0	263	108	0	0	0	0	0	0	0	0	0	0	0
Fam118a	30.150000	0	0	0	0	0	0	0	0	465	138	0	0	0	0	0	0	0	0	0	0	0
Tmcc3	30.050000	0	0	0	0	0	0	0	0	601	0	0	0	0	0	0	0	0	0	0	0	0
Dph5	30.000000	0	0	0	0	0	0	0	0	600	0	0	0	0	0	0	0	0	0	0	0	0
Nr1h5	29.850000	0	0	0	0	0	0	0	0	597	0	0	0	0	0	0	0	0	0	0	0	0
Phf12	29.750000	0	0	0	0	0	0	386	0	209	0	0	0	0	0	0	0	0	0	0	0	0
Mthfr	29.700000	0	0	0	0	0	0	196	0	398	0	0	0	0	0	0	0	0	0	0	0	0
Clcn6	29.700000	0	0	0	0	0	0	196	0	398	0	0	0	0	0	0	0	0	0	0	0	0
Tpk1	29.600000	0	0	0	0	0	0	440	0	152	0	0	0	0	0	0	0	0	0	0	0	0
Emp1	29.600000	0	0	0	0	0	0	0	0	592	0	0	0	0	0	0	0	0	0	0	0	0
Tardbp	29.500000	0	0	0	0	0	0	196	0	244	150	0	0	0	0	0	0	0	0	0	0	0
Cct8	29.450000	0	0	0	0	0	0	308	0	281	0	0	0	0	0	0	0	0	0	0	0	0
Ubb	29.400000	0	0	0	0	0	0	0	0	588	0	0	0	0	0	0	0	0	0	0	0	0
Ttc37	29.400000	0	132	0	0	0	0	341	0	115	0	0	0	0	0	0	0	0	0	0	0	0
Arsk	29.400000	0	132	0	0	0	0	341	0	115	0	0	0	0	0	0	0	0	0	0	0	0
1190007I07Rik	29.400000	180	0	0	0	0	190	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0
Pgk1	29.300000	322	0	0	0	0	0	0	0	264	0	0	0	0	0	0	0	0	0	0	0	0
Stip1	29.200000	0	0	0	0	0	0	297	0	287	0	0	0	0	0	0	0	0	0	0	0	0
Qrich1	29.200000	0	0	0	0	0	0	263	0	321	0	0	0	0	0	0	0	0	0	0	0	0
Sft2d2	29.100000	0	0	0	0	0	0	0	0	582	0	0	0	0	0	0	0	0	0	0	0	0
Tbc1d10b	28.850000	0	0	0	0	0	0	327	0	250	0	0	0	0	0	0	0	0	0	0	0	0
Mylpf	28.850000	0	0	0	0	0	0	327	0	250	0	0	0	0	0	0	0	0	0	0	0	0
Nlk	28.650000	0	0	0	0	0	0	208	0	365	0	0	0	0	0	0	0	0	0	0	0	0
Zbtb40	28.500000	0	0	0	0	0	0	248	0	322	0	0	0	0	0	0	0	0	0	0	0	0
Taf1	28.500000	0	0	0	0	0	311	0	0	259	0	0	0	0	0	0	0	0	0	0	0	0
Ston1	28.350000	0	0	0	0	0	0	0	0	567	0	0	0	0	0	0	0	0	0	0	0	0
Hoxc5	28.350000	219	106	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0
Akr1b8	28.350000	0	0	0	0	0	0	0	0	567	0	0	0	0	0	0	0	0	0	0	0	0
Ttc32	28.200000	0	0	0	0	0	0	0	0	414	150	0	0	0	0	0	0	0	0	0	0	0
Smpdl3b	28.200000	0	0	0	0	0	0	0	0	564	0	0	0	0	0	0	0	0	0	0	0	0
Dcaf7	28.200000	0	0	0	0	0	0	162	0	292	110	0	0	0	0	0	0	0	0	0	0	0
Cep350	28.200000	0	0	0	0	0	0	361	0	203	0	0	0	0	0	0	0	0	0	0	0	0
Dennd2c	28.100000	0	0	0	0	0	0	0	0	562	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc10b	28.050000	0	0	0	0	0	0	0	0	561	0	0	0	0	0	0	0	0	0	0	0	0
Mrps15	27.900000	0	0	0	0	0	0	481	77	0	0	0	0	0	0	0	0	0	0	0	0	0
Sdf4	27.850000	0	0	0	0	0	0	365	0	192	0	0	0	0	0	0	0	0	0	0	0	0
Ndufa5	27.850000	0	0	0	0	0	0	268	0	289	0	0	0	0	0	0	0	0	0	0	0	0
B3galt6	27.850000	0	0	0	0	0	0	365	0	192	0	0	0	0	0	0	0	0	0	0	0	0
Asb15	27.850000	0	0	0	0	0	0	268	0	289	0	0	0	0	0	0	0	0	0	0	0	0
Pitpnc1	27.750000	0	0	0	0	0	0	0	0	555	0	0	0	0	0	0	0	0	0	0	0	0
Trib1	27.650000	0	0	0	0	0	0	0	0	378	175	0	0	0	0	0	0	0	0	0	0	0
Akr1c14	27.650000	0	0	0	0	0	0	97	0	456	0	0	0	0	0	0	0	0	0	0	0	0
Ywhae	27.550000	0	81	0	0	0	0	303	0	167	0	0	0	0	0	0	0	0	0	0	0	0
Bms1	27.500000	0	115	0	0	0	281	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0
Mustn1	27.450000	0	0	0	0	0	0	0	0	549	0	0	0	0	0	0	0	0	0	0	0	0
Chtop	27.450000	0	0	0	0	0	0	310	0	239	0	0	0	0	0	0	0	0	0	0	0	0
Mcmbp	27.350000	0	0	0	0	0	0	323	0	224	0	0	0	0	0	0	0	0	0	0	0	0
Tcf3	27.250000	0	0	0	0	0	0	150	0	282	113	0	0	0	0	0	0	0	0	0	0	0
Znrf3	27.150000	0	0	0	0	0	210	0	0	333	0	0	0	0	0	0	0	0	0	0	0	0
Psmd7	27.150000	0	0	0	0	0	0	162	0	381	0	0	0	0	0	0	0	0	0	0	0	0
Ctsl	27.150000	0	0	0	0	0	0	185	0	219	139	0	0	0	0	0	0	0	0	0	0	0
Wdr12	27.100000	0	123	0	0	0	0	298	0	121	0	0	0	0	0	0	0	0	0	0	0	0
Carf	27.100000	0	123	0	0	0	0	298	0	121	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd54	27.000000	0	0	0	0	0	0	233	0	307	0	0	0	0	0	0	0	0	0	0	0	0
Tob2	26.900000	0	146	0	0	0	0	0	0	283	109	0	0	0	0	0	0	0	0	0	0	0
Slc39a3	26.850000	0	0	0	0	0	0	192	0	225	120	0	0	0	0	0	0	0	0	0	0	0
Dedd	26.850000	0	0	0	0	0	0	537	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otogl	26.750000	0	0	0	0	0	0	0	0	535	0	0	0	0	0	0	0	0	0	0	0	0
Eif2b3	26.750000	0	0	0	0	0	0	366	0	169	0	0	0	0	0	0	0	0	0	0	0	0
Alyref2	26.700000	0	0	0	0	0	0	142	0	392	0	0	0	0	0	0	0	0	0	0	0	0
Tmed10	26.600000	0	0	0	0	0	0	370	0	162	0	0	0	0	0	0	0	0	0	0	0	0
Rasa3	26.550000	0	0	0	0	0	0	0	0	531	0	0	0	0	0	0	0	0	0	0	0	0
Atp5b	26.550000	0	0	0	0	0	0	140	0	264	127	0	0	0	0	0	0	0	0	0	0	0
Npas4	26.500000	0	0	0	0	0	0	0	0	0	0	0	82	117	74	88	58	0	111	0	0	0
Tspan4	26.450000	0	0	0	0	0	0	0	0	377	152	0	0	0	0	0	0	0	0	0	0	0
Atp6v1h	26.450000	0	0	0	0	0	0	185	0	344	0	0	0	0	0	0	0	0	0	0	0	0
Ascl3	26.450000	0	0	0	0	0	0	0	0	529	0	0	0	0	0	0	0	0	0	0	0	0
2610528A11Rik	26.300000	0	0	0	0	0	0	0	0	526	0	0	0	0	0	0	0	0	0	0	0	0
Zfp608	26.250000	0	0	0	0	0	0	0	0	525	0	0	0	0	0	0	0	0	0	0	0	0
Gcnt2	26.250000	0	0	0	0	0	0	0	0	525	0	0	0	0	0	0	0	0	0	0	0	0
Wdr46	26.200000	0	0	0	0	0	0	193	0	331	0	0	0	0	0	0	0	0	0	0	0	0
Pfdn6	26.200000	0	0	0	0	0	0	193	0	331	0	0	0	0	0	0	0	0	0	0	0	0
Slc26a7	26.150000	0	0	0	0	0	0	0	0	523	0	0	0	0	0	0	0	0	0	0	0	0
Galnt9	26.050000	0	0	0	0	0	0	0	0	521	0	0	0	0	0	0	0	0	0	0	0	0
Git2	26.000000	0	0	0	0	0	0	303	0	217	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd13a	26.000000	0	0	0	0	0	0	303	0	217	0	0	0	0	0	0	0	0	0	0	0	0
Nup188	25.700000	0	0	0	0	0	0	214	0	300	0	0	0	0	0	0	0	0	0	0	0	0
Ifrd2	25.700000	0	0	0	0	0	0	0	0	514	0	0	0	0	0	0	0	0	0	0	0	0
