Target_genes	Stat5b|Average	SRX3067395|CD4-Positive_T-Lymphocytes	SRX3067396|CD4-Positive_T-Lymphocytes	SRX3067405|CD4-Positive_T-Lymphocytes	SRX3067406|CD4-Positive_T-Lymphocytes	SRX3067407|CD4-Positive_T-Lymphocytes	SRX3067408|CD4-Positive_T-Lymphocytes	SRX3067401|CD8-Positive_T-Lymphocytes	SRX3067402|CD8-Positive_T-Lymphocytes	SRX041331|Dendritic_Cells	SRX041332|Dendritic_Cells	SRX041333|Dendritic_Cells	SRX187509|Mammary_cells	SRX187514|Mammary_cells	SRX3006598|Spleen	SRX3006599|Spleen	SRX3006600|Spleen	SRX3006601|Spleen	SRX041284|T-Lymphocytes	SRX041285|T-Lymphocytes	SRX132013|T-Lymphocytes	SRX132016|T-Lymphocytes	SRX132019|T-Lymphocytes	SRX132022|T-Lymphocytes	SRX041281|Th1_Cells	SRX191131|Th9	SRX353400|Th9	SRX353401|Th9	SRX353404|Th9	SRX353405|Th9	STRING
Hemgn	14.793103	0	161	0	0	91	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0
Calm1	14.793103	0	0	0	148	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0
Bco2	14.793103	0	0	0	0	0	0	0	0	0	257	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snrpe	14.758621	0	0	85	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0
Plpp1	14.758621	0	0	0	0	0	0	0	0	0	259	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xpot	14.724138	0	0	0	109	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	102	0	0	0	0	0
Tmem168	14.724138	0	0	0	124	0	133	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tlx2	14.724138	0	157	0	0	0	0	0	0	0	126	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phf7	14.724138	0	0	0	211	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0
Ncf4	14.724138	0	0	0	0	0	0	0	0	0	316	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bap1	14.724138	0	0	0	211	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0
Zfp131	14.689655	0	0	0	239	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0
Tnfrsf1b	14.689655	0	0	0	76	0	104	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spp1	14.689655	0	0	0	0	0	0	0	0	0	314	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rps26	14.689655	0	0	0	0	0	0	0	0	0	141	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0
Syt12	14.655172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	219	0	0
Med11	14.655172	0	0	0	157	0	104	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Efna2	14.655172	0	0	0	0	0	0	0	0	0	311	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddost	14.655172	0	0	111	81	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0
Cacybp	14.655172	0	0	0	181	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0
Arl5b	14.655172	0	0	0	133	0	134	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3110040N11Rik	14.655172	0	0	0	157	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0
Spire1	14.620690	0	0	0	0	0	0	0	0	0	278	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pitpnm2	14.620690	0	0	116	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0
Kpna4	14.620690	0	0	0	117	113	82	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elf2	14.620690	0	0	0	103	115	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmx3	14.586207	0	0	119	130	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srrm2	14.586207	0	0	0	170	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl9	14.586207	0	0	0	109	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	88	0	0	0	0	0
Nfatc2	14.586207	0	0	0	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0
Nedd9	14.586207	0	0	125	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0
Lias	14.586207	0	0	0	109	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	88	0	0	0	0	0
Btrc	14.586207	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	209	0	0
Bcl3	14.586207	0	0	0	211	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp869	14.551724	0	0	0	185	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0
Trmu	14.551724	0	0	129	165	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnft2	14.551724	0	0	0	166	0	141	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab8b	14.551724	0	0	0	0	0	0	0	0	0	251	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2410131K14Rik	14.551724	0	0	0	166	0	141	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc38a6	14.517241	0	0	0	0	0	121	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ltbp4	14.517241	0	0	0	0	166	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0
Cd68	14.517241	0	0	0	0	0	0	0	0	0	223	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ssbp1	14.482759	0	0	0	204	91	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clec4a3	14.482759	0	0	0	0	0	0	0	0	0	285	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spata17	14.448276	0	0	0	136	0	173	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rbm34	14.448276	0	0	0	183	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0
Nfrkb	14.448276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	0	0	131	0	0
Gpatch2	14.448276	0	0	0	136	0	173	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fat2	14.448276	0	0	0	0	0	0	0	0	0	226	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccin	14.448276	0	0	0	0	0	0	0	0	0	191	137	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0
Bloc1s5	14.448276	0	0	147	152	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcd4	14.448276	0	0	0	76	0	105	0	0	0	138	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0
Ethe1	14.413793	0	0	0	0	0	0	0	0	0	273	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zup1	14.379310	0	0	0	0	0	156	0	0	0	140	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptpre	14.379310	0	305	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kif16b	14.379310	0	0	0	220	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zbtb41	14.344828	0	0	104	199	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spa17	14.344828	0	0	0	192	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0
Siae	14.344828	0	0	0	192	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0
Pef1	14.344828	0	177	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccz1	14.344828	0	0	0	109	104	99	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prmt1	14.310345	0	0	0	86	0	113	0	0	0	110	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdap1	14.310345	0	0	0	119	97	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0
Bud31	14.310345	0	0	0	119	97	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0
Zbtb38	14.275862	0	0	0	110	0	150	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0
Sh3bp5l	14.275862	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	208	0	0
Ms4a4b	14.275862	0	0	171	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ciita	14.275862	0	0	0	0	0	0	0	0	0	265	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Timm22	14.241379	0	0	0	126	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0
Sh3gl1	14.241379	0	0	0	175	0	135	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf185	14.241379	0	0	0	118	0	133	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mab21l3	14.241379	0	0	0	0	0	0	0	0	0	277	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kcnn4	14.241379	0	0	0	0	0	0	0	0	0	215	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbxo46	14.241379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	183	0	0
Cyth1	14.241379	0	0	0	99	0	0	0	0	0	139	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdc45	14.241379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	187	0	0	0	0	89	0	0
Ap1s3	14.241379	0	0	0	0	0	0	0	0	0	250	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rufy1	14.206897	0	0	0	178	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ift22	14.206897	0	0	0	102	0	0	0	0	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sf3b2	14.172414	0	0	0	122	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0
Cops7a	14.172414	0	0	0	140	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0
Ttc37	14.137931	0	0	0	138	0	0	0	0	0	162	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Papola	14.137931	0	0	0	105	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hmgxb3	14.137931	0	0	0	172	0	112	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erlin2	14.137931	0	0	0	194	94	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arsk	14.137931	0	0	0	138	0	0	0	0	0	162	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tor4a	14.103448	0	0	0	0	88	0	0	0	0	224	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otud7b	14.103448	0	0	0	192	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0
Nr3c1	14.103448	0	0	110	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0
Zfp868	14.068966	0	0	0	145	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0
Tax1bp1	14.068966	0	0	0	99	0	92	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sugp2	14.034483	0	0	0	110	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0
Ptpn22	14.034483	0	0	141	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0
Nolc1	14.034483	0	0	0	125	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0
Armc6	14.034483	0	0	0	110	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0
Cmas	14.000000	0	0	0	129	0	117	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stk24	13.965517	0	0	0	137	0	118	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nup160	13.965517	0	0	0	0	0	0	0	0	0	270	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klhdc10	13.965517	0	0	0	97	96	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0
Kbtbd8	13.965517	0	0	0	115	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0
Camk4	13.965517	0	260	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp335	13.931034	0	0	0	145	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0
Tab1	13.931034	0	0	0	189	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptpru	13.931034	0	0	0	189	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0
Phospho2	13.931034	0	0	0	126	0	196	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mkrn2	13.931034	0	0	0	168	116	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hnrnpd	13.931034	0	0	0	213	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc173	13.931034	0	0	0	126	0	196	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp5d	13.931034	0	0	0	98	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0
Sppl2a	13.862069	0	0	0	200	0	0	0	0	0	89	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sec61b	13.862069	0	0	0	106	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0
Sec61a1	13.862069	0	0	0	99	0	178	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nfkbid	13.862069	0	0	0	0	0	0	0	0	0	316	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpr155	13.862069	0	0	0	103	0	189	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bcap29	13.862069	0	0	0	92	0	117	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ap2m1	13.862069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	190	0
Alg2	13.862069	0	0	0	106	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0
Seh1l	13.827586	0	0	0	197	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r21	13.827586	0	0	104	0	0	108	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grasp	13.827586	0	0	0	0	0	0	0	0	0	293	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gne	13.827586	0	0	0	251	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erap1	13.827586	0	0	0	93	0	130	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnmbp	13.827586	0	0	0	121	125	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maf	13.793103	0	0	0	147	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fdxacb1	13.793103	0	0	102	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0
Epc1	13.793103	0	0	69	139	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arid1b	13.793103	0	0	118	158	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	13.793103	0	0	102	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0
Wdr70	13.758621	0	0	0	114	0	135	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hif1a	13.758621	0	0	0	155	0	132	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Casp12	13.758621	0	0	0	0	0	0	0	0	0	0	0	257	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ifit1bl1	13.724138	0	0	0	0	0	0	0	0	0	284	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnase6	13.689655	0	0	0	0	0	0	0	0	0	244	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prkdc	13.689655	0	0	83	91	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0
Mcm4	13.689655	0	0	83	91	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0
Ccdc88a	13.689655	0	0	0	97	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rfesd	13.655172	0	0	104	196	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ranbp9	13.655172	0	0	0	100	0	177	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plin3	13.655172	0	0	68	0	0	0	0	0	0	175	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc51	13.655172	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0
Cwc27	13.655172	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	153	0	0
Phf11a	13.620690	0	0	0	0	0	0	0	0	0	241	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arg1	13.620690	0	0	0	0	0	0	0	0	0	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp30	13.586207	0	0	0	251	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bag6	13.586207	0	0	0	126	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0
Zfp959	13.551724	0	0	0	167	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tob1	13.551724	0	0	0	240	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srd5a1	13.551724	0	0	0	119	136	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Secisbp2	13.551724	0	0	0	166	96	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nsun2	13.551724	0	0	0	119	136	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fyttd1	13.551724	0	0	131	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0
Bank1	13.551724	0	0	0	0	0	0	0	0	0	253	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zc3h8	13.517241	0	0	0	179	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0
Rps19bp1	13.517241	0	0	0	185	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0
Polr2k	13.517241	0	0	95	142	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phc1	13.517241	0	0	0	126	0	0	0	0	0	138	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mr1	13.517241	0	233	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mettl18	13.517241	0	0	196	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0
Fam214b	13.517241	0	0	0	136	0	95	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BC055324	13.517241	0	0	196	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0
Ube2h	13.482759	0	0	0	128	0	117	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpp4	13.482759	0	0	0	0	0	0	0	0	0	0	0	391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marcks	13.482759	0	0	0	0	0	0	0	0	0	0	0	391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Commd8	13.482759	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rfk	13.448276	0	0	0	129	0	107	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polr2m	13.448276	0	0	0	157	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nfkb2	13.448276	0	0	0	0	0	96	0	0	0	172	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arnt	13.448276	0	0	0	137	0	110	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ap5m1	13.448276	0	0	87	189	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vps51	13.413793	0	0	0	0	204	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dusp2	13.413793	0	0	0	102	0	100	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ttc26	13.379310	0	0	0	0	110	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0
Tpx2	13.379310	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	115	0	0	0	0	0	0	0	0	0
Ticam1	13.379310	0	0	0	0	0	0	0	0	0	179	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpusd4	13.379310	0	0	0	139	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rbm39	13.379310	0	0	0	78	104	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0
Mapkapk5	13.379310	0	0	0	164	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ints14	13.379310	0	0	0	0	108	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0
Fam118b	13.379310	0	0	0	139	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stard7	13.344828	0	265	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srsf5	13.344828	0	0	0	93	0	156	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Setd5	13.344828	0	0	0	117	0	144	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Notch2	13.344828	0	0	0	185	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lemd2	13.344828	0	0	109	144	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctdp1	13.344828	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	124	0
Wdr41	13.310345	0	0	0	227	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc7a11	13.310345	0	0	0	0	0	0	0	0	0	112	171	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam168a	13.310345	0	0	0	97	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0
Zfp433	13.275862	0	0	0	133	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0
