Target_genes	Etv5|Average	SRX3775849|Alveolar_type_II_cells	SRX4988100|Embryonic_Stem_Cells	SRX4988101|Embryonic_Stem_Cells	SRX4988102|Embryonic_Stem_Cells	SRX4988103|Embryonic_Stem_Cells	SRX4988104|Embryonic_Stem_Cells	SRX4988105|Embryonic_Stem_Cells	STRING
Zswim7	63.000000	441	0	0	0	0	0	0	0
Ttc19	63.000000	441	0	0	0	0	0	0	0
Tsn	63.000000	441	0	0	0	0	0	0	0
Tcea1	63.000000	441	0	0	0	0	0	0	0
Stk40	63.000000	441	0	0	0	0	0	0	0
Oard1	63.000000	441	0	0	0	0	0	0	0
Nfya	63.000000	441	0	0	0	0	0	0	0
Galnt1	63.000000	441	0	0	0	0	0	0	0
Wdr26	62.857143	440	0	0	0	0	0	0	0
Rfc4	62.857143	440	0	0	0	0	0	0	0
Ppp2r5a	62.857143	440	0	0	0	0	0	0	0
Nudt15	62.857143	440	0	0	0	0	0	0	0
Myo9b	62.857143	440	0	0	0	0	0	0	0
Haus8	62.857143	440	0	0	0	0	0	0	0
Eea1	62.857143	440	0	0	0	0	0	0	0
Unk	62.714286	439	0	0	0	0	0	0	0
Slx4ip	62.714286	439	0	0	0	0	0	0	0
Mkks	62.714286	439	0	0	0	0	0	0	0
Mapkap1	62.714286	439	0	0	0	0	0	0	0
Dbr1	62.714286	439	0	0	0	0	0	0	0
Ylpm1	62.571429	438	0	0	0	0	0	0	0
Vdac1	62.571429	438	0	0	0	0	0	0	0
Taf7	62.571429	438	0	0	0	0	0	0	0
Synrg	62.571429	438	0	0	0	0	0	0	0
Nup54	62.571429	438	0	0	0	0	0	0	0
Ndufa10	62.571429	438	0	0	0	0	0	0	0
Mfap3	62.571429	438	0	0	0	0	0	0	0
Lrrc51	62.571429	438	0	0	0	0	0	0	0
Flot1	62.571429	438	0	0	0	0	0	0	0
Fam114a2	62.571429	438	0	0	0	0	0	0	0
Eloc	62.571429	438	0	0	0	0	0	0	0
Tnks2	62.428571	437	0	0	0	0	0	0	0
Rnf40	62.428571	437	0	0	0	0	0	0	0
Ccdc189	62.428571	437	0	0	0	0	0	0	0
Ttc32	62.285714	436	0	0	0	0	0	0	0
Snx29	62.285714	436	0	0	0	0	0	0	0
Snapc3	62.285714	436	0	0	0	0	0	0	0
Marchf5	62.285714	436	0	0	0	0	0	0	0
Gcc2	62.285714	436	0	0	0	0	0	0	0
Fosl1	62.285714	436	0	0	0	0	0	0	0
Cpeb3	62.285714	436	0	0	0	0	0	0	0
Chkb	62.285714	436	0	0	0	0	0	0	0
Ak3	62.285714	436	0	0	0	0	0	0	0
Acvr1b	62.285714	436	0	0	0	0	0	0	0
Utp6	62.142857	435	0	0	0	0	0	0	0
Ube2m	62.142857	435	0	0	0	0	0	0	0
Tmtc3	62.142857	435	0	0	0	0	0	0	0
Tmem127	62.142857	435	0	0	0	0	0	0	0
Serp2	62.142857	435	0	0	0	0	0	0	0
Rbm19	62.142857	435	0	0	0	0	0	0	0
Psmd11	62.142857	435	0	0	0	0	0	0	0
Mindy3	62.142857	435	0	0	0	0	0	0	0
Leng9	62.142857	435	0	0	0	0	0	0	0
Dhx16	62.142857	435	0	0	0	0	0	0	0
Ciao1	62.142857	435	0	0	0	0	0	0	0
Cep290	62.142857	435	0	0	0	0	0	0	0
Ccar2	62.142857	435	0	0	0	0	0	0	0
Synj1	62.000000	434	0	0	0	0	0	0	0
Piga	62.000000	434	0	0	0	0	0	0	0
Fads1	62.000000	434	0	0	0	0	0	0	0
Eif6	62.000000	434	0	0	0	0	0	0	0
Ube4a	61.857143	433	0	0	0	0	0	0	0
Stam	61.857143	433	0	0	0	0	0	0	0
Srm	61.857143	433	0	0	0	0	0	0	0
Lipe	61.857143	433	0	0	0	0	0	0	0
Dad1	61.857143	433	0	0	0	0	0	0	0
Ccdc88a	61.857143	433	0	0	0	0	0	0	0
Atp5e	61.857143	433	0	0	0	0	0	0	0
Ankhd1	61.857143	433	0	0	0	0	0	0	0
Abhd4	61.857143	433	0	0	0	0	0	0	0
Zfp445	61.714286	432	0	0	0	0	0	0	0
Snx3	61.714286	432	0	0	0	0	0	0	0
Smarca5	61.714286	432	0	0	0	0	0	0	0
Rnps1	61.714286	432	0	0	0	0	0	0	0
Phf14	61.714286	432	0	0	0	0	0	0	0
Notch2	61.714286	432	0	0	0	0	0	0	0
Ndufa4	61.714286	432	0	0	0	0	0	0	0
Zfp57	61.571429	431	0	0	0	0	0	0	0
Ube2g1	61.571429	431	0	0	0	0	0	0	0
Spry2	61.571429	431	0	0	0	0	0	0	0
Poc1b	61.571429	431	0	0	0	0	0	0	0
Galnt4	61.571429	431	0	0	0	0	0	0	0
Fam174a	61.571429	431	0	0	0	0	0	0	0
Derl1	61.571429	431	0	0	0	0	0	0	0
Coro1c	61.571429	431	0	0	0	0	0	0	0
Ago4	61.571429	431	0	0	0	0	0	0	0
Zc3hav1	61.428571	430	0	0	0	0	0	0	0
Tet3	61.428571	430	0	0	0	0	0	0	0
Rpl12	61.428571	430	0	0	0	0	0	0	0
Rnf38	61.428571	430	0	0	0	0	0	0	0
Micos13	61.428571	430	0	0	0	0	0	0	0
Lrsam1	61.428571	430	0	0	0	0	0	0	0
Fam91a1	61.428571	430	0	0	0	0	0	0	0
Serpini1	61.285714	429	0	0	0	0	0	0	0
Serpinh1	61.285714	429	0	0	0	0	0	0	0
Ppp2r5e	61.285714	429	0	0	0	0	0	0	0
Pomk	61.285714	429	0	0	0	0	0	0	0
Pdcd10	61.285714	429	0	0	0	0	0	0	0
Mars1	61.285714	429	0	0	0	0	0	0	0
Gripap1	61.285714	429	0	0	0	0	0	0	0
Exosc4	61.285714	429	0	0	0	0	0	0	0
Exosc3	61.285714	429	0	0	0	0	0	0	0
Bzw2	61.285714	429	0	0	0	0	0	0	0
Ankmy2	61.285714	429	0	0	0	0	0	0	0
Sdhb	61.142857	428	0	0	0	0	0	0	0
Nudt9	61.142857	428	0	0	0	0	0	0	0
Mta2	61.142857	428	0	0	0	0	0	0	0
Gatad1	61.142857	428	0	0	0	0	0	0	0
Fez2	61.142857	428	0	0	0	0	0	0	0
Trrap	61.000000	427	0	0	0	0	0	0	0
Rngtt	61.000000	427	0	0	0	0	0	0	0
Mknk2	61.000000	427	0	0	0	0	0	0	0
Cldn12	61.000000	427	0	0	0	0	0	0	0
Prmt7	60.857143	426	0	0	0	0	0	0	0
Plgrkt	60.857143	426	0	0	0	0	0	0	0
Mrpl12	60.857143	426	0	0	0	0	0	0	0
Klhl24	60.857143	426	0	0	0	0	0	0	0
Ipo13	60.857143	426	0	0	0	0	0	0	0
Fam83g	60.857143	426	0	0	0	0	0	0	0
Bloc1s4	60.857143	426	0	0	0	0	0	0	0
Arhgap11a	60.857143	426	0	0	0	0	0	0	0
Actr6	60.857143	426	0	0	0	0	0	0	0
Zfp7	60.714286	425	0	0	0	0	0	0	0
Zdhhc6	60.714286	425	0	0	0	0	0	0	0
Vti1a	60.714286	425	0	0	0	0	0	0	0
Ulk2	60.714286	425	0	0	0	0	0	0	0
Tpd52l2	60.714286	425	0	0	0	0	0	0	0
Lyst	60.714286	425	0	0	0	0	0	0	0
Cop1	60.714286	425	0	0	0	0	0	0	0
Zyg11b	60.571429	424	0	0	0	0	0	0	0
Mien1	60.571429	424	0	0	0	0	0	0	0
Glrx3	60.571429	424	0	0	0	0	0	0	0
Dcp1b	60.571429	424	0	0	0	0	0	0	0
C030006K11Rik	60.571429	424	0	0	0	0	0	0	0
Atf7	60.571429	424	0	0	0	0	0	0	0
Zscan29	60.428571	423	0	0	0	0	0	0	0
Tubgcp4	60.428571	423	0	0	0	0	0	0	0
Stambp	60.428571	423	0	0	0	0	0	0	0
Scaf4	60.428571	423	0	0	0	0	0	0	0
Plxnb1	60.428571	423	0	0	0	0	0	0	0
Hap1	60.428571	423	0	0	0	0	0	0	0
Alyref2	60.428571	423	0	0	0	0	0	0	0
Zfp346	60.285714	422	0	0	0	0	0	0	0
Serinc5	60.285714	422	0	0	0	0	0	0	0
Nabp2	60.285714	422	0	0	0	0	0	0	0
Mul1	60.285714	422	0	0	0	0	0	0	0
Cetn4	60.285714	422	0	0	0	0	0	0	0
Bbs12	60.285714	422	0	0	0	0	0	0	0
Actr1b	60.285714	422	0	0	0	0	0	0	0
Stat3	60.142857	421	0	0	0	0	0	0	0
Cnbp	60.142857	421	0	0	0	0	0	0	0
Supt6	60.000000	420	0	0	0	0	0	0	0
Spsb3	60.000000	420	0	0	0	0	0	0	0
Smim11	60.000000	420	0	0	0	0	0	0	0
Slc35e1	60.000000	420	0	0	0	0	0	0	0
Sdf2	60.000000	420	0	0	0	0	0	0	0
Nubp2	60.000000	420	0	0	0	0	0	0	0
Hmces	60.000000	420	0	0	0	0	0	0	0
Entpd7	60.000000	420	0	0	0	0	0	0	0
Card10	60.000000	420	0	0	0	0	0	0	0
Uhrf2	59.857143	419	0	0	0	0	0	0	0
Snrpg	59.857143	419	0	0	0	0	0	0	0
Shmt1	59.857143	419	0	0	0	0	0	0	0
Shld2	59.857143	419	0	0	0	0	0	0	0
Serinc3	59.857143	419	0	0	0	0	0	0	0
Glud1	59.857143	419	0	0	0	0	0	0	0
Bend7	59.857143	419	0	0	0	0	0	0	0
Eif1ax	59.714286	418	0	0	0	0	0	0	0
Ap1g1	59.714286	418	0	0	0	0	0	0	0
Xpnpep1	59.571429	417	0	0	0	0	0	0	0
Tufm	59.571429	417	0	0	0	0	0	0	0
Taco1	59.571429	417	0	0	0	0	0	0	0
Srsf11	59.571429	417	0	0	0	0	0	0	0
Spint1	59.571429	417	0	0	0	0	0	0	0
Peli1	59.571429	417	0	0	0	0	0	0	0
Ndufs7	59.571429	417	0	0	0	0	0	0	0
Ercc6	59.571429	417	0	0	0	0	0	0	0
Dusp23	59.571429	417	0	0	0	0	0	0	0
Tomm34	59.428571	416	0	0	0	0	0	0	0
Ncoa1	59.428571	416	0	0	0	0	0	0	0
Krit1	59.428571	416	0	0	0	0	0	0	0
Jak1	59.428571	416	0	0	0	0	0	0	0
Imp4	59.428571	416	0	0	0	0	0	0	0
Ccdc150	59.428571	416	0	0	0	0	0	0	0
Ccdc115	59.428571	416	0	0	0	0	0	0	0
Ankib1	59.428571	416	0	0	0	0	0	0	0
Zfp846	59.285714	415	0	0	0	0	0	0	0
Ube4b	59.285714	415	0	0	0	0	0	0	0
Trim37	59.285714	415	0	0	0	0	0	0	0
Tfpt	59.285714	415	0	0	0	0	0	0	0
Rab8a	59.285714	415	0	0	0	0	0	0	0
Prpf31	59.285714	415	0	0	0	0	0	0	0
Pfdn2	59.285714	415	0	0	0	0	0	0	0
Nit1	59.285714	415	0	0	0	0	0	0	0
Leprot	59.285714	415	0	0	0	0	0	0	0
Jdp2	59.285714	415	0	0	0	0	0	0	0
Dennd6b	59.285714	415	0	0	0	0	0	0	0
Dcbld2	59.285714	415	0	0	0	0	0	0	0
Ctdsp2	59.285714	415	0	0	0	0	0	0	0
Baiap2	59.285714	415	0	0	0	0	0	0	0
Ahcy	59.285714	415	0	0	0	0	0	0	0
Ubn1	59.142857	414	0	0	0	0	0	0	0
Ubc	59.142857	414	0	0	0	0	0	0	0
Tpgs2	59.142857	414	0	0	0	0	0	0	0
Smad2	59.142857	414	0	0	0	0	0	0	0
Rps19bp1	59.142857	414	0	0	0	0	0	0	0
Nol7	59.142857	414	0	0	0	0	0	0	0
Mrps34	59.142857	414	0	0	0	0	0	0	0
Kif18b	59.142857	414	0	0	0	0	0	0	0
Glyr1	59.142857	414	0	0	0	0	0	0	0
Eya3	59.142857	414	0	0	0	0	0	0	0
Ets2	59.142857	414	0	0	0	0	0	0	0
Eme2	59.142857	414	0	0	0	0	0	0	0
Ddx19b	59.142857	414	0	0	0	0	0	0	0
Czib	59.142857	414	0	0	0	0	0	0	0
Cox18	59.142857	414	0	0	0	0	0	0	0
AW554918	59.142857	414	0	0	0	0	0	0	0
Tmbim1	59.000000	413	0	0	0	0	0	0	0
Timm13	59.000000	413	0	0	0	0	0	0	0
Smg9	59.000000	413	0	0	0	0	0	0	0
Sh3bp5	59.000000	413	0	0	0	0	0	0	0
Ppp1r11	59.000000	413	0	0	0	0	0	0	0
Pih1d1	59.000000	413	0	0	0	0	0	0	0
Aldh16a1	59.000000	413	0	0	0	0	0	0	0
Tlnrd1	58.857143	412	0	0	0	0	0	0	0
Tigar	58.857143	412	0	0	0	0	0	0	0
Rae1	58.857143	412	0	0	0	0	0	0	0
Prpf6	58.857143	412	0	0	0	0	0	0	0
Pitpnb	58.857143	412	0	0	0	0	0	0	0
Mesd	58.857143	412	0	0	0	0	0	0	0
Grin2d	58.857143	412	0	0	0	0	0	0	0
Zfp69	58.714286	411	0	0	0	0	0	0	0
Zfp653	58.714286	411	0	0	0	0	0	0	0
Trappc1	58.714286	411	0	0	0	0	0	0	0
Prelid3b	58.714286	411	0	0	0	0	0	0	0
Hspa9	58.714286	411	0	0	0	0	0	0	0
Eif5	58.714286	411	0	0	0	0	0	0	0
Cntrob	58.714286	411	0	0	0	0	0	0	0
C87436	58.714286	411	0	0	0	0	0	0	0
Zscan12	58.571429	410	0	0	0	0	0	0	0
Rnf115	58.571429	410	0	0	0	0	0	0	0
Polr3c	58.571429	410	0	0	0	0	0	0	0
Necap1	58.571429	410	0	0	0	0	0	0	0
Mthfs	58.571429	410	0	0	0	0	0	0	0
Uri1	58.428571	409	0	0	0	0	0	0	0
Trib3	58.428571	409	0	0	0	0	0	0	0
C330018D20Rik	58.428571	409	0	0	0	0	0	0	0
Zfp617	58.285714	408	0	0	0	0	0	0	0
Tusc2	58.285714	408	0	0	0	0	0	0	0
Tcta	58.285714	408	0	0	0	0	0	0	0
Tada1	58.285714	408	0	0	0	0	0	0	0
Spata5	58.285714	408	0	0	0	0	0	0	0
Rhoa	58.285714	408	0	0	0	0	0	0	0
Nudt6	58.285714	408	0	0	0	0	0	0	0
Dhx30	58.285714	408	0	0	0	0	0	0	0
Ccdc174	58.285714	408	0	0	0	0	0	0	0
1810055G02Rik	58.285714	408	0	0	0	0	0	0	0
Uba2	58.142857	407	0	0	0	0	0	0	0
Rhno1	58.142857	407	0	0	0	0	0	0	0
Itgav	58.142857	407	0	0	0	0	0	0	0
Foxm1	58.142857	407	0	0	0	0	0	0	0
Ehd1	58.142857	407	0	0	0	0	0	0	0
Ect2	58.142857	407	0	0	0	0	0	0	0
E2f2	58.142857	407	0	0	0	0	0	0	0
Vps52	58.000000	406	0	0	0	0	0	0	0
Rps18	58.000000	406	0	0	0	0	0	0	0
Ppp1r3e	58.000000	406	0	0	0	0	0	0	0
Polr2a	58.000000	406	0	0	0	0	0	0	0
Mindy2	58.000000	406	0	0	0	0	0	0	0
Gkap1	58.000000	406	0	0	0	0	0	0	0
Cmas	58.000000	406	0	0	0	0	0	0	0
B3gnt2	58.000000	406	0	0	0	0	0	0	0
Acly	58.000000	406	0	0	0	0	0	0	0
Vps25	57.857143	405	0	0	0	0	0	0	0
Trmt11	57.857143	405	0	0	0	0	0	0	0
Rnf39	57.857143	405	0	0	0	0	0	0	0
Med7	57.857143	405	0	0	0	0	0	0	0
Il17d	57.857143	405	0	0	0	0	0	0	0
Elac2	57.857143	405	0	0	0	0	0	0	0
Egfr	57.857143	405	0	0	0	0	0	0	0
Ccdc71l	57.857143	405	0	0	0	0	0	0	0
Ptges3	57.714286	404	0	0	0	0	0	0	0
Pgam5	57.714286	404	0	0	0	0	0	0	0
Larp4b	57.714286	404	0	0	0	0	0	0	0
H2-DMa	57.714286	404	0	0	0	0	0	0	0
Ddx21	57.714286	404	0	0	0	0	0	0	0
Brd2	57.714286	404	0	0	0	0	0	0	0
Ascc3	57.714286	404	0	0	0	0	0	0	0
Adgrl1	57.714286	404	0	0	0	0	0	0	0
Zbtb8os	57.571429	403	0	0	0	0	0	0	0
Wdr5	57.571429	403	0	0	0	0	0	0	0
Traf6	57.571429	403	0	0	0	0	0	0	0
Tollip	57.571429	403	0	0	0	0	0	0	0
Rest	57.571429	403	0	0	0	0	0	0	0
Rbbp4	57.571429	403	0	0	0	0	0	0	0
Polk	57.571429	403	0	0	0	0	0	0	0
Pla2g6	57.571429	403	0	0	0	0	0	0	0
Phactr4	57.571429	403	0	0	0	0	0	0	0
Naa15	57.571429	403	0	0	0	0	0	0	0
Fah	57.571429	403	0	0	0	0	0	0	0
Erlec1	57.571429	403	0	0	0	0	0	0	0
Col4a3bp	57.571429	403	0	0	0	0	0	0	0
Ccdc68	57.571429	403	0	0	0	0	0	0	0
Asb3	57.571429	403	0	0	0	0	0	0	0
Uckl1	57.428571	402	0	0	0	0	0	0	0
Uap1	57.428571	402	0	0	0	0	0	0	0
Trim11	57.428571	402	0	0	0	0	0	0	0
Rab33b	57.428571	402	0	0	0	0	0	0	0
L3hypdh	57.428571	402	0	0	0	0	0	0	0
Kiz	57.428571	402	0	0	0	0	0	0	0
Jkamp	57.428571	402	0	0	0	0	0	0	0
Epas1	57.428571	402	0	0	0	0	0	0	0
Arf4	57.428571	402	0	0	0	0	0	0	0
Anapc15	57.428571	402	0	0	0	0	0	0	0
Wasf1	57.285714	401	0	0	0	0	0	0	0
Ttc16	57.285714	401	0	0	0	0	0	0	0
Tbc1d22a	57.285714	401	0	0	0	0	0	0	0
Sf3b5	57.285714	401	0	0	0	0	0	0	0
Sec13	57.285714	401	0	0	0	0	0	0	0
Ptrh1	57.285714	401	0	0	0	0	0	0	0
Plpp6	57.285714	401	0	0	0	0	0	0	0
Iqgap1	57.285714	401	0	0	0	0	0	0	0
Ints12	57.285714	401	0	0	0	0	0	0	0
Gstcd	57.285714	401	0	0	0	0	0	0	0
Galk2	57.285714	401	0	0	0	0	0	0	0
Emsy	57.285714	401	0	0	0	0	0	0	0
Cops2	57.285714	401	0	0	0	0	0	0	0
Cdc40	57.285714	401	0	0	0	0	0	0	0
Aqr	57.285714	401	0	0	0	0	0	0	0
4430402I18Rik	57.285714	401	0	0	0	0	0	0	0
1700066M21Rik	57.285714	401	0	0	0	0	0	0	0
Uso1	57.142857	400	0	0	0	0	0	0	0
Sfmbt1	57.142857	400	0	0	0	0	0	0	0
Rad21	57.142857	400	0	0	0	0	0	0	0
Pradc1	57.142857	400	0	0	0	0	0	0	0
Mmaa	57.142857	400	0	0	0	0	0	0	0
Hey1	57.142857	400	0	0	0	0	0	0	0
G3bp2	57.142857	400	0	0	0	0	0	0	0
Cct7	57.142857	400	0	0	0	0	0	0	0
Terb1	57.000000	399	0	0	0	0	0	0	0
Ppp1r9b	57.000000	399	0	0	0	0	0	0	0
Pan3	57.000000	399	0	0	0	0	0	0	0
Itpa	57.000000	399	0	0	0	0	0	0	0
Cnot3	57.000000	399	0	0	0	0	0	0	0
Znhit1	56.857143	398	0	0	0	0	0	0	0
Ppp1cb	56.857143	398	0	0	0	0	0	0	0
Plod3	56.857143	398	0	0	0	0	0	0	0
Mccc1	56.857143	398	0	0	0	0	0	0	0
Mapk8ip3	56.857143	398	0	0	0	0	0	0	0
Gins1	56.857143	398	0	0	0	0	0	0	0
Elp5	56.857143	398	0	0	0	0	0	0	0
Ctdnep1	56.857143	398	0	0	0	0	0	0	0
Commd10	56.857143	398	0	0	0	0	0	0	0
Cog3	56.857143	398	0	0	0	0	0	0	0
Apeh	56.857143	398	0	0	0	0	0	0	0
1190007I07Rik	56.857143	398	0	0	0	0	0	0	0
Txlna	56.714286	397	0	0	0	0	0	0	0
Stx6	56.714286	397	0	0	0	0	0	0	0
Stat1	56.714286	397	0	0	0	0	0	0	0
Scyl1	56.714286	397	0	0	0	0	0	0	0
Rnaset2b	56.714286	397	0	0	0	0	0	0	0
Prrc2a	56.714286	397	0	0	0	0	0	0	0
Preb	56.714286	397	0	0	0	0	0	0	0
Nelfa	56.714286	397	0	0	0	0	0	0	0
Nck1	56.714286	397	0	0	0	0	0	0	0
Mfsd14a	56.714286	397	0	0	0	0	0	0	0
Lbr	56.714286	397	0	0	0	0	0	0	0
Impdh1	56.714286	397	0	0	0	0	0	0	0
Sumo2	56.571429	396	0	0	0	0	0	0	0
Sf3a3	56.571429	396	0	0	0	0	0	0	0
Pick1	56.571429	396	0	0	0	0	0	0	0
Napepld	56.571429	396	0	0	0	0	0	0	0
Letm1	56.571429	396	0	0	0	0	0	0	0
Hsf1	56.571429	396	0	0	0	0	0	0	0
Dusp11	56.571429	396	0	0	0	0	0	0	0
Cwc22	56.571429	396	0	0	0	0	0	0	0
Bop1	56.571429	396	0	0	0	0	0	0	0
AW549877	56.571429	396	0	0	0	0	0	0	0
Ambra1	56.571429	396	0	0	0	0	0	0	0
Tmem17	56.428571	395	0	0	0	0	0	0	0
Sh2b1	56.428571	395	0	0	0	0	0	0	0
Psmd6	56.428571	395	0	0	0	0	0	0	0
Mrps18a	56.428571	395	0	0	0	0	0	0	0
Mob1a	56.428571	395	0	0	0	0	0	0	0
Mnt	56.428571	395	0	0	0	0	0	0	0
Hcfc1	56.428571	395	0	0	0	0	0	0	0
Gabpb2	56.428571	395	0	0	0	0	0	0	0
Edc3	56.428571	395	0	0	0	0	0	0	0
Cers2	56.428571	395	0	0	0	0	0	0	0
Arid2	56.428571	395	0	0	0	0	0	0	0
Arid1a	56.428571	395	0	0	0	0	0	0	0
Tyw1	56.285714	394	0	0	0	0	0	0	0
Ssna1	56.285714	394	0	0	0	0	0	0	0
Serinc1	56.285714	394	0	0	0	0	0	0	0
Sec62	56.285714	394	0	0	0	0	0	0	0
Sbds	56.285714	394	0	0	0	0	0	0	0
Myo10	56.285714	394	0	0	0	0	0	0	0
Lacc1	56.285714	394	0	0	0	0	0	0	0
Iqank1	56.285714	394	0	0	0	0	0	0	0
Immt	56.285714	394	0	0	0	0	0	0	0
Guk1	56.285714	394	0	0	0	0	0	0	0
Grtp1	56.285714	394	0	0	0	0	0	0	0
Fam83h	56.285714	394	0	0	0	0	0	0	0
Ccdc122	56.285714	394	0	0	0	0	0	0	0
Birc2	56.285714	394	0	0	0	0	0	0	0
Anapc2	56.285714	394	0	0	0	0	0	0	0
Zfp593	56.142857	393	0	0	0	0	0	0	0
Tbc1d7	56.142857	393	0	0	0	0	0	0	0
Rcor1	56.142857	393	0	0	0	0	0	0	0
Mettl8	56.142857	393	0	0	0	0	0	0	0
Fanci	56.142857	393	0	0	0	0	0	0	0
Eapp	56.142857	393	0	0	0	0	0	0	0
Dcaf17	56.142857	393	0	0	0	0	0	0	0
Abca3	56.142857	393	0	0	0	0	0	0	0
Abca17	56.142857	393	0	0	0	0	0	0	0
Sumo1	56.000000	392	0	0	0	0	0	0	0
Haspin	56.000000	392	0	0	0	0	0	0	0
Harbi1	56.000000	392	0	0	0	0	0	0	0
Cc2d1b	56.000000	392	0	0	0	0	0	0	0
Atg13	56.000000	392	0	0	0	0	0	0	0
Ankle2	56.000000	392	0	0	0	0	0	0	0
Ubxn10	55.857143	391	0	0	0	0	0	0	0
Rap1gds1	55.857143	391	0	0	0	0	0	0	0
Pla2g2c	55.857143	391	0	0	0	0	0	0	0
Naglu	55.857143	391	0	0	0	0	0	0	0
Lancl2	55.857143	391	0	0	0	0	0	0	0
Gmppb	55.857143	391	0	0	0	0	0	0	0
Ghitm	55.857143	391	0	0	0	0	0	0	0
Csk	55.857143	391	0	0	0	0	0	0	0
Calm2	55.857143	391	0	0	0	0	0	0	0
1700030J22Rik	55.857143	391	0	0	0	0	0	0	0
Wbp11	55.714286	390	0	0	0	0	0	0	0
Timm10	55.714286	390	0	0	0	0	0	0	0
Smg8	55.714286	390	0	0	0	0	0	0	0
Odc1	55.714286	390	0	0	0	0	0	0	0
Mycbp	55.714286	390	0	0	0	0	0	0	0
Fkbp5	55.714286	390	0	0	0	0	0	0	0
BC049715	55.714286	390	0	0	0	0	0	0	0
Zzef1	55.571429	389	0	0	0	0	0	0	0
Wwp2	55.571429	389	0	0	0	0	0	0	0
Wbp1l	55.571429	389	0	0	0	0	0	0	0
Tnrc6c	55.571429	389	0	0	0	0	0	0	0
Tkt	55.571429	389	0	0	0	0	0	0	0
Nup133	55.571429	389	0	0	0	0	0	0	0
Lpcat3	55.571429	389	0	0	0	0	0	0	0
Cybc1	55.571429	389	0	0	0	0	0	0	0
Cyb5d2	55.571429	389	0	0	0	0	0	0	0
Clasp1	55.571429	389	0	0	0	0	0	0	0
Zfp644	55.428571	388	0	0	0	0	0	0	0
Utp15	55.428571	388	0	0	0	0	0	0	0
Tbc1d2	55.428571	388	0	0	0	0	0	0	0
Slc44a3	55.428571	388	0	0	0	0	0	0	0
Serf2	55.428571	388	0	0	0	0	0	0	0
Prdm2	55.428571	388	0	0	0	0	0	0	0
Hsd17b12	55.428571	388	0	0	0	0	0	0	0
Ebna1bp2	55.428571	388	0	0	0	0	0	0	0
Cmtr2	55.428571	388	0	0	0	0	0	0	0
Cfap57	55.428571	388	0	0	0	0	0	0	0
Ccdc28a	55.428571	388	0	0	0	0	0	0	0
Ano10	55.428571	388	0	0	0	0	0	0	0
Ankra2	55.428571	388	0	0	0	0	0	0	0
Srp14	55.285714	387	0	0	0	0	0	0	0
Srebf1	55.285714	387	0	0	0	0	0	0	0
Rpl27	55.285714	387	0	0	0	0	0	0	0
Mrpl53	55.285714	387	0	0	0	0	0	0	0
Kdf1	55.285714	387	0	0	0	0	0	0	0
Glg1	55.285714	387	0	0	0	0	0	0	0
Cfap300	55.285714	387	0	0	0	0	0	0	0
Zfp606	55.142857	386	0	0	0	0	0	0	0
Tab2	55.142857	386	0	0	0	0	0	0	0
Rictor	55.142857	386	0	0	0	0	0	0	0
Rab1a	55.142857	386	0	0	0	0	0	0	0
Hibadh	55.142857	386	0	0	0	0	0	0	0
Gtf2h3	55.142857	386	0	0	0	0	0	0	0
Fam219a	55.142857	386	0	0	0	0	0	0	0
Eif2b1	55.142857	386	0	0	0	0	0	0	0
Dnaic1	55.142857	386	0	0	0	0	0	0	0
Ddx39	55.142857	386	0	0	0	0	0	0	0
Chmp6	55.142857	386	0	0	0	0	0	0	0
Uhrf1	55.000000	385	0	0	0	0	0	0	0
Scarf2	55.000000	385	0	0	0	0	0	0	0
Pfkfb3	55.000000	385	0	0	0	0	0	0	0
Cnn2	55.000000	385	0	0	0	0	0	0	0
Cep295	55.000000	385	0	0	0	0	0	0	0
Abcb7	55.000000	385	0	0	0	0	0	0	0
Zfp276	54.857143	384	0	0	0	0	0	0	0
Vps9d1	54.857143	384	0	0	0	0	0	0	0
Syap1	54.857143	384	0	0	0	0	0	0	0
Slc25a40	54.857143	384	0	0	0	0	0	0	0
Ric8b	54.857143	384	0	0	0	0	0	0	0
Dbf4	54.857143	384	0	0	0	0	0	0	0
Sgo1	54.714286	383	0	0	0	0	0	0	0
Sdhaf3	54.714286	383	0	0	0	0	0	0	0
Map3k5	54.714286	383	0	0	0	0	0	0	0
Dlat	54.714286	383	0	0	0	0	0	0	0
Csnk2a2	54.714286	383	0	0	0	0	0	0	0
Commd1	54.714286	383	0	0	0	0	0	0	0
Zpbp	54.571429	382	0	0	0	0	0	0	0
Vipas39	54.571429	382	0	0	0	0	0	0	0
Trmt6	54.571429	382	0	0	0	0	0	0	0
Spcs1	54.571429	382	0	0	0	0	0	0	0
Mob3a	54.571429	382	0	0	0	0	0	0	0
Mcm8	54.571429	382	0	0	0	0	0	0	0
Izumo4	54.571429	382	0	0	0	0	0	0	0
Inpp5e	54.571429	382	0	0	0	0	0	0	0
Glt8d1	54.571429	382	0	0	0	0	0	0	0
Gbe1	54.571429	382	0	0	0	0	0	0	0
Fam135a	54.571429	382	0	0	0	0	0	0	0
Crem	54.571429	382	0	0	0	0	0	0	0
Cnnm4	54.571429	382	0	0	0	0	0	0	0
Cct4	54.571429	382	0	0	0	0	0	0	0
Ahsa1	54.571429	382	0	0	0	0	0	0	0
