Target_genes	Tcf7l2|Average	ERX161579|Colon	ERX161580|Colon	ERX161583|Colon	ERX161584|Colon	SRX2734776|Heart_Ventricles	SRX2734777|Heart_Ventricles	SRX2734782|Heart_Ventricles	SRX5647947|Preadiocytes	SRX5647948|Preadiocytes	SRX5647950|Preadiocytes	SRX5647951|Preadiocytes	ERX4312250|Thalamus	ERX4312254|Thalamus	ERX4312255|Thalamus	STRING
Elp5	44.642857	0	0	0	0	0	0	0	0	78	260	287	0	0	0	0
Ctdnep1	44.642857	0	0	0	0	0	0	0	0	78	260	287	0	0	0	0
Olfr1392	44.571429	0	0	0	0	0	0	0	0	0	0	0	0	412	212	0
Hltf	44.571429	0	0	0	0	0	0	0	0	0	248	182	0	194	0	0
Cep70	44.571429	0	0	0	0	0	0	0	0	0	179	0	158	151	136	0
Hsdl2	44.500000	0	0	0	0	0	0	0	0	0	167	179	149	128	0	0
Rita1	44.428571	0	0	0	0	0	0	0	0	0	151	0	228	135	108	0
Pfn2	44.428571	0	0	0	0	0	0	0	0	0	0	0	240	221	161	0
Ddx54	44.428571	0	0	0	0	0	0	0	0	0	151	0	228	135	108	0
Aox1	44.428571	0	0	0	0	0	0	0	0	0	310	312	0	0	0	0
Myo10	44.357143	0	0	0	0	0	0	0	0	0	228	139	0	254	0	0
Aacs	44.357143	0	0	0	0	0	0	0	0	0	319	302	0	0	0	0
Nup50	44.285714	0	0	0	0	0	0	0	0	78	282	260	0	0	0	0
Psph	44.142857	0	0	0	0	0	0	0	0	0	187	145	0	168	118	0
Kpna2	44.142857	0	0	0	0	0	0	0	0	230	135	253	0	0	0	0
Gadd45g	44.142857	0	0	0	0	0	0	0	0	0	217	234	0	167	0	0
Cd81	44.142857	0	0	0	0	0	0	0	0	0	0	0	166	238	214	0
Cct6a	44.142857	0	0	0	0	0	0	0	0	0	187	145	0	168	118	0
9530003J23Rik	44.142857	0	0	0	0	0	0	0	0	0	0	0	0	427	191	0
Nat10	44.071429	0	0	0	0	0	0	0	0	108	270	239	0	0	0	0
Ndufs6	44.000000	127	0	0	0	0	0	0	0	0	208	176	0	105	0	0
Fam214a	44.000000	0	0	0	0	0	0	0	0	0	263	262	0	91	0	0
Sypl	43.928571	0	213	0	0	0	0	0	0	0	167	89	0	146	0	0
Ptpn4	43.928571	0	0	0	0	0	0	0	0	0	0	0	174	293	148	0
Bin3	43.928571	0	0	0	0	0	0	0	0	0	0	0	184	238	193	0
Zfp369	43.857143	0	0	0	0	0	0	0	0	0	0	0	200	212	202	0
Utp3	43.785714	0	0	0	0	0	0	0	0	0	271	252	0	0	90	0
Mcm3	43.785714	0	0	0	0	0	0	0	0	0	211	179	103	120	0	0
Proser1	43.714286	0	0	0	0	0	0	0	0	0	115	0	84	257	156	0
Nhlrc3	43.714286	0	0	0	0	0	0	0	0	0	115	0	84	257	156	0
Plekha7	43.642857	0	0	0	0	0	0	0	0	0	0	0	0	417	194	0
Amt	43.571429	0	0	0	0	0	0	0	0	0	0	0	234	226	150	0
Steap1	43.428571	0	0	0	0	0	0	0	0	0	0	0	170	295	143	0
Phip	43.428571	0	0	0	0	0	0	0	0	0	135	180	0	161	132	0
Cbx5	43.428571	0	0	0	0	0	0	0	0	0	147	173	160	128	0	0
Plxnd1	43.285714	0	0	0	0	0	0	0	81	140	203	182	0	0	0	0
Rpl34-ps1	43.214286	0	0	0	0	0	0	0	0	0	121	0	165	168	151	0
Rpl34	43.214286	0	0	0	0	0	0	0	0	0	121	0	165	168	151	0
Kifap3	43.214286	0	0	0	0	0	0	0	0	0	296	309	0	0	0	0
Sprr2a3	43.142857	286	318	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdk17	43.142857	0	0	0	0	0	0	0	0	0	171	209	0	224	0	0
Cd36	43.142857	0	0	0	0	0	0	0	0	177	218	209	0	0	0	0
Zbtb7a	43.071429	0	0	0	0	0	0	0	0	0	262	341	0	0	0	0
Tmc6	43.000000	179	195	0	115	0	0	0	0	0	113	0	0	0	0	0
Zbed4	42.928571	0	0	0	0	0	0	0	0	111	238	252	0	0	0	0
Trmt2a	42.928571	0	0	0	0	0	0	0	0	0	199	124	0	168	110	0
Ranbp1	42.928571	0	0	0	0	0	0	0	0	0	199	124	0	168	110	0
Cirbp	42.928571	0	0	0	0	0	0	0	0	113	95	140	0	253	0	0
Ccni	42.928571	0	0	0	0	0	0	0	0	0	241	225	0	135	0	0
2010109A12Rik	42.928571	0	0	0	0	0	0	0	0	0	241	225	0	135	0	0
Dusp11	42.785714	0	170	0	0	0	0	0	0	0	143	143	0	143	0	0
Mvb12a	42.714286	0	0	0	0	0	0	0	0	0	261	337	0	0	0	0
Tubd1	42.642857	0	0	0	0	0	0	0	0	0	310	287	0	0	0	0
Selenok	42.642857	0	0	0	0	0	0	0	0	0	198	264	0	135	0	0
Rps6kb1	42.642857	0	0	0	0	0	0	0	0	0	310	287	0	0	0	0
Rabgap1	42.642857	0	0	0	0	0	0	0	0	0	0	116	135	143	203	0
Ptprz1	42.642857	0	0	0	0	0	0	0	0	0	0	0	0	452	145	0
Car7	42.571429	0	0	0	0	0	0	0	0	0	0	0	0	374	222	0
Gga2	42.428571	0	0	0	0	0	0	0	0	101	230	263	0	0	0	0
Ptrhd1	42.357143	0	0	0	0	0	0	0	0	304	175	114	0	0	0	0
Cenpo	42.357143	0	0	0	0	0	0	0	0	304	175	114	0	0	0	0
Kifc5b	42.285714	0	0	0	0	0	0	0	0	158	206	228	0	0	0	0
Eef1g	42.214286	0	0	0	0	0	0	0	0	0	199	131	0	261	0	0
Dynlt1b	42.142857	0	0	0	0	0	0	0	0	0	363	227	0	0	0	0
Tdp1	42.071429	0	0	0	0	0	0	0	0	0	284	305	0	0	0	0
Gadd45b	42.071429	0	0	0	0	0	0	0	0	146	199	244	0	0	0	0
Efcab11	42.071429	0	0	0	0	0	0	0	0	0	284	305	0	0	0	0
Tmem184b	42.000000	0	0	0	0	0	0	0	0	0	247	341	0	0	0	0
9930021J03Rik	42.000000	0	0	0	0	0	0	0	0	86	314	188	0	0	0	0
Tigd5	41.928571	0	0	0	0	0	0	0	0	0	348	153	0	0	86	0
Socs2	41.928571	0	0	0	0	0	0	0	0	0	160	141	0	155	131	0
Rnf113a2	41.928571	0	0	0	0	0	0	0	0	151	186	250	0	0	0	0
Hspe1	41.928571	0	0	0	0	0	0	0	0	95	230	262	0	0	0	0
Hspd1	41.928571	0	0	0	0	0	0	0	0	95	230	262	0	0	0	0
Eef1d	41.928571	0	0	0	0	0	0	0	0	0	348	153	0	0	86	0
Coro1c	41.928571	0	0	0	0	0	0	0	0	0	101	114	0	252	120	0
Wwox	41.857143	0	0	0	0	0	0	0	0	0	125	122	131	208	0	0
Uros	41.857143	0	0	0	0	0	0	0	0	0	132	0	229	120	105	0
Bccip	41.857143	0	0	0	0	0	0	0	0	0	132	0	229	120	105	0
1700066B19Rik	41.857143	312	274	0	0	0	0	0	0	0	0	0	0	0	0	0
Rock1	41.785714	0	0	0	0	0	0	0	0	0	269	316	0	0	0	0
Irgq	41.785714	0	0	0	0	0	0	0	0	274	230	81	0	0	0	0
Ubn2	41.642857	0	0	0	0	0	0	0	0	0	204	251	0	128	0	0
Cnot6	41.642857	0	0	0	0	0	0	0	0	0	0	124	229	98	132	0
Pigl	41.571429	174	107	158	0	0	0	0	0	0	0	0	0	143	0	0
Ncor1	41.571429	174	107	158	0	0	0	0	0	0	0	0	0	143	0	0
Srrm2	41.500000	0	0	0	0	0	0	0	0	0	105	128	0	190	158	0
Slc12a5	41.500000	0	0	0	0	0	0	0	0	0	0	0	0	344	237	0
Dnajc4	41.500000	0	0	0	0	0	0	0	0	0	142	0	125	194	120	0
E2f6	41.428571	0	0	0	0	0	0	0	0	0	0	0	170	266	144	0
Abca8b	41.428571	0	0	0	0	0	0	0	0	0	149	0	0	238	193	0
Zc3h3	41.357143	0	0	0	0	0	0	0	0	167	138	274	0	0	0	0
Lamtor3	41.285714	0	0	0	0	0	0	0	0	143	198	237	0	0	0	0
Jakmip1	41.214286	0	0	0	0	0	0	0	0	0	0	0	0	399	178	0
Ftsj1	41.214286	148	0	0	0	0	0	0	0	0	177	117	135	0	0	0
Spty2d1	41.142857	0	0	0	0	0	0	0	0	0	335	241	0	0	0	0
Clec2d	41.142857	0	0	0	0	0	0	0	0	0	332	244	0	0	0	0
Bcor	41.142857	0	0	0	0	0	0	0	0	0	0	0	219	185	172	0
Zfp804a	41.071429	0	0	0	0	0	0	0	0	0	0	0	214	236	125	0
Rc3h2	41.071429	0	0	0	0	0	0	0	0	0	0	0	125	276	174	0
Rabif	41.071429	0	0	0	0	0	0	0	0	59	268	248	0	0	0	0
Olfr597	41.071429	0	0	0	0	0	0	0	0	0	0	0	0	385	190	0
Auts2	41.000000	0	0	0	0	0	0	0	0	0	0	0	236	193	145	0
0610009B22Rik	41.000000	0	0	0	0	0	0	0	0	165	170	239	0	0	0	0
Rnaseh2a	40.928571	0	0	0	0	0	0	0	0	0	225	348	0	0	0	0
Gpr158	40.928571	0	0	0	0	0	0	0	0	0	0	0	116	339	118	0
Asf1a	40.928571	0	0	0	0	0	0	0	0	0	170	137	0	266	0	0
Med26	40.857143	0	0	0	0	0	0	0	0	0	320	252	0	0	0	0
Slc19a2	40.714286	0	0	0	0	0	0	0	0	0	299	271	0	0	0	0
Tmem25	40.642857	0	0	0	0	0	0	0	0	0	0	0	143	295	131	0
Hif1an	40.642857	0	0	0	0	0	0	0	0	0	216	159	0	194	0	0
Fam222a	40.642857	0	0	0	0	0	0	0	0	0	285	159	0	125	0	0
Bsdc1	40.642857	0	0	0	0	0	0	0	0	0	218	159	0	70	122	0
Ptprr	40.571429	0	90	0	0	0	0	0	0	0	0	0	197	105	176	0
Gins1	40.571429	188	0	0	0	0	0	0	0	0	155	225	0	0	0	0
Ing1	40.500000	0	0	0	0	0	0	0	0	0	73	77	0	260	157	0
Safb2	40.428571	0	0	0	0	0	0	0	0	149	236	181	0	0	0	0
Safb	40.428571	0	0	0	0	0	0	0	0	149	236	181	0	0	0	0
Eif2s3x	40.428571	272	294	0	0	0	0	0	0	0	0	0	0	0	0	0
Coro2b	40.428571	0	0	0	0	0	0	0	0	0	0	0	0	388	178	0
Smc3	40.285714	0	0	0	0	0	0	0	0	0	0	0	285	185	94	0
Hsp90aa1	40.285714	0	0	0	0	0	0	0	0	95	258	211	0	0	0	0
B3galnt2	40.285714	0	0	0	0	0	0	0	0	0	141	196	0	105	122	0
Acyp1	40.285714	0	0	0	0	0	0	0	0	0	110	133	153	168	0	0
Dus2	40.214286	0	0	0	0	0	0	0	0	0	0	0	0	285	278	0
Ddx28	40.214286	0	0	0	0	0	0	0	0	0	0	0	0	285	278	0
Wdr18	40.142857	0	0	0	0	0	0	0	0	60	290	212	0	0	0	0
Nelfa	40.071429	0	0	0	0	0	0	0	102	171	143	145	0	0	0	0
Gng3	40.071429	0	0	0	0	0	0	0	0	0	0	0	183	215	163	0
Bscl2	40.071429	0	0	0	0	0	0	0	0	0	0	0	183	215	163	0
Ubxn1	40.000000	0	0	0	0	0	0	0	0	133	240	187	0	0	0	0
Cdrt4	39.928571	0	0	0	0	0	0	0	0	0	0	0	0	334	225	0
Pafah2	39.785714	0	0	0	0	0	0	0	0	0	212	214	0	131	0	0
Ndufa10	39.785714	0	0	0	0	0	0	0	0	0	325	232	0	0	0	0
Fbrs	39.785714	0	0	0	0	0	0	0	0	0	283	154	0	120	0	0
Dhx8	39.714286	0	0	0	0	0	0	0	0	0	117	122	0	176	141	0
Zfand3	39.642857	0	0	0	0	0	0	0	0	0	151	79	100	105	120	0
Mcoln1	39.642857	0	0	0	0	0	0	0	0	0	326	229	0	0	0	0
Lonrf2	39.642857	0	0	0	0	0	0	0	0	0	0	0	0	324	231	0
Kdm5c	39.642857	0	0	0	0	0	0	0	0	0	292	263	0	0	0	0
Tmbim1	39.571429	238	316	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp47	39.428571	0	0	0	0	0	0	0	0	0	0	0	150	244	158	0
Ccdc124	39.428571	0	0	0	0	0	0	0	0	159	255	138	0	0	0	0
Txndc16	39.357143	0	0	0	0	0	0	0	0	0	75	83	95	212	86	0
Gpr137c	39.357143	0	0	0	0	0	0	0	0	0	75	83	95	212	86	0
Arl6ip1	39.357143	0	0	0	0	0	0	0	0	0	0	0	196	151	204	0
Tnpo2	39.285714	0	0	0	0	0	0	0	0	0	271	279	0	0	0	0
Nlk	39.285714	0	0	0	0	0	0	0	0	0	221	329	0	0	0	0
Med10	39.285714	0	0	0	0	0	0	0	0	0	0	0	0	176	374	0
Cacna2d1	39.214286	0	0	0	0	0	0	0	0	0	0	0	125	225	199	0
Clcn3	39.142857	0	0	0	0	0	0	0	0	0	208	120	0	220	0	0
Gfod2	39.071429	0	0	0	0	0	0	0	0	132	161	254	0	0	0	0
Cap2	39.071429	0	0	0	0	0	0	0	0	0	0	163	0	265	119	0
Septin11	38.928571	0	0	0	0	0	0	0	0	0	0	0	247	168	130	0
Scn8a	38.928571	0	202	161	182	0	0	0	0	0	0	0	0	0	0	0
Sap18b	38.928571	0	0	0	0	0	0	0	0	0	337	208	0	0	0	0
Sap18	38.928571	0	0	0	0	0	0	0	0	0	337	208	0	0	0	0
Rnf114	38.928571	0	0	0	0	0	0	0	0	0	139	189	0	217	0	0
Bach1	38.928571	0	0	0	0	0	0	0	0	0	103	0	75	228	139	0
9330159F19Rik	38.928571	0	0	0	0	0	0	0	0	0	0	0	181	211	153	0
Exosc8	38.857143	0	0	0	0	0	0	0	0	0	0	0	167	167	210	0
Alg5	38.857143	0	0	0	0	0	0	0	0	0	0	0	167	167	210	0
Cavin2	38.714286	0	0	0	0	0	0	0	0	0	258	284	0	0	0	0
Xkr7	38.642857	0	0	0	0	0	0	0	0	0	0	0	235	168	138	0
Rpn2	38.571429	0	0	0	0	0	0	0	0	118	79	0	0	202	141	0
Mroh8	38.571429	0	0	0	0	0	0	0	0	118	79	0	0	202	141	0
Lhpp	38.571429	287	253	0	0	0	0	0	0	0	0	0	0	0	0	0
Dlst	38.571429	0	0	0	0	0	0	0	0	0	0	0	142	262	136	0
Slc3a2	38.500000	0	0	0	0	0	0	0	0	0	256	199	0	84	0	0
Hoxc13	38.428571	0	0	0	0	0	0	0	0	170	194	174	0	0	0	0
Msh5	38.357143	0	0	0	0	0	0	0	0	0	97	116	173	151	0	0
Eloa	38.285714	0	0	0	0	0	0	0	0	0	238	298	0	0	0	0
Tctex1d1	38.214286	0	0	0	0	0	0	0	0	0	0	0	0	305	230	0
Abcf3	38.214286	0	0	0	0	0	0	0	0	0	350	185	0	0	0	0
Shld1	38.142857	0	0	0	0	0	0	0	0	0	0	0	0	357	177	0
Park7	38.142857	0	0	0	0	0	0	0	0	195	162	177	0	0	0	0
Nipbl	38.071429	0	0	0	0	0	0	0	0	0	235	298	0	0	0	0
Abhd11	38.000000	0	0	0	0	0	0	0	0	0	308	224	0	0	0	0
Nvl	37.928571	0	0	0	0	0	0	0	0	0	203	185	0	143	0	0
Car10	37.928571	0	0	0	0	0	0	0	0	0	0	0	0	334	197	0
Zfp385b	37.785714	0	0	0	0	0	0	0	0	0	0	0	0	305	224	0
Gm20594	37.785714	0	0	0	0	244	285	0	0	0	0	0	0	0	0	0
Gimap7	37.785714	0	0	0	0	0	0	0	0	0	0	0	0	315	214	0
Eif4a1	37.785714	0	0	0	0	0	0	0	0	0	123	0	0	406	0	0
Rab34	37.714286	0	0	0	0	0	0	0	0	0	126	0	0	266	136	0
Zfp40	37.571429	0	0	0	0	0	0	0	0	0	178	348	0	0	0	0
Git2	37.571429	0	0	0	0	0	0	0	0	0	102	100	324	0	0	0
Frat2	37.571429	0	0	0	0	0	0	0	0	0	89	0	196	120	121	0
Alg1	37.571429	0	0	0	0	0	0	0	0	0	218	308	0	0	0	0
Rnf40	37.500000	0	0	0	0	0	0	0	0	0	240	74	0	211	0	0
Retn	37.500000	0	0	0	0	0	0	0	0	0	342	183	0	0	0	0
Ccdc189	37.500000	0	0	0	0	0	0	0	0	0	240	74	0	211	0	0
Reep1	37.428571	0	0	0	0	0	0	0	0	0	0	0	0	379	145	0
Dux	37.357143	0	0	0	0	0	0	0	0	0	0	0	115	237	171	0
Ap1m1	37.357143	0	0	0	0	0	0	0	0	0	189	334	0	0	0	0
Magohb	37.285714	144	253	0	0	0	0	0	0	0	125	0	0	0	0	0
Samd1	37.214286	0	0	0	0	0	0	0	0	0	217	304	0	0	0	0
Eif4a3	37.142857	0	0	0	0	0	0	0	0	0	0	0	157	185	178	0
Trib1	37.071429	0	0	0	0	0	0	0	0	0	213	153	0	153	0	0
Tmed6	37.071429	127	226	0	166	0	0	0	0	0	0	0	0	0	0	0
Cstad	37.071429	0	0	0	0	0	0	0	0	0	0	0	0	285	234	0
Ppp2r5c	37.000000	0	0	0	0	0	0	0	0	0	144	136	0	238	0	0
Cenpe	37.000000	0	0	0	0	0	0	0	0	156	0	0	234	128	0	0
Psmb6	36.928571	0	0	0	0	0	0	0	0	144	214	159	0	0	0	0
Nfkbiz	36.928571	0	110	0	0	0	0	0	0	0	99	97	91	120	0	0
Zmat4	36.857143	0	0	0	0	0	0	0	0	0	0	0	114	254	148	0
Gpatch8	36.857143	0	0	0	0	0	0	0	0	0	213	303	0	0	0	0
Ddx5	36.857143	0	0	0	0	0	0	0	0	0	147	0	164	205	0	0
Clptm1	36.857143	0	0	0	0	0	0	0	0	0	0	0	87	255	174	0
Slbp	36.785714	0	0	0	0	0	0	0	0	0	73	0	158	143	141	0
Ndel1	36.785714	0	0	0	0	0	0	0	0	0	279	236	0	0	0	0
Kpna1	36.785714	0	0	0	0	0	0	0	0	0	0	0	166	185	164	0
Tmem177	36.714286	0	128	0	0	0	0	0	0	0	161	225	0	0	0	0
Hnrnph1	36.714286	0	0	0	0	0	0	0	0	0	215	160	0	139	0	0
Dctn1	36.714286	0	0	0	0	0	0	0	0	0	157	101	0	151	105	0
Zfpl1	36.642857	0	0	0	0	0	0	0	0	0	341	172	0	0	0	0
Plpp3	36.642857	0	0	0	0	0	0	0	0	151	150	212	0	0	0	0
Nectin3	36.642857	0	0	0	0	0	0	0	0	176	131	117	0	0	89	0
Cdca5	36.642857	0	0	0	0	0	0	0	0	0	341	172	0	0	0	0
Iqch	36.500000	0	0	0	0	0	0	0	0	0	0	0	200	160	151	0
Cdc6	36.500000	0	0	0	0	0	0	0	0	0	276	235	0	0	0	0
Aagab	36.500000	0	0	0	0	0	0	0	0	0	0	0	200	160	151	0
Csrp2	36.428571	0	0	0	0	0	0	0	0	0	292	218	0	0	0	0
Elf2	36.357143	0	0	0	0	0	0	0	0	0	0	0	124	219	166	0
Znhit6	36.285714	122	186	0	0	0	0	0	0	0	0	97	0	0	103	0
Rps7	36.285714	0	0	0	0	0	0	0	0	0	354	154	0	0	0	0
Armc5	36.285714	0	0	0	0	0	0	0	0	0	142	0	0	229	137	0
Urm1	36.214286	0	0	0	0	0	0	0	0	0	241	266	0	0	0	0
Pum2	36.214286	0	0	0	0	0	0	0	0	0	0	195	0	312	0	0
Kdm3a	36.214286	0	0	0	0	0	0	0	0	0	123	182	0	128	74	0
Rbm27	36.142857	0	0	0	0	0	0	0	0	0	0	0	0	334	172	0
Htra2	36.142857	0	0	0	0	0	0	0	0	0	267	239	0	0	0	0
Dhrs3	36.142857	0	0	0	0	0	0	0	0	0	280	226	0	0	0	0
Aup1	36.142857	0	0	0	0	0	0	0	0	0	267	239	0	0	0	0
Trim47	36.071429	0	0	0	0	0	0	0	0	0	194	189	0	0	122	0
Sugp2	36.071429	0	0	0	0	0	0	0	0	0	275	230	0	0	0	0
Sh3kbp1	36.071429	0	0	0	0	0	0	0	0	0	309	196	0	0	0	0
Armc6	36.071429	0	0	0	0	0	0	0	0	0	275	230	0	0	0	0
Slc25a11	36.000000	0	0	0	0	0	0	0	0	192	186	126	0	0	0	0
Rnf167	36.000000	0	0	0	0	0	0	0	0	192	186	126	0	0	0	0
Rad51c	36.000000	0	0	0	0	0	0	0	0	0	280	224	0	0	0	0
Cdpf1	35.857143	0	0	0	0	0	0	0	0	0	251	251	0	0	0	0
Spg7	35.785714	0	0	0	0	0	0	0	0	0	350	151	0	0	0	0
Nudt7	35.785714	0	0	0	0	0	0	0	0	0	178	238	0	0	85	0
Itpkb	35.785714	0	0	0	0	0	0	0	0	0	204	297	0	0	0	0
Dnpep	35.785714	0	0	0	0	0	0	0	0	0	236	265	0	0	0	0
Shprh	35.714286	0	0	0	0	0	0	0	0	138	213	149	0	0	0	0
Gsk3b	35.714286	0	0	0	0	0	0	0	0	0	83	0	0	259	158	0
Atxn7l1	35.642857	0	0	0	0	0	0	0	0	0	249	250	0	0	0	0
Tatdn2	35.571429	0	0	0	0	0	0	0	0	157	150	191	0	0	0	0
Pgls	35.571429	0	0	0	0	0	0	0	0	0	205	133	0	160	0	0
Por	35.500000	0	0	0	0	0	0	0	0	0	174	0	0	151	172	0
Lonp2	35.500000	0	0	0	0	0	0	0	0	0	0	0	0	328	169	0
Tnfrsf11b	35.428571	0	0	0	0	0	0	0	0	0	0	0	249	135	112	0
Rpl22	35.428571	0	0	0	0	0	0	0	0	0	0	0	168	135	193	0
Ptdss1	35.428571	0	0	0	0	0	0	0	0	0	0	0	196	179	121	0
Mterf3	35.428571	0	0	0	0	0	0	0	0	0	0	0	196	179	121	0
Ptcd2	35.357143	0	0	0	0	0	0	0	0	0	0	0	189	194	112	0
Mrps27	35.357143	0	0	0	0	0	0	0	0	0	0	0	189	194	112	0
Gdf1	35.357143	0	0	0	0	0	0	0	0	0	0	0	151	238	106	0
Kif5c	35.285714	0	0	0	0	0	0	0	0	0	0	0	108	222	164	0
Exoc1	35.285714	0	0	0	0	0	0	0	0	0	151	208	135	0	0	0
Aco1	35.285714	0	0	0	0	0	0	0	0	0	233	126	0	135	0	0
Rtn3	35.214286	0	0	0	0	0	0	0	0	0	307	186	0	0	0	0
Rasa1	35.214286	0	0	0	0	0	0	0	0	0	83	87	0	220	103	0
Polr2b	35.214286	0	0	0	0	0	0	0	0	0	241	252	0	0	0	0
Noa1	35.214286	0	0	0	0	0	0	0	0	0	241	252	0	0	0	0
Bmp7	35.214286	0	0	0	0	0	0	0	0	0	0	0	147	160	186	0
Stra6l	35.142857	197	193	0	102	0	0	0	0	0	0	0	0	0	0	0
Fbxo11	35.071429	0	0	0	0	0	0	0	0	0	103	0	152	135	101	0
Plrg1	35.000000	145	213	0	0	0	0	0	0	0	132	0	0	0	0	0
Cul4b	35.000000	0	0	0	0	0	0	0	0	0	278	212	0	0	0	0
Cadm4	35.000000	0	0	0	0	0	0	0	0	0	0	0	0	296	194	0
Pkia	34.928571	0	0	0	0	0	0	0	0	0	0	0	170	178	141	0
Znhit1	34.857143	0	0	0	0	0	0	0	0	0	237	251	0	0	0	0
Tars	34.857143	0	0	0	0	0	0	0	0	0	144	117	115	112	0	0
Plod3	34.857143	0	0	0	0	0	0	0	0	0	237	251	0	0	0	0
Zfp719	34.785714	0	0	0	0	0	0	0	0	0	287	200	0	0	0	0
Hes3	34.785714	0	0	0	0	0	0	0	0	0	0	0	115	372	0	0
Elmsan1	34.785714	0	0	0	0	0	0	0	0	0	266	221	0	0	0	0
Camk4	34.785714	0	0	0	0	0	0	0	0	0	0	0	244	243	0	0
Snrnp70	34.714286	0	0	0	0	0	0	0	0	110	217	159	0	0	0	0
Tmub2	34.642857	0	0	0	0	0	0	0	0	0	188	297	0	0	0	0
Gpr19	34.642857	0	0	0	0	0	0	0	0	118	178	189	0	0	0	0
Capza1	34.642857	183	302	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc26	34.571429	0	0	0	0	0	0	0	0	0	0	0	0	247	237	0
Ilrun	34.571429	0	0	0	0	0	0	0	0	0	330	154	0	0	0	0
Galnt10	34.571429	0	0	0	0	0	0	0	0	0	0	0	308	176	0	0
Ier5	34.428571	0	0	0	0	0	0	0	0	0	137	128	0	217	0	0
Asxl1	34.428571	0	0	0	0	0	0	0	0	0	196	286	0	0	0	0
Psma1	34.357143	0	0	0	0	0	0	0	0	177	146	158	0	0	0	0
Tomm40	34.285714	0	0	0	0	0	0	0	0	0	0	0	0	285	195	0
Gcat	34.285714	0	0	0	0	0	0	0	0	0	138	342	0	0	0	0
Xpnpep3	34.214286	0	0	0	0	0	0	0	0	75	195	209	0	0	0	0
St13	34.214286	0	0	0	0	0	0	0	0	75	195	209	0	0	0	0
Mtrr	34.214286	0	0	0	0	0	0	0	0	96	206	177	0	0	0	0
Kcna6	34.214286	0	0	0	0	0	0	0	0	0	0	0	184	295	0	0
Fastkd3	34.214286	0	0	0	0	0	0	0	0	96	206	177	0	0	0	0
Slc45a4	34.142857	0	0	0	0	0	0	0	0	0	0	0	0	330	148	0
Mmd	34.142857	0	0	0	0	0	0	0	0	0	166	130	0	182	0	0
Dhx58	34.142857	0	0	0	0	0	0	0	0	0	186	292	0	0	0	0
Dennd4a	34.142857	0	0	0	0	0	0	0	0	0	0	0	0	315	163	0
Adam17	34.142857	0	0	0	0	0	0	0	0	0	231	247	0	0	0	0
Tfb2m	34.071429	0	0	0	0	0	0	0	0	0	177	300	0	0	0	0
Sap30	34.071429	0	0	0	0	0	0	0	0	0	212	265	0	0	0	0
Pnmal1	34.071429	0	0	0	0	0	0	0	0	0	0	0	0	288	189	0
Cnst	34.071429	0	0	0	0	0	0	0	0	0	177	300	0	0	0	0
Smad7	34.000000	0	0	0	0	0	0	0	143	0	168	165	0	0	0	0
Ppp1r16a	34.000000	0	0	0	0	0	0	0	0	142	131	203	0	0	0	0
Ppfia2	34.000000	0	0	0	0	0	0	0	0	0	0	0	0	290	186	0
Mad2l1	34.000000	0	0	0	0	0	0	0	0	0	245	231	0	0	0	0
Srbd1	33.928571	0	0	0	0	0	0	0	0	0	186	289	0	0	0	0
Ralgps2	33.857143	182	194	0	0	0	0	0	0	0	0	0	0	98	0	0
Mecr	33.857143	0	0	0	0	0	0	0	0	0	218	256	0	0	0	0
Mafg	33.857143	0	0	0	0	0	0	0	0	0	202	134	0	0	138	0
Cbfb	33.857143	0	0	0	0	0	0	0	0	99	201	174	0	0	0	0
Wasf1	33.785714	0	0	0	0	0	0	0	0	0	117	89	116	151	0	0
Slx4ip	33.785714	0	0	0	0	0	0	0	0	0	281	192	0	0	0	0
Ppp1r3g	33.785714	0	0	0	0	0	0	0	0	0	0	0	114	194	165	0
Mkks	33.785714	0	0	0	0	0	0	0	0	0	281	192	0	0	0	0
Gbp3	33.785714	0	0	0	0	0	0	0	0	0	222	251	0	0	0	0
Fam110a	33.785714	0	0	0	0	0	0	0	0	0	0	0	141	160	172	0
Cdc40	33.785714	0	0	0	0	0	0	0	0	0	117	89	116	151	0	0
1700028P14Rik	33.785714	0	0	0	0	0	0	0	0	0	0	0	0	281	192	0
Rnf187	33.714286	0	0	0	0	0	0	0	0	0	0	0	185	112	175	0
Ints12	33.714286	0	0	0	0	0	0	0	0	0	227	117	0	0	128	0
Gstcd	33.714286	0	0	0	0	0	0	0	0	0	227	117	0	0	128	0
Gmcl1	33.714286	0	0	0	0	0	0	0	0	0	317	155	0	0	0	0
Npat	33.642857	0	0	0	0	0	0	0	0	0	226	245	0	0	0	0
Nmt1	33.642857	0	0	0	0	0	0	0	0	0	112	94	0	98	167	0
Atm	33.642857	0	0	0	0	0	0	0	0	0	226	245	0	0	0	0
Wdr19	33.571429	0	0	0	0	0	0	0	0	0	234	131	0	105	0	0
Pomt1	33.571429	0	0	0	0	0	0	0	0	0	252	218	0	0	0	0
Nup133	33.571429	0	0	0	0	0	0	0	0	0	198	272	0	0	0	0
Traf7	33.500000	0	0	0	0	0	0	0	0	0	86	102	147	0	134	0
